label,total,correct,accuracy
0,8,4,0.5
1,12,8,0.6666666666666666
2,8,3,0.375
3,11,5,0.45454545454545453
4,13,5,0.38461538461538464
5,9,7,0.7777777777777778
6,8,6,0.75
7,17,12,0.7058823529411765
8,9,8,0.8888888888888888
9,9,7,0.7777777777777778
10,17,3,0.17647058823529413
11,17,11,0.6470588235294118
12,10,6,0.6
13,10,6,0.6
14,10,7,0.7
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,4,0.25
18,10,1,0.1
19,11,4,0.36363636363636365
20,8,3,0.375
21,12,8,0.6666666666666666
22,18,7,0.3888888888888889
23,9,6,0.6666666666666666
24,8,2,0.25
25,8,5,0.625
26,8,5,0.625
27,13,6,0.46153846153846156
28,16,11,0.6875
29,17,9,0.5294117647058824
30,11,3,0.2727272727272727
31,9,2,0.2222222222222222
32,9,2,0.2222222222222222
33,8,4,0.5
34,9,3,0.3333333333333333
35,15,10,0.6666666666666666
36,22,19,0.8636363636363636
37,11,5,0.45454545454545453
38,8,1,0.125
39,13,6,0.46153846153846156
40,25,10,0.4
41,12,6,0.5
42,26,7,0.2692307692307692
43,19,11,0.5789473684210527
44,8,3,0.375
45,39,33,0.8461538461538461
46,13,5,0.38461538461538464
47,14,7,0.5
48,10,9,0.9
49,18,10,0.5555555555555556
50,52,29,0.5576923076923077
51,17,16,0.9411764705882353
52,19,9,0.47368421052631576
53,12,8,0.6666666666666666
54,14,9,0.6428571428571429
55,22,21,0.9545454545454546
56,13,7,0.5384615384615384
57,23,22,0.9565217391304348
58,13,12,0.9230769230769231
59,22,21,0.9545454545454546
60,10,9,0.9
61,11,4,0.36363636363636365
62,11,10,0.9090909090909091
63,11,11,1.0
64,20,17,0.85
65,12,10,0.8333333333333334
66,9,2,0.2222222222222222
67,11,6,0.5454545454545454
68,11,1,0.09090909090909091
69,12,9,0.75
70,16,11,0.6875
71,19,9,0.47368421052631576
72,39,27,0.6923076923076923
73,34,16,0.47058823529411764
74,24,18,0.75
75,21,10,0.47619047619047616
76,50,41,0.82
77,27,9,0.3333333333333333
78,8,2,0.25
79,21,5,0.23809523809523808
80,33,26,0.7878787878787878
81,22,5,0.22727272727272727
82,26,9,0.34615384615384615
83,17,3,0.17647058823529413
84,13,2,0.15384615384615385
85,12,6,0.5
86,13,8,0.6153846153846154
87,31,21,0.6774193548387096
88,37,28,0.7567567567567568
89,16,8,0.5
90,15,10,0.6666666666666666
91,13,4,0.3076923076923077
92,9,6,0.6666666666666666
93,32,14,0.4375
94,26,8,0.3076923076923077
95,18,7,0.3888888888888889
96,13,5,0.38461538461538464
97,16,8,0.5
98,13,3,0.23076923076923078
99,10,4,0.4
100,12,7,0.5833333333333334
101,10,2,0.2
