variant,boundary_setting,dataset,train_rel,noise_setting,selected_config_run,selected_config_run_leaf,selected_config_beta,selected_config_lambda_gold,selected_config_acc_mean,boundary_run,boundary_run_leaf,boundary_acc_mean,drop,drop_pp,drop_pp_rounded,boundary_worse
lambda_G = 0,No gold stability loss,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,0.5774791285,lambda0/feature_noise/blur/blur_3p0_beta08_lg00,blur_3p0_beta08_lg00,0.5086540419,0.0688250866,6.8825,6.9,true
lambda_G = 0,No gold stability loss,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,0.6224801466,lambda0/feature_noise/brightness/brightness_0p75_beta08_lg00,brightness_0p75_beta08_lg00,0.5876603543,0.0348197923,3.4820,3.5,true
lambda_G = 0,No gold stability loss,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablations/gaussian_30p0_beta05_lg02,gaussian_30p0_beta05_lg02,0.5,0.2,0.6218692731,lambda0/feature_noise/gaussian/gaussian_30p0_beta05_lg00,gaussian_30p0_beta05_lg00,0.5801262472,0.0417430259,4.1743,4.2,true
lambda_G = 0,No gold stability loss,Flower_102,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta07_lg01,blur_3p0_label_shuffle_0p2_beta07_lg01,0.7,0.1,0.5259621258,lambda0/hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta07_lg00,blur_3p0_label_shuffle_0p2_beta07_lg00,0.4850335980,0.0409285278,4.0929,4.1,true
lambda_G = 0,No gold stability loss,Flower_102,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,hybrid_noise/brightness_label_shuffle/brightness_hybrid_ablation/brightness_0p75_label_shuffle_0p2_beta078_lg01,brightness_0p75_label_shuffle_0p2_beta078_lg01,0.78,0.1,0.5583384239,lambda0/hybrid_noise/brightness_label_shuffle/brightness_0p75_label_shuffle_0p2_beta08_lg00,brightness_0p75_label_shuffle_0p2_beta08_lg00,0.4813683568,0.0769700671,7.6970,7.7,true
lambda_G = 0,No gold stability loss,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_beta055_lg015,gaussian_30p0_label_shuffle_0p2_beta055_lg015,0.55,0.15,0.5626145388,lambda0/hybrid_noise/gaussian_label_shuffle/gaussian_30p0_label_shuffle_0p2_beta05_lg00,gaussian_30p0_label_shuffle_0p2_beta05_lg00,0.5100794136,0.0525351252,5.2535,5.3,true
lambda_G = 0,No gold stability loss,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_ablations/label_shuffle_0p2_beta09_lg01,label_shuffle_0p2_beta09_lg01,0.9,0.1,0.5780900020,lambda0/label_noise/label_shuffle/label_shuffle_0p2_beta095_lg00,label_shuffle_0p2_beta095_lg00,0.5031561800,0.0749338220,7.4934,7.5,true
lambda_G = 0,No gold stability loss,STL,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg01,blur_3p0_beta09_lg01,0.9,0.1,0.6361538462,lambda0/feature_noise/blur/blur_3p0_beta09_lg00,blur_3p0_beta09_lg00,0.5233333333,0.1128205129,11.2821,11.3,true
lambda_G = 0,No gold stability loss,STL,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_0p75_method_beta09_lg01,brightness_0p75_method_beta09_lg01,0.9,0.1,0.7319230769,lambda0/feature_noise/brightness/brightness_0p75_beta09_lg00,brightness_0p75_beta09_lg00,0.6835897436,0.0483333333,4.8333,4.8,true
lambda_G = 0,No gold stability loss,STL,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablation/gaussian_30p0_beta05_lg02,gaussian_30p0_beta05_lg02,0.5,0.2,0.6735897436,lambda0/feature_noise/gaussian/gaussian_30p0_beta05_lg00,gaussian_30p0_beta05_lg00,0.6191025641,0.0544871795,5.4487,5.4,true
lambda_G = 0,No gold stability loss,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta09_lg025,blur_3p0_label_shuffle_0p2_beta09_lg025,0.9,0.25,0.6360256410,lambda0/hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta09_lg00,blur_3p0_label_shuffle_0p2_beta09_lg00,0.5284615385,0.1075641025,10.7564,10.8,true
