family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,n,selected_acc_mean,selected_acc_std,peak_acc_mean,peak_acc_std,final_acc_mean,final_acc_std,selected_epoch_mean,selected_epoch_std
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,3,0.5766646304,0.06985626837,0.5960089595,0.06754044418,0.577275504,0.05865340484,10.66666667,6.110100927
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,3,0.5489716962,0.04733514565,0.5652616575,0.05324187328,0.5408267155,0.06579404007,7.666666667,3.511884584
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,3,0.5672979027,0.07148612694,0.5738138872,0.07215120905,0.5672979027,0.07612507379,8.666666667,5.033222957
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,3,0.5542659336,0.05585513648,0.5703522704,0.03997061603,0.5664834046,0.03643968676,7.666666667,3.511884584
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,3,0.5446955813,0.06558385006,0.5538586846,0.07047673667,0.5371614742,0.05266755103,7,4.358898944
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,3,0.559560171,0.05761674342,0.5799226227,0.03833119972,0.5736102627,0.03238782197,7.666666667,3.511884584
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,3,0.5774791285,0.01550624424,0.5951944614,0.01523922398,0.5911219711,0.01448599178,9,1
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg01,blur_3p0_beta09_lg01,0.9,0.1,3,0.5693341478,0.06615227482,0.5919364692,0.05321266155,0.5762573814,0.03798402363,9,4.358898944
ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_0p75_method_beta08_lg01,brightness_0p75_method_beta08_lg01,0.8,0.1,3,0.5846059866,0.06134034357,0.6051720627,0.03778208868,0.6051720627,0.03778208868,8,3.605551275
ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta02_lg01,brightness_0p75_beta02_lg01,0.2,0.1,3,0.5652616575,0.05819138379,0.5943799633,0.04725098018,0.5943799633,0.04725098018,8,3.605551275
ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta05_lg01,brightness_0p75_beta05_lg01,0.5,0.1,3,0.5768682549,0.0586640076,0.5992669517,0.04087378609,0.5972307066,0.03897322178,8,3.605551275
ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg005,brightness_0p75_beta08_lg005,0.8,0.05,3,0.5823661169,0.07557405352,0.6002850743,0.05874981943,0.5988597027,0.05737768896,9.333333333,4.725815626
ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg015,brightness_0p75_beta08_lg015,0.8,0.15,3,0.5931582162,0.07414253576,0.6169822847,0.04019250861,0.6145387905,0.03957498922,10.66666667,6.506407099
ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg02,brightness_0p75_beta08_lg02,0.8,0.2,3,0.5766646304,0.06199388447,0.6049684382,0.03429788878,0.6049684382,0.03429788878,7.666666667,3.511884584
ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,3,0.6224801466,0.01436527308,0.6275707595,0.01345771667,0.6188149053,0.01325750422,11.66666667,3.055050463
ggcl,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_30p0_method_beta05_lg015,gaussian_30p0_method_beta05_lg015,0.5,0.15,3,0.6163714111,0.01558625635,0.6344939931,0.0109503805,0.633272246,0.01017307758,10.33333333,2.081665999
ggcl,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablations/gaussian_30p0_beta02_lg01,gaussian_30p0_beta02_lg01,0.2,0.1,3,0.6198330279,0.002886875764,0.6316432498,0.006884195278,0.6304215027,0.006016406721,11,1
ggcl,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablations/gaussian_30p0_beta05_lg005,gaussian_30p0_beta05_lg005,0.5,0.05,3,0.6059865608,0.009542149879,0.6291997557,0.004005765745,0.627367135,0.002443494197,10.66666667,1.527525232
ggcl,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablations/gaussian_30p0_beta05_lg01,gaussian_30p0_beta05_lg01,0.5,0.1,3,0.6078191814,0.02169246293,0.6275707595,0.01366410024,0.6182040318,0.02670432864,9.666666667,1.527525232
ggcl,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablations/gaussian_30p0_beta05_lg02,gaussian_30p0_beta05_lg02,0.5,0.2,3,0.6218692731,0.007799111384,0.6406027286,0.008901442881,0.6259417634,0.02287583468,11.33333333,2.516611478
