seed,family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,epoch,train_loss,test_loss,loss_gap_test_minus_train
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,1,1.033459298,2.510320317,1.476861019
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,2,0.8012852375,2.075141255,1.273856017
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,3,0.6874207328,2.18739251,1.499971778
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,4,0.6123004933,1.940299201,1.327998708
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,5,0.539619397,1.952058938,1.412439541
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,6,0.5038537323,2.050784801,1.546931069
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,7,0.4611782566,1.941765977,1.48058772
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,1,2.294892934,2.545345398,0.2504524647
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,2,1.796646637,2.136907693,0.3402610556
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,3,1.566355019,2.285173265,0.7188182459
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,4,1.39986377,1.933725338,0.5338615684
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,5,1.247261038,2.031617111,0.7843560737
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,6,1.156117342,2.023180831,0.8670634896
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,7,1.079919888,2.169741061,1.089821173
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,1,1.657002587,2.540123947,0.8831213601
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,2,1.296793346,2.14680802,0.8500146734
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,3,1.126852931,2.252670655,1.125817724
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,4,1.005133949,1.93472439,0.9295904412
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,5,0.8892807047,1.985264502,1.095983798
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,6,0.8346288004,2.178414854,1.343786053
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,7,0.7788243941,2.087890392,1.309065998
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,1,0.9435264247,2.520289508,1.576763083
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,2,0.7294671984,2.085901518,1.35643432
