family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,n,selected_acc_mean,selected_acc_std,peak_acc_mean,peak_acc_std,final_acc_mean,final_acc_std,selected_epoch_mean,selected_epoch_std
supplemental_ablation,STL,feature_noise/blur_3p0,blur_3p0,lambda0/feature_noise/blur/blur_3p0_beta09_lg00,blur_3p0_beta09_lg00,0.9,0,3,0.5233333333,0.01708979649,0.5312820513,0.004112567931,0.5078205128,0.01892969449,1.666666667,0.5773502692
supplemental_ablation,STL,feature_noise/brightness_0p75,brightness_0p75,lambda0/feature_noise/brightness/brightness_0p75_beta09_lg00,brightness_0p75_beta09_lg00,0.9,0,3,0.6835897436,0.01421690246,0.69,0.02466041554,0.683974359,0.03000575224,5,3.605551275
supplemental_ablation,STL,feature_noise/gaussian_30p0,gaussian_30p0,lambda0/feature_noise/gaussian/gaussian_30p0_beta05_lg00,gaussian_30p0_beta05_lg00,0.5,0,3,0.6191025641,0.01389059819,0.6362820513,0.01116268439,0.6194871795,0.01934326073,7.666666667,1.527525232
supplemental_ablation,STL,label_noise/label_shuffle_0p2,label_shuffle_0p2,lambda0/label_noise/label_shuffle/label_shuffle_0p2_beta05_lg00,label_shuffle_0p2_beta05_lg00,0.5,0,3,0.6517948718,0.03533929651,0.6582051282,0.02603006152,0.6537179487,0.02007874046,5,2.645751311
supplemental_ablation,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,lambda0/hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta09_lg00,blur_3p0_label_shuffle_0p2_beta09_lg00,0.9,0,3,0.5284615385,0.007682686291,0.5284615385,0.007682686291,0.5008974359,0.01524131984,3.666666667,1.527525232
supplemental_ablation,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,lambda0/hybrid_noise/brightness_label_shuffle/brightness_0p75_label_shuffle_0p2_beta085_lg00,brightness_0p75_label_shuffle_0p2_beta085_lg00,0.85,0,3,0.6430769231,0.005174470787,0.6601282051,0.01099578546,0.6485897436,0.01680172105,3.666666667,2.516611478
supplemental_ablation,STL,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,lambda0/hybrid_noise/gaussian_label_shuffle/gaussian_30p0_label_shuffle_0p2_beta06_lg00,gaussian_30p0_label_shuffle_0p2_beta06_lg00,0.6,0,3,0.6155128205,0.02410017719,0.6155128205,0.02410017719,0.5880769231,0.006153846154,9,1.732050808
supplemental_ablation,Flower_102,feature_noise/blur_3p0,blur_3p0,lambda0/feature_noise/blur/blur_3p0_beta08_lg00,blur_3p0_beta08_lg00,0.8,0,3,0.5086540419,0.04741785012,0.533903482,0.05986560782,0.5210751374,0.07747986431,7.666666667,3.214550254
supplemental_ablation,Flower_102,feature_noise/brightness_0p75,brightness_0p75,lambda0/feature_noise/brightness/brightness_0p75_beta08_lg00,brightness_0p75_beta08_lg00,0.8,0,3,0.5876603543,0.01920126285,0.5951944614,0.01161195474,0.5939727143,0.0135130605,11,2
supplemental_ablation,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,lambda0/feature_noise/gaussian/gaussian_30p0_beta05_lg00,gaussian_30p0_beta05_lg00,0.5,0,3,0.5801262472,0.003364429168,0.5978415801,0.01213062188,0.5945835879,0.01650866223,9.666666667,1.154700538
supplemental_ablation,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,lambda0/label_noise/label_shuffle/label_shuffle_0p2_beta095_lg00,label_shuffle_0p2_beta095_lg00,0.95,0,3,0.50315618,0.03359434274,0.5320708613,0.02279958168,0.5253512523,0.01235415297,8.333333333,2.886751346
supplemental_ablation,Flower_102,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,lambda0/hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta07_lg00,blur_3p0_label_shuffle_0p2_beta07_lg00,0.7,0,3,0.485033598,0.0169400423,0.4911423335,0.0142347956,0.4671146406,0.01990110645,10.33333333,0.5773502692
supplemental_ablation,Flower_102,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,lambda0/hybrid_noise/brightness_label_shuffle/brightness_0p75_label_shuffle_0p2_beta08_lg00,brightness_0p75_label_shuffle_0p2_beta08_lg00,0.8,0,3,0.4813683568,0.0100932875,0.5074322948,0.01898955558,0.5019344329,0.02011558767,6.666666667,1.527525232
supplemental_ablation,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,lambda0/hybrid_noise/gaussian_label_shuffle/gaussian_30p0_label_shuffle_0p2_beta05_lg00,gaussian_30p0_label_shuffle_0p2_beta05_lg00,0.5,0,3,0.5100794136,0.02540088318,0.5167990226,0.02041634083,0.5145591529,0.01673317838,8.666666667,3.214550254
