label,total,correct,accuracy
0,8,1,0.125
1,12,8,0.6666666666666666
2,8,1,0.125
3,11,1,0.09090909090909091
4,13,5,0.38461538461538464
5,9,6,0.6666666666666666
6,8,5,0.625
7,17,15,0.8823529411764706
8,9,8,0.8888888888888888
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,13,0.7647058823529411
12,10,7,0.7
13,10,5,0.5
14,10,5,0.5
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,4,0.25
18,10,2,0.2
19,11,3,0.2727272727272727
20,8,5,0.625
21,12,5,0.4166666666666667
22,18,5,0.2777777777777778
23,9,2,0.2222222222222222
24,8,1,0.125
25,8,5,0.625
26,8,3,0.375
27,13,8,0.6153846153846154
28,16,3,0.1875
29,17,8,0.47058823529411764
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,8,0.8888888888888888
35,15,11,0.7333333333333333
36,22,17,0.7727272727272727
37,11,3,0.2727272727272727
38,8,0,0.0
39,13,7,0.5384615384615384
40,25,1,0.04
41,12,6,0.5
42,26,6,0.23076923076923078
43,19,13,0.6842105263157895
44,8,0,0.0
45,39,31,0.7948717948717948
46,13,7,0.5384615384615384
47,14,8,0.5714285714285714
48,10,9,0.9
49,18,14,0.7777777777777778
50,52,34,0.6538461538461539
51,17,14,0.8235294117647058
52,19,2,0.10526315789473684
53,12,7,0.5833333333333334
54,14,7,0.5
55,22,16,0.7272727272727273
56,13,7,0.5384615384615384
57,23,21,0.9130434782608695
58,13,13,1.0
59,22,21,0.9545454545454546
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,10,0.9090909090909091
63,11,8,0.7272727272727273
64,20,16,0.8
65,12,9,0.75
66,9,2,0.2222222222222222
67,11,5,0.45454545454545453
68,11,2,0.18181818181818182
69,12,5,0.4166666666666667
70,16,15,0.9375
71,19,1,0.05263157894736842
72,39,23,0.5897435897435898
73,34,10,0.29411764705882354
74,24,19,0.7916666666666666
75,21,5,0.23809523809523808
76,50,46,0.92
77,27,10,0.37037037037037035
78,8,3,0.375
79,21,3,0.14285714285714285
80,33,27,0.8181818181818182
81,22,9,0.4090909090909091
82,26,5,0.19230769230769232
83,17,2,0.11764705882352941
84,13,2,0.15384615384615385
85,12,3,0.25
86,13,10,0.7692307692307693
87,31,13,0.41935483870967744
88,37,26,0.7027027027027027
89,16,4,0.25
90,15,8,0.5333333333333333
91,13,5,0.38461538461538464
92,9,2,0.2222222222222222
93,32,13,0.40625
94,26,8,0.3076923076923077
95,18,3,0.16666666666666666
96,13,1,0.07692307692307693
97,16,7,0.4375
98,13,0,0.0
99,10,5,0.5
100,12,6,0.5
101,10,5,0.5
