label,total,correct,accuracy
0,8,5,0.625
1,12,8,0.6666666666666666
2,8,2,0.25
3,11,1,0.09090909090909091
4,13,5,0.38461538461538464
5,9,5,0.5555555555555556
6,8,5,0.625
7,17,11,0.6470588235294118
8,9,1,0.1111111111111111
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,14,0.8235294117647058
12,10,1,0.1
13,10,5,0.5
14,10,8,0.8
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,3,0.1875
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,6,0.75
21,12,7,0.5833333333333334
22,18,5,0.2777777777777778
23,9,1,0.1111111111111111
24,8,5,0.625
25,8,4,0.5
26,8,3,0.375
27,13,7,0.5384615384615384
28,16,8,0.5
29,17,7,0.4117647058823529
30,11,2,0.18181818181818182
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,2,0.25
34,9,7,0.7777777777777778
35,15,12,0.8
36,22,18,0.8181818181818182
37,11,4,0.36363636363636365
38,8,2,0.25
39,13,8,0.6153846153846154
40,25,6,0.24
41,12,6,0.5
42,26,5,0.19230769230769232
43,19,13,0.6842105263157895
44,8,2,0.25
45,39,34,0.8717948717948718
46,13,2,0.15384615384615385
47,14,9,0.6428571428571429
48,10,8,0.8
49,18,12,0.6666666666666666
50,52,33,0.6346153846153846
51,17,12,0.7058823529411765
52,19,7,0.3684210526315789
53,12,6,0.5
54,14,9,0.6428571428571429
55,22,17,0.7727272727272727
56,13,10,0.7692307692307693
57,23,20,0.8695652173913043
58,13,10,0.7692307692307693
59,22,21,0.9545454545454546
60,10,8,0.8
61,11,1,0.09090909090909091
62,11,10,0.9090909090909091
63,11,6,0.5454545454545454
64,20,16,0.8
65,12,10,0.8333333333333334
66,9,2,0.2222222222222222
67,11,6,0.5454545454545454
68,11,4,0.36363636363636365
69,12,7,0.5833333333333334
70,16,14,0.875
71,19,1,0.05263157894736842
72,39,29,0.7435897435897436
73,34,14,0.4117647058823529
74,24,18,0.75
75,21,5,0.23809523809523808
76,50,43,0.86
77,27,15,0.5555555555555556
78,8,3,0.375
79,21,9,0.42857142857142855
80,33,23,0.696969696969697
81,22,11,0.5
82,26,8,0.3076923076923077
83,17,6,0.35294117647058826
84,13,5,0.38461538461538464
85,12,2,0.16666666666666666
86,13,9,0.6923076923076923
87,31,15,0.4838709677419355
88,37,24,0.6486486486486487
89,16,2,0.125
90,15,9,0.6
91,13,4,0.3076923076923077
92,9,4,0.4444444444444444
93,32,17,0.53125
94,26,4,0.15384615384615385
95,18,8,0.4444444444444444
96,13,1,0.07692307692307693
97,16,9,0.5625
98,13,3,0.23076923076923078
99,10,5,0.5
100,12,2,0.16666666666666666
101,10,4,0.4
