label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,1,0.125
3,11,0,0.0
4,13,4,0.3076923076923077
5,9,6,0.6666666666666666
6,8,6,0.75
7,17,13,0.7647058823529411
8,9,6,0.6666666666666666
9,9,6,0.6666666666666666
10,17,0,0.0
11,17,14,0.8235294117647058
12,10,3,0.3
13,10,6,0.6
14,10,4,0.4
15,8,0,0.0
16,17,14,0.8235294117647058
17,16,1,0.0625
18,10,3,0.3
19,11,2,0.18181818181818182
20,8,4,0.5
21,12,4,0.3333333333333333
22,18,6,0.3333333333333333
23,9,1,0.1111111111111111
24,8,3,0.375
25,8,6,0.75
26,8,5,0.625
27,13,7,0.5384615384615384
28,16,7,0.4375
29,17,8,0.47058823529411764
30,11,0,0.0
31,9,0,0.0
32,9,0,0.0
33,8,0,0.0
34,9,7,0.7777777777777778
35,15,10,0.6666666666666666
36,22,18,0.8181818181818182
37,11,5,0.45454545454545453
38,8,0,0.0
39,13,6,0.46153846153846156
40,25,1,0.04
41,12,4,0.3333333333333333
42,26,3,0.11538461538461539
43,19,11,0.5789473684210527
44,8,1,0.125
45,39,32,0.8205128205128205
46,13,5,0.38461538461538464
47,14,10,0.7142857142857143
48,10,6,0.6
49,18,10,0.5555555555555556
50,52,29,0.5576923076923077
51,17,14,0.8235294117647058
52,19,3,0.15789473684210525
53,12,7,0.5833333333333334
54,14,7,0.5
55,22,19,0.8636363636363636
56,13,8,0.6153846153846154
57,23,21,0.9130434782608695
58,13,11,0.8461538461538461
59,22,16,0.7272727272727273
60,10,10,1.0
61,11,0,0.0
62,11,10,0.9090909090909091
63,11,5,0.45454545454545453
64,20,16,0.8
65,12,10,0.8333333333333334
66,9,1,0.1111111111111111
67,11,6,0.5454545454545454
68,11,3,0.2727272727272727
69,12,6,0.5
70,16,15,0.9375
71,19,1,0.05263157894736842
72,39,26,0.6666666666666666
73,34,8,0.23529411764705882
74,24,17,0.7083333333333334
75,21,3,0.14285714285714285
76,50,47,0.94
77,27,9,0.3333333333333333
78,8,2,0.25
79,21,4,0.19047619047619047
80,33,27,0.8181818181818182
81,22,6,0.2727272727272727
82,26,2,0.07692307692307693
83,17,1,0.058823529411764705
84,13,2,0.15384615384615385
85,12,4,0.3333333333333333
86,13,9,0.6923076923076923
87,31,18,0.5806451612903226
88,37,14,0.3783783783783784
89,16,3,0.1875
90,15,7,0.4666666666666667
91,13,2,0.15384615384615385
92,9,2,0.2222222222222222
93,32,16,0.5
94,26,8,0.3076923076923077
95,18,1,0.05555555555555555
96,13,1,0.07692307692307693
97,16,7,0.4375
98,13,0,0.0
99,10,5,0.5
100,12,5,0.4166666666666667
101,10,5,0.5
