label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,3,0.375
3,11,1,0.09090909090909091
4,13,8,0.6153846153846154
5,9,7,0.7777777777777778
6,8,3,0.375
7,17,13,0.7647058823529411
8,9,5,0.5555555555555556
9,9,6,0.6666666666666666
10,17,1,0.058823529411764705
11,17,15,0.8823529411764706
12,10,6,0.6
13,10,7,0.7
14,10,7,0.7
15,8,3,0.375
16,17,15,0.8823529411764706
17,16,4,0.25
18,10,2,0.2
19,11,2,0.18181818181818182
20,8,5,0.625
21,12,8,0.6666666666666666
22,18,5,0.2777777777777778
23,9,4,0.4444444444444444
24,8,6,0.75
25,8,3,0.375
26,8,4,0.5
27,13,8,0.6153846153846154
28,16,10,0.625
29,17,8,0.47058823529411764
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,3,0.3333333333333333
35,15,9,0.6
36,22,17,0.7727272727272727
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,5,0.38461538461538464
40,25,8,0.32
41,12,4,0.3333333333333333
42,26,3,0.11538461538461539
43,19,14,0.7368421052631579
44,8,3,0.375
45,39,33,0.8461538461538461
46,13,9,0.6923076923076923
47,14,6,0.42857142857142855
48,10,6,0.6
49,18,6,0.3333333333333333
50,52,19,0.36538461538461536
51,17,14,0.8235294117647058
52,19,8,0.42105263157894735
53,12,7,0.5833333333333334
54,14,8,0.5714285714285714
55,22,17,0.7727272727272727
56,13,7,0.5384615384615384
57,23,21,0.9130434782608695
58,13,11,0.8461538461538461
59,22,18,0.8181818181818182
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,9,0.8181818181818182
63,11,10,0.9090909090909091
64,20,7,0.35
65,12,10,0.8333333333333334
66,9,1,0.1111111111111111
67,11,4,0.36363636363636365
68,11,3,0.2727272727272727
69,12,9,0.75
70,16,15,0.9375
71,19,4,0.21052631578947367
72,39,30,0.7692307692307693
73,34,16,0.47058823529411764
74,24,19,0.7916666666666666
75,21,5,0.23809523809523808
76,50,46,0.92
77,27,13,0.48148148148148145
78,8,5,0.625
79,21,12,0.5714285714285714
80,33,30,0.9090909090909091
81,22,5,0.22727272727272727
82,26,3,0.11538461538461539
83,17,3,0.17647058823529413
84,13,1,0.07692307692307693
85,12,4,0.3333333333333333
86,13,9,0.6923076923076923
87,31,18,0.5806451612903226
88,37,22,0.5945945945945946
89,16,7,0.4375
90,15,8,0.5333333333333333
91,13,5,0.38461538461538464
92,9,3,0.3333333333333333
93,32,10,0.3125
94,26,10,0.38461538461538464
95,18,4,0.2222222222222222
96,13,3,0.23076923076923078
97,16,7,0.4375
98,13,3,0.23076923076923078
99,10,6,0.6
100,12,4,0.3333333333333333
101,10,7,0.7
