label,total,correct,accuracy
0,8,5,0.625
1,12,10,0.8333333333333334
2,8,3,0.375
3,11,0,0.0
4,13,12,0.9230769230769231
5,9,7,0.7777777777777778
6,8,3,0.375
7,17,10,0.5882352941176471
8,9,5,0.5555555555555556
9,9,6,0.6666666666666666
10,17,2,0.11764705882352941
11,17,12,0.7058823529411765
12,10,6,0.6
13,10,7,0.7
14,10,8,0.8
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,6,0.375
18,10,2,0.2
19,11,4,0.36363636363636365
20,8,5,0.625
21,12,8,0.6666666666666666
22,18,7,0.3888888888888889
23,9,6,0.6666666666666666
24,8,4,0.5
25,8,4,0.5
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,8,0.5
29,17,10,0.5882352941176471
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,4,0.4444444444444444
35,15,9,0.6
36,22,16,0.7272727272727273
37,11,3,0.2727272727272727
38,8,2,0.25
39,13,6,0.46153846153846156
40,25,9,0.36
41,12,6,0.5
42,26,6,0.23076923076923078
43,19,11,0.5789473684210527
44,8,2,0.25
45,39,32,0.8205128205128205
46,13,11,0.8461538461538461
47,14,8,0.5714285714285714
48,10,6,0.6
49,18,11,0.6111111111111112
50,52,20,0.38461538461538464
51,17,14,0.8235294117647058
52,19,7,0.3684210526315789
53,12,7,0.5833333333333334
54,14,6,0.42857142857142855
55,22,17,0.7727272727272727
56,13,10,0.7692307692307693
57,23,20,0.8695652173913043
58,13,12,0.9230769230769231
59,22,18,0.8181818181818182
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,10,0.9090909090909091
63,11,10,0.9090909090909091
64,20,13,0.65
65,12,10,0.8333333333333334
66,9,2,0.2222222222222222
67,11,5,0.45454545454545453
68,11,4,0.36363636363636365
69,12,8,0.6666666666666666
70,16,14,0.875
71,19,1,0.05263157894736842
72,39,31,0.7948717948717948
73,34,10,0.29411764705882354
74,24,19,0.7916666666666666
75,21,8,0.38095238095238093
76,50,46,0.92
77,27,15,0.5555555555555556
78,8,1,0.125
79,21,8,0.38095238095238093
80,33,28,0.8484848484848485
81,22,8,0.36363636363636365
82,26,5,0.19230769230769232
83,17,5,0.29411764705882354
84,13,3,0.23076923076923078
85,12,7,0.5833333333333334
86,13,8,0.6153846153846154
87,31,20,0.6451612903225806
88,37,21,0.5675675675675675
89,16,7,0.4375
90,15,8,0.5333333333333333
91,13,4,0.3076923076923077
92,9,2,0.2222222222222222
93,32,16,0.5
94,26,9,0.34615384615384615
95,18,5,0.2777777777777778
96,13,3,0.23076923076923078
97,16,7,0.4375
98,13,4,0.3076923076923077
99,10,8,0.8
100,12,2,0.16666666666666666
101,10,5,0.5
