label,total,correct,accuracy
0,8,5,0.625
1,12,8,0.6666666666666666
2,8,4,0.5
3,11,2,0.18181818181818182
4,13,5,0.38461538461538464
5,9,4,0.4444444444444444
6,8,4,0.5
7,17,10,0.5882352941176471
8,9,4,0.4444444444444444
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,16,0.9411764705882353
12,10,3,0.3
13,10,6,0.6
14,10,6,0.6
15,8,4,0.5
16,17,15,0.8823529411764706
17,16,7,0.4375
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,6,0.75
21,12,5,0.4166666666666667
22,18,7,0.3888888888888889
23,9,3,0.3333333333333333
24,8,4,0.5
25,8,4,0.5
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,7,0.4375
29,17,5,0.29411764705882354
30,11,2,0.18181818181818182
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,2,0.25
34,9,4,0.4444444444444444
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,5,0.45454545454545453
38,8,2,0.25
39,13,7,0.5384615384615384
40,25,10,0.4
41,12,6,0.5
42,26,10,0.38461538461538464
43,19,12,0.631578947368421
44,8,3,0.375
45,39,32,0.8205128205128205
46,13,11,0.8461538461538461
47,14,10,0.7142857142857143
48,10,9,0.9
49,18,11,0.6111111111111112
50,52,35,0.6730769230769231
51,17,11,0.6470588235294118
52,19,7,0.3684210526315789
53,12,9,0.75
54,14,10,0.7142857142857143
55,22,20,0.9090909090909091
56,13,10,0.7692307692307693
57,23,21,0.9130434782608695
58,13,12,0.9230769230769231
59,22,20,0.9090909090909091
60,10,7,0.7
61,11,2,0.18181818181818182
62,11,10,0.9090909090909091
63,11,9,0.8181818181818182
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,0,0.0
67,11,6,0.5454545454545454
68,11,3,0.2727272727272727
69,12,8,0.6666666666666666
70,16,12,0.75
71,19,4,0.21052631578947367
72,39,27,0.6923076923076923
73,34,25,0.7352941176470589
74,24,15,0.625
75,21,7,0.3333333333333333
76,50,44,0.88
77,27,19,0.7037037037037037
78,8,3,0.375
79,21,10,0.47619047619047616
80,33,26,0.7878787878787878
81,22,8,0.36363636363636365
82,26,6,0.23076923076923078
83,17,4,0.23529411764705882
84,13,3,0.23076923076923078
85,12,6,0.5
86,13,8,0.6153846153846154
87,31,19,0.6129032258064516
88,37,23,0.6216216216216216
89,16,5,0.3125
90,15,8,0.5333333333333333
91,13,3,0.23076923076923078
92,9,2,0.2222222222222222
93,32,17,0.53125
94,26,12,0.46153846153846156
95,18,5,0.2777777777777778
96,13,3,0.23076923076923078
97,16,6,0.375
98,13,3,0.23076923076923078
99,10,6,0.6
100,12,1,0.08333333333333333
101,10,6,0.6
