epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,1.0308649045099674,0.766738680377324,1.7608414627137965,0.23859386686611816,0.1522335711930702,0.8442354879899977,0.1868336651872679,0.27705823153636305,2.2640689967283563,0.41044776119402987,2.4651445915732504,0.40623091020158825
2,0.001,2.0,0.8421005606205497,0.6470225908993427,1.3005197663403485,0.331151832460733,0.1522335711930702,0.8442354865634094,0.1868336651872679,0.27705822939648056,2.0325726057166484,0.4701492537313433,2.2084356638885665,0.4434941967012828
3,0.001,2.0,0.7532136202660976,0.5971798275331998,1.0402252298285912,0.3741585639491399,0.1522335711930702,0.8442354837102326,0.1868336651872679,0.27705822903983346,1.8914939254077512,0.4925373134328358,2.14564217455007,0.4612095296273671
4,0.001,2.0,0.6928994755470316,0.5623364725394666,0.8704199704467671,0.4055721765145849,0.1522335719063644,0.8442354894165861,0.18683366483062083,0.27705822868318636,1.8208559502416581,0.5447761194029851,2.050171574515108,0.4844227244960293
5,0.001,2.0,0.6370995964411933,0.5287638044259222,0.7222385827783515,0.42782348541510845,0.1522335695881583,0.844235485136821,0.186833665543915,0.27705822832653926,1.7979598258858296,0.5,1.9761457021599071,0.4954184483811851
6,0.001,2.0,0.5959384437809262,0.501617198660914,0.6288082665173795,0.45287958115183247,0.1522335703014525,0.8442354808570559,0.18683366483062083,0.277058231179716,1.796082142573684,0.5373134328358209,1.921791994943077,0.5125229077580941
7,0.001,2.0,0.5599045552865016,0.47770210229021987,0.5480163157565788,0.47400897531787584,0.1522335694098348,0.8442354808570559,0.18683366625720918,0.27705822618665676,1.7841270984108768,0.5,1.9023435135476094,0.5247403787416005
8,0.001,2.0,0.5250403488092487,0.4529371913369235,0.48068772881621286,0.49177262528047866,0.1522335694098348,0.8442354794304676,0.18683366411732663,0.27705822796989216,1.747667154269432,0.5223880597014925,1.8296627039288922,0.535125229077581
9,0.001,2.0,0.49576407688807084,0.4327962546537595,0.4197854891854074,0.5172026925953628,0.1522335695881583,0.8442354894165861,0.1868336651872679,0.2770582308230689,1.7065847106833956,0.5746268656716418,1.8205753050712674,0.5406230910201588
10,0.001,2.0,0.4627324008816824,0.409615578407125,0.3541121165433212,0.5381451009723262,0.1522335703014525,0.8442354794304676,0.18683366625720918,0.27705822511671546,1.7253992788827242,0.5447761194029851,1.8570335460422822,0.5381795968234575
11,0.001,2.0,0.4420506167340475,0.3923593041338667,0.33127540158262514,0.5478683620044876,0.15223357012312896,0.8442354879899977,0.18683366340403246,0.27705822618665676,1.7237768368934518,0.5895522388059702,1.8894533696666898,0.5320708613317043
12,0.001,2.0,0.42469513369480355,0.381018867422238,0.29117509458567903,0.5671278982797308,0.1522335706580996,0.8442354822836443,0.18683366483062083,0.2770582304664218,1.6612539576060736,0.5746268656716418,1.7327149366560548,0.5620036652412951
13,0.001,2.0,0.39236927953066003,0.3529991950664221,0.2624671992273944,0.5914360508601346,0.1522335710147467,0.8442354822836443,0.18683366625720918,0.27705822832653926,1.7005241975855472,0.5597014925373134,1.8062685855511273,0.5626145387904704
14,0.001,2.0,0.37169024860939165,0.333745999864972,0.2529616504796156,0.5974195961106956,0.15223356851821707,0.8442354865634094,0.18683366625720918,0.2770582308230689,1.6609628805473668,0.5447761194029851,1.7865383408749766,0.5510079413561393
15,0.001,2.0,0.35641472140799374,0.3227838736776995,0.22420564902390486,0.6077038145100973,0.1522335710147467,0.8442354865634094,0.186833665543915,0.27705822832653926,1.6478848439543994,0.5522388059701493,1.7426426926981624,0.5729993891264509
16,0.001,2.0,0.34037958902481696,0.30926781767950007,0.20741178317130637,0.6271503365744203,0.15223357047977604,0.8442354879899977,0.186833665543915,0.27705822903983346,1.6776592126533167,0.6044776119402985,1.7825156666552358,0.5723885155772755
17,0.001,2.0,0.3207530952159736,0.29236524260659313,0.18925232692672497,0.644166043380703,0.1522335703014525,0.8442354865634094,0.1868336651872679,0.2770582268999509,1.6929339695332655,0.582089552238806,1.7859123569475708,0.5699450213805742
18,0.001,2.0,0.30672638048052164,0.2781728940751897,0.1903565879535033,0.649401645474944,0.15223357083642314,0.844235485136821,0.1868336623340912,0.2770582304664218,1.711607570968457,0.6044776119402985,1.8162672901998298,0.5742211362248014
