label,total,correct,accuracy
0,8,5,0.625
1,12,9,0.75
2,8,3,0.375
3,11,1,0.09090909090909091
4,13,8,0.6153846153846154
5,9,8,0.8888888888888888
6,8,5,0.625
7,17,10,0.5882352941176471
8,9,4,0.4444444444444444
9,9,6,0.6666666666666666
10,17,1,0.058823529411764705
11,17,16,0.9411764705882353
12,10,5,0.5
13,10,7,0.7
14,10,8,0.8
15,8,2,0.25
16,17,16,0.9411764705882353
17,16,7,0.4375
18,10,3,0.3
19,11,4,0.36363636363636365
20,8,7,0.875
21,12,6,0.5
22,18,5,0.2777777777777778
23,9,5,0.5555555555555556
24,8,4,0.5
25,8,5,0.625
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,9,0.5625
29,17,5,0.29411764705882354
30,11,2,0.18181818181818182
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,2,0.25
34,9,6,0.6666666666666666
35,15,10,0.6666666666666666
36,22,17,0.7727272727272727
37,11,5,0.45454545454545453
38,8,2,0.25
39,13,6,0.46153846153846156
40,25,10,0.4
41,12,6,0.5
42,26,8,0.3076923076923077
43,19,12,0.631578947368421
44,8,2,0.25
45,39,32,0.8205128205128205
46,13,11,0.8461538461538461
47,14,10,0.7142857142857143
48,10,9,0.9
49,18,9,0.5
50,52,38,0.7307692307692307
51,17,15,0.8823529411764706
52,19,7,0.3684210526315789
53,12,9,0.75
54,14,9,0.6428571428571429
55,22,17,0.7727272727272727
56,13,9,0.6923076923076923
57,23,21,0.9130434782608695
58,13,12,0.9230769230769231
59,22,22,1.0
60,10,9,0.9
61,11,4,0.36363636363636365
62,11,10,0.9090909090909091
63,11,10,0.9090909090909091
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,3,0.3333333333333333
67,11,5,0.45454545454545453
68,11,8,0.7272727272727273
69,12,9,0.75
70,16,12,0.75
71,19,4,0.21052631578947367
72,39,26,0.6666666666666666
73,34,23,0.6764705882352942
74,24,18,0.75
75,21,7,0.3333333333333333
76,50,46,0.92
77,27,19,0.7037037037037037
78,8,1,0.125
79,21,11,0.5238095238095238
80,33,26,0.7878787878787878
81,22,9,0.4090909090909091
82,26,9,0.34615384615384615
83,17,5,0.29411764705882354
84,13,6,0.46153846153846156
85,12,5,0.4166666666666667
86,13,9,0.6923076923076923
87,31,19,0.6129032258064516
88,37,24,0.6486486486486487
89,16,5,0.3125
90,15,9,0.6
91,13,4,0.3076923076923077
92,9,2,0.2222222222222222
93,32,18,0.5625
94,26,8,0.3076923076923077
95,18,8,0.4444444444444444
96,13,3,0.23076923076923078
97,16,8,0.5
98,13,4,0.3076923076923077
99,10,8,0.8
100,12,5,0.4166666666666667
101,10,5,0.5
