epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,1.0306598713109782,0.9092808994618091,0.8091930808601798,0.4269230769230769,0.35288183086521024,0.8651315395648663,0.5577817314273709,0.584077007167942,0.8506504139592571,0.7096774193548387,1.134478537119352,0.5965384615384616
2,0.001,2.0,0.9207841370131943,0.8162722030838767,0.6967462168945061,0.47884615384615387,0.35288182824522585,0.865131536420885,0.5577817314273709,0.584077007167942,0.8340231956974152,0.7322580645161291,1.0530624411656306,0.6392307692307693
3,0.001,2.0,0.8677395164311588,0.7709798494538108,0.645064413023519,0.5108516483516483,0.3528818292932196,0.8651315416608538,0.5577817340473552,0.5840770040239607,0.8119632086446208,0.7677419354838709,1.0757499252832854,0.6411538461538462
4,0.001,2.0,0.8263950696358314,0.737210419675806,0.5945643189844194,0.5291208791208791,0.3528818266732352,0.8651315395648663,0.5577817267113989,0.5840770050719544,0.8179870090176983,0.7354838709677419,1.0861262673598069,0.615
5,0.001,2.0,0.8129382584121201,0.7263958311342931,0.5769494946186359,0.5300824175824176,0.35288183034121334,0.8651315427088475,0.5577817235674177,0.5840770055959513,0.9006688725563787,0.6967741935483871,1.1875532924211942,0.5903846153846154
6,0.001,2.0,0.7767440227361826,0.6966833562641354,0.5337377592757508,0.5479395604395605,0.3528818271972321,0.8651315374688788,0.5577817329993615,0.5840770082159357,0.7580943742106038,0.7548387096774194,1.0090836510291465,0.6634615384615384
7,0.001,2.0,0.7439064304907244,0.6687471129082061,0.501062072633387,0.5616758241758242,0.3528818271972321,0.8651315374688788,0.5577817319513677,0.5840770082159357,0.7281588189063534,0.7612903225806451,1.000880889892578,0.6492307692307693
8,0.001,2.0,0.7198157178176628,0.6483131808239025,0.4766835650244912,0.5791208791208792,0.3528818292932196,0.8651315332769037,0.5577817230434208,0.5840770029759669,0.710562531409725,0.7548387096774194,0.9937149739265442,0.6707692307692308
9,0.001,2.0,0.6773784195983803,0.6139987707138062,0.42253097321960953,0.5995879120879121,0.35288182824522585,0.8651315374688788,0.557781730903374,0.584077007167942,0.6902568901738813,0.7580645161290323,1.0188565138670114,0.6496153846153846
10,0.001,2.0,0.6733941979460664,0.609691091815194,0.4246873572632507,0.6019230769230769,0.3528818292932196,0.8651315343248975,0.5577817314273709,0.5840770082159357,0.7899012800185911,0.7290322580645161,1.0604102758260874,0.6411538461538462
11,0.001,2.0,0.6416900139588576,0.5822776152537419,0.3960826579031054,0.6177197802197802,0.35288182614923835,0.86513154061286,0.5577817298553802,0.584077007167942,0.743857721359499,0.7451612903225806,1.0357011580467224,0.6692307692307692
12,0.001,2.0,0.6081363433009975,0.5532699047864138,0.3657762315902081,0.6358516483516483,0.3528818298172165,0.8651315343248975,0.5577817288073864,0.5840770061199482,0.6770177683522625,0.7838709677419354,0.9685271993050208,0.6746153846153846
13,0.001,2.0,0.5889455538529617,0.5381533033245213,0.3386149921260037,0.6467032967032967,0.35288183243720084,0.8651315374688788,0.5577817298553802,0.5840770055959513,0.6452790264160403,0.7612903225806451,0.9420142716627855,0.6876923076923077
14,0.001,2.0,0.5584317081577175,0.5089244731834957,0.33004823399114086,0.660989010989011,0.35288182772122895,0.8651315395648663,0.5577817256634052,0.5840769977359981,0.6972697119559012,0.7741935483870968,0.9778503067676838,0.6815384615384615
15,0.001,2.0,0.5279894965035575,0.4815095930309086,0.30986599660181735,0.6756868131868132,0.3528818298172165,0.865131536420885,0.5577817277593927,0.5840769998319857,0.7476173812343229,0.7387096774193549,1.0588578506616446,0.6457692307692308
16,0.001,2.0,0.5063371478856264,0.46279976132151845,0.29024921236457407,0.6848901098901099,0.35288183086521024,0.8651315395648663,0.5577817261874021,0.5840770045479575,0.6551145461297805,0.7741935483870968,0.9704192807124211,0.6834615384615385
