label,total,correct,accuracy
0,8,1,0.125
1,12,9,0.75
2,8,3,0.375
3,11,1,0.09090909090909091
4,13,5,0.38461538461538464
5,9,7,0.7777777777777778
6,8,6,0.75
7,17,12,0.7058823529411765
8,9,5,0.5555555555555556
9,9,4,0.4444444444444444
10,17,0,0.0
11,17,6,0.35294117647058826
12,10,8,0.8
13,10,6,0.6
14,10,0,0.0
15,8,0,0.0
16,17,16,0.9411764705882353
17,16,6,0.375
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,4,0.5
21,12,4,0.3333333333333333
22,18,3,0.16666666666666666
23,9,2,0.2222222222222222
24,8,0,0.0
25,8,3,0.375
26,8,4,0.5
27,13,9,0.6923076923076923
28,16,3,0.1875
29,17,12,0.7058823529411765
30,11,0,0.0
31,9,0,0.0
32,9,0,0.0
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,8,0.5333333333333333
36,22,15,0.6818181818181818
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,0,0.0
40,25,6,0.24
41,12,2,0.16666666666666666
42,26,1,0.038461538461538464
43,19,11,0.5789473684210527
44,8,0,0.0
45,39,26,0.6666666666666666
46,13,6,0.46153846153846156
47,14,4,0.2857142857142857
48,10,5,0.5
49,18,7,0.3888888888888889
50,52,11,0.21153846153846154
51,17,14,0.8235294117647058
52,19,2,0.10526315789473684
53,12,9,0.75
54,14,6,0.42857142857142855
55,22,17,0.7727272727272727
56,13,2,0.15384615384615385
57,23,14,0.6086956521739131
58,13,11,0.8461538461538461
59,22,15,0.6818181818181818
60,10,5,0.5
61,11,0,0.0
62,11,6,0.5454545454545454
63,11,8,0.7272727272727273
64,20,2,0.1
65,12,10,0.8333333333333334
66,9,1,0.1111111111111111
67,11,5,0.45454545454545453
68,11,2,0.18181818181818182
69,12,9,0.75
70,16,16,1.0
71,19,5,0.2631578947368421
72,39,28,0.717948717948718
73,34,15,0.4411764705882353
74,24,16,0.6666666666666666
75,21,12,0.5714285714285714
76,50,44,0.88
77,27,11,0.4074074074074074
78,8,2,0.25
79,21,3,0.14285714285714285
80,33,25,0.7575757575757576
81,22,3,0.13636363636363635
82,26,3,0.11538461538461539
83,17,1,0.058823529411764705
84,13,6,0.46153846153846156
85,12,6,0.5
86,13,8,0.6153846153846154
87,31,22,0.7096774193548387
88,37,24,0.6486486486486487
89,16,8,0.5
90,15,5,0.3333333333333333
91,13,1,0.07692307692307693
92,9,2,0.2222222222222222
93,32,8,0.25
94,26,7,0.2692307692307692
95,18,4,0.2222222222222222
96,13,4,0.3076923076923077
97,16,7,0.4375
98,13,0,0.0
99,10,7,0.7
100,12,3,0.25
101,10,2,0.2
