label,total,correct,accuracy
0,8,4,0.5
1,12,7,0.5833333333333334
2,8,2,0.25
3,11,1,0.09090909090909091
4,13,5,0.38461538461538464
5,9,6,0.6666666666666666
6,8,3,0.375
7,17,12,0.7058823529411765
8,9,4,0.4444444444444444
9,9,6,0.6666666666666666
10,17,1,0.058823529411764705
11,17,12,0.7058823529411765
12,10,5,0.5
13,10,6,0.6
14,10,7,0.7
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,5,0.3125
18,10,2,0.2
19,11,2,0.18181818181818182
20,8,6,0.75
21,12,9,0.75
22,18,5,0.2777777777777778
23,9,1,0.1111111111111111
24,8,5,0.625
25,8,4,0.5
26,8,6,0.75
27,13,6,0.46153846153846156
28,16,7,0.4375
29,17,7,0.4117647058823529
30,11,0,0.0
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,3,0.375
34,9,6,0.6666666666666666
35,15,8,0.5333333333333333
36,22,15,0.6818181818181818
37,11,4,0.36363636363636365
38,8,2,0.25
39,13,3,0.23076923076923078
40,25,4,0.16
41,12,5,0.4166666666666667
42,26,4,0.15384615384615385
43,19,13,0.6842105263157895
44,8,2,0.25
45,39,31,0.7948717948717948
46,13,3,0.23076923076923078
47,14,10,0.7142857142857143
48,10,4,0.4
49,18,9,0.5
50,52,34,0.6538461538461539
51,17,14,0.8235294117647058
52,19,5,0.2631578947368421
53,12,8,0.6666666666666666
54,14,11,0.7857142857142857
55,22,19,0.8636363636363636
56,13,7,0.5384615384615384
57,23,21,0.9130434782608695
58,13,13,1.0
59,22,22,1.0
60,10,10,1.0
61,11,3,0.2727272727272727
62,11,9,0.8181818181818182
63,11,11,1.0
64,20,18,0.9
65,12,12,1.0
66,9,1,0.1111111111111111
67,11,4,0.36363636363636365
68,11,5,0.45454545454545453
69,12,3,0.25
70,16,11,0.6875
71,19,2,0.10526315789473684
72,39,24,0.6153846153846154
73,34,22,0.6470588235294118
74,24,10,0.4166666666666667
75,21,13,0.6190476190476191
76,50,39,0.78
77,27,16,0.5925925925925926
78,8,0,0.0
79,21,1,0.047619047619047616
80,33,29,0.8787878787878788
81,22,7,0.3181818181818182
82,26,6,0.23076923076923078
83,17,1,0.058823529411764705
84,13,4,0.3076923076923077
85,12,5,0.4166666666666667
86,13,6,0.46153846153846156
87,31,23,0.7419354838709677
88,37,29,0.7837837837837838
89,16,4,0.25
90,15,7,0.4666666666666667
91,13,3,0.23076923076923078
92,9,1,0.1111111111111111
93,32,14,0.4375
94,26,11,0.4230769230769231
95,18,7,0.3888888888888889
96,13,6,0.46153846153846156
97,16,4,0.25
98,13,2,0.15384615384615385
99,10,4,0.4
100,12,2,0.16666666666666666
101,10,1,0.1
