label,total,correct,accuracy
0,8,1,0.125
1,12,6,0.5
2,8,0,0.0
3,11,0,0.0
4,13,3,0.23076923076923078
5,9,6,0.6666666666666666
6,8,3,0.375
7,17,7,0.4117647058823529
8,9,2,0.2222222222222222
9,9,2,0.2222222222222222
10,17,0,0.0
11,17,11,0.6470588235294118
12,10,4,0.4
13,10,6,0.6
14,10,3,0.3
15,8,0,0.0
16,17,14,0.8235294117647058
17,16,2,0.125
18,10,1,0.1
19,11,1,0.09090909090909091
20,8,1,0.125
21,12,2,0.16666666666666666
22,18,4,0.2222222222222222
23,9,1,0.1111111111111111
24,8,7,0.875
25,8,1,0.125
26,8,3,0.375
27,13,8,0.6153846153846154
28,16,3,0.1875
29,17,6,0.35294117647058826
30,11,0,0.0
31,9,0,0.0
32,9,0,0.0
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,10,0.6666666666666666
36,22,11,0.5
37,11,1,0.09090909090909091
38,8,1,0.125
39,13,1,0.07692307692307693
40,25,4,0.16
41,12,1,0.08333333333333333
42,26,5,0.19230769230769232
43,19,8,0.42105263157894735
44,8,1,0.125
45,39,26,0.6666666666666666
46,13,3,0.23076923076923078
47,14,6,0.42857142857142855
48,10,7,0.7
49,18,4,0.2222222222222222
50,52,16,0.3076923076923077
51,17,12,0.7058823529411765
52,19,0,0.0
53,12,4,0.3333333333333333
54,14,5,0.35714285714285715
55,22,16,0.7272727272727273
56,13,3,0.23076923076923078
57,23,13,0.5652173913043478
58,13,6,0.46153846153846156
59,22,21,0.9545454545454546
60,10,8,0.8
61,11,1,0.09090909090909091
62,11,9,0.8181818181818182
63,11,10,0.9090909090909091
64,20,5,0.25
65,12,9,0.75
66,9,1,0.1111111111111111
67,11,3,0.2727272727272727
68,11,2,0.18181818181818182
69,12,0,0.0
70,16,14,0.875
71,19,0,0.0
72,39,21,0.5384615384615384
73,34,7,0.20588235294117646
74,24,13,0.5416666666666666
75,21,6,0.2857142857142857
76,50,45,0.9
77,27,8,0.2962962962962963
78,8,2,0.25
79,21,2,0.09523809523809523
80,33,29,0.8787878787878788
81,22,6,0.2727272727272727
82,26,1,0.038461538461538464
83,17,0,0.0
84,13,1,0.07692307692307693
85,12,4,0.3333333333333333
86,13,4,0.3076923076923077
87,31,17,0.5483870967741935
88,37,17,0.4594594594594595
89,16,1,0.0625
90,15,6,0.4
91,13,3,0.23076923076923078
92,9,3,0.3333333333333333
93,32,13,0.40625
94,26,2,0.07692307692307693
95,18,2,0.1111111111111111
96,13,3,0.23076923076923078
97,16,4,0.25
98,13,0,0.0
99,10,8,0.8
100,12,6,0.5
101,10,4,0.4
