label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,1,0.125
3,11,2,0.18181818181818182
4,13,7,0.5384615384615384
5,9,7,0.7777777777777778
6,8,7,0.875
7,17,13,0.7647058823529411
8,9,5,0.5555555555555556
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,16,0.9411764705882353
12,10,8,0.8
13,10,6,0.6
14,10,9,0.9
15,8,1,0.125
16,17,14,0.8235294117647058
17,16,4,0.25
18,10,1,0.1
19,11,3,0.2727272727272727
20,8,6,0.75
21,12,9,0.75
22,18,7,0.3888888888888889
23,9,4,0.4444444444444444
24,8,6,0.75
25,8,5,0.625
26,8,4,0.5
27,13,6,0.46153846153846156
28,16,10,0.625
29,17,6,0.35294117647058826
30,11,1,0.09090909090909091
31,9,1,0.1111111111111111
32,9,3,0.3333333333333333
33,8,3,0.375
34,9,7,0.7777777777777778
35,15,12,0.8
36,22,19,0.8636363636363636
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,9,0.6923076923076923
40,25,7,0.28
41,12,7,0.5833333333333334
42,26,7,0.2692307692307692
43,19,18,0.9473684210526315
44,8,2,0.25
45,39,34,0.8717948717948718
46,13,4,0.3076923076923077
47,14,7,0.5
48,10,8,0.8
49,18,9,0.5
50,52,33,0.6346153846153846
51,17,15,0.8823529411764706
52,19,7,0.3684210526315789
53,12,6,0.5
54,14,11,0.7857142857142857
55,22,18,0.8181818181818182
56,13,10,0.7692307692307693
57,23,22,0.9565217391304348
58,13,12,0.9230769230769231
59,22,22,1.0
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,10,0.9090909090909091
63,11,11,1.0
64,20,15,0.75
65,12,11,0.9166666666666666
66,9,3,0.3333333333333333
67,11,6,0.5454545454545454
68,11,5,0.45454545454545453
69,12,11,0.9166666666666666
70,16,14,0.875
71,19,2,0.10526315789473684
72,39,31,0.7948717948717948
73,34,16,0.47058823529411764
74,24,16,0.6666666666666666
75,21,9,0.42857142857142855
76,50,46,0.92
77,27,20,0.7407407407407407
78,8,3,0.375
79,21,10,0.47619047619047616
80,33,25,0.7575757575757576
81,22,8,0.36363636363636365
82,26,4,0.15384615384615385
83,17,1,0.058823529411764705
84,13,2,0.15384615384615385
85,12,5,0.4166666666666667
86,13,9,0.6923076923076923
87,31,18,0.5806451612903226
88,37,29,0.7837837837837838
89,16,4,0.25
90,15,10,0.6666666666666666
91,13,6,0.46153846153846156
92,9,4,0.4444444444444444
93,32,19,0.59375
94,26,12,0.46153846153846156
95,18,4,0.2222222222222222
96,13,4,0.3076923076923077
97,16,8,0.5
98,13,2,0.15384615384615385
99,10,5,0.5
100,12,4,0.3333333333333333
101,10,5,0.5
