label,total,correct,accuracy
0,8,4,0.5
1,12,9,0.75
2,8,3,0.375
3,11,0,0.0
4,13,1,0.07692307692307693
5,9,5,0.5555555555555556
6,8,5,0.625
7,17,10,0.5882352941176471
8,9,3,0.3333333333333333
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,9,0.5294117647058824
12,10,7,0.7
13,10,1,0.1
14,10,5,0.5
15,8,0,0.0
16,17,14,0.8235294117647058
17,16,3,0.1875
18,10,1,0.1
19,11,3,0.2727272727272727
20,8,5,0.625
21,12,5,0.4166666666666667
22,18,6,0.3333333333333333
23,9,4,0.4444444444444444
24,8,3,0.375
25,8,2,0.25
26,8,4,0.5
27,13,8,0.6153846153846154
28,16,9,0.5625
29,17,7,0.4117647058823529
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,0,0.0
34,9,0,0.0
35,15,12,0.8
36,22,18,0.8181818181818182
37,11,1,0.09090909090909091
38,8,1,0.125
39,13,5,0.38461538461538464
40,25,8,0.32
41,12,1,0.08333333333333333
42,26,3,0.11538461538461539
43,19,11,0.5789473684210527
44,8,2,0.25
45,39,34,0.8717948717948718
46,13,2,0.15384615384615385
47,14,12,0.8571428571428571
48,10,9,0.9
49,18,12,0.6666666666666666
50,52,23,0.4423076923076923
51,17,14,0.8235294117647058
52,19,2,0.10526315789473684
53,12,7,0.5833333333333334
54,14,10,0.7142857142857143
55,22,17,0.7727272727272727
56,13,8,0.6153846153846154
57,23,22,0.9565217391304348
58,13,9,0.6923076923076923
59,22,22,1.0
60,10,9,0.9
61,11,2,0.18181818181818182
62,11,10,0.9090909090909091
63,11,10,0.9090909090909091
64,20,18,0.9
65,12,12,1.0
66,9,1,0.1111111111111111
67,11,0,0.0
68,11,3,0.2727272727272727
69,12,2,0.16666666666666666
70,16,14,0.875
71,19,2,0.10526315789473684
72,39,27,0.6923076923076923
73,34,14,0.4117647058823529
74,24,17,0.7083333333333334
75,21,7,0.3333333333333333
76,50,41,0.82
77,27,15,0.5555555555555556
78,8,3,0.375
79,21,4,0.19047619047619047
80,33,26,0.7878787878787878
81,22,7,0.3181818181818182
82,26,5,0.19230769230769232
83,17,0,0.0
84,13,1,0.07692307692307693
85,12,6,0.5
86,13,10,0.7692307692307693
87,31,7,0.22580645161290322
88,37,15,0.40540540540540543
89,16,1,0.0625
90,15,7,0.4666666666666667
91,13,5,0.38461538461538464
92,9,3,0.3333333333333333
93,32,15,0.46875
94,26,4,0.15384615384615385
95,18,6,0.3333333333333333
96,13,3,0.23076923076923078
97,16,7,0.4375
98,13,4,0.3076923076923077
99,10,4,0.4
100,12,0,0.0
101,10,3,0.3
