epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,1.0697013989909665,0.9937603261444595,0.7594106734453977,0.5657967032967033,0.495378849532578,0.864403089586195,0.864403089586195,0.8389155545077481,0.889583033515561,0.6838709677419355,1.1202347916823168,0.6030769230769231
2,0.001,2.0,0.891565588935391,0.8258810828020284,0.6568450822934999,0.6435439560439561,0.49537884376861235,0.8644030832982326,0.8644030832982326,0.8389155586997231,0.7054392587754035,0.7580645161290323,0.9374357718687791,0.6715384615384615
3,0.001,2.0,0.816117846441793,0.7546143749258021,0.6150347151599087,0.6722527472527473,0.49537884848458424,0.8644030906341889,0.8644030906341889,0.8389155534597543,0.766526154164345,0.7258064516129032,0.9619735616904038,0.6653846153846154
4,0.001,2.0,0.7418616100981995,0.6835603289551787,0.5830127958413008,0.7012362637362637,0.49537884691259365,0.864403089586195,0.864403089586195,0.8389155545077481,0.74388331713215,0.7548387096774194,1.001263512648069,0.6557692307692308
5,0.001,2.0,0.696109838276119,0.6395613944137489,0.5654844263097742,0.7214285714285714,0.495378845340603,0.8644030874902076,0.8644030874902076,0.8389155597477169,0.645949770942811,0.7903225806451613,0.9768104138741126,0.6484615384615384
6,0.001,2.0,0.6440778789939461,0.5898782075106442,0.5419966943316408,0.7516483516483516,0.4953788448166061,0.8644030958741575,0.8644030958741575,0.8389155576517294,0.7171787361944876,0.7548387096774194,0.9104241008024949,0.6915384615384615
7,0.001,2.0,0.6098794790414663,0.5574525601261264,0.5242691950483637,0.7561813186813187,0.495378845340603,0.8644030874902076,0.8644030874902076,0.8389155492677793,0.7217929763178672,0.7548387096774194,0.9149566329442538,0.6773076923076923
8,0.001,2.0,0.5506705552667052,0.5019104754531777,0.48760077894388976,0.7835164835164835,0.49537885162856554,0.8644030916821825,0.8644030916821825,0.8389155555557418,0.6372264019904598,0.7870967741935484,0.9139278738315288,0.6953846153846154
9,0.001,2.0,0.5048973686092503,0.45797973013186194,0.4691763706259675,0.7998626373626374,0.49537884638859675,0.8644030832982326,0.8644030832982326,0.8389155534597543,0.6095376068545926,0.8032258064516129,0.8898634259517376,0.6988461538461539
10,0.001,2.0,0.4740189092499869,0.4281654905486893,0.45853417758103254,0.8141483516483516,0.4953788401006342,0.864403089586195,0.864403089586195,0.8389155503157731,0.6439567900473072,0.7935483870967742,0.8363207523639385,0.7361538461538462
11,0.001,2.0,0.42322294116020204,0.3798010938115172,0.4342184596009307,0.8385989010989011,0.49537884429260926,0.864403089586195,0.864403089586195,0.8389155566037356,0.6162303017031762,0.8064516129032258,0.8790812070553119,0.725
12,0.001,2.0,0.3990336919223869,0.35684071943000123,0.42192973370080467,0.8491758241758242,0.495378845340603,0.8644030906341889,0.8644030906341889,0.8389155586997231,0.6775926574583977,0.7838709677419354,0.9355057355073783,0.7096153846153846
