epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,1.7005866999154562,1.4768824006174948,0.894817188676897,0.4473901098901099,0.4483643982436631,0.8679636923821418,0.8679636923821418,0.8406840554960482,0.9101489378559974,0.7032258064516129,1.1577430002505962,0.6026923076923076
2,0.001,2.0,1.5498633130566104,1.3515945130652123,0.7930751864726727,0.5035714285714286,0.4483643956236787,0.8679636965741168,0.8679636965741168,0.8406840628320045,0.8883710526650952,0.7161290322580646,1.1005605495893038,0.6388461538461538
3,0.001,2.0,1.4640949526985922,1.2778428130097441,0.7450085193246275,0.5313186813186813,0.44836439405168804,0.8679636997180981,0.8679636997180981,0.8406840607360169,0.8044079688287551,0.7161290322580646,1.029056047292856,0.6446153846153846
4,0.001,2.0,1.4050820911323632,1.2329530592803117,0.6885161158802745,0.5524725274725275,0.44836439719566934,0.8679636955261231,0.8679636955261231,0.8406840743599358,0.8201971280959345,0.7516129032258064,1.0483771203114436,0.6503846153846153
5,0.001,2.0,1.3746857860586146,1.2044725761308774,0.6808528332919865,0.5629120879120879,0.4483643930036943,0.8679636986701043,0.8679636986701043,0.8406840628320045,0.7991108632856799,0.7645161290322581,1.0455964409388028,0.655
6,0.001,2.0,1.316346541079846,1.1590522302376045,0.6291772399629866,0.5800824175824176,0.44836439719566934,0.8679636944781293,0.8679636944781293,0.8406840586400294,0.7445971592780083,0.8,0.969828919997582,0.6892307692307692
7,0.001,2.0,1.2600650928832673,1.1110654304315755,0.595998645221794,0.6,0.4483643961476756,0.8679637018140856,0.8679637018140856,0.8406840617840107,0.7473045875949245,0.7741935483870968,0.9710715935780452,0.69
8,0.001,2.0,1.2368482055244865,1.0920344033084073,0.5792551762455113,0.6012362637362637,0.4483643950996818,0.8679636934301356,0.8679636934301356,0.8406840628320045,0.7530554113849517,0.7483870967741936,0.983767639857072,0.6703846153846154
9,0.001,2.0,1.1757247492507263,1.0419107932310838,0.5352558170046126,0.6269230769230769,0.44836439719566934,0.8679636923821418,0.8679636923821418,0.8406840575920357,0.7315777424843081,0.7709677419354839,0.9663133648725656,0.6807692307692308
10,0.001,2.0,1.1440472948682177,1.0120744393422054,0.5278913883062509,0.6288461538461538,0.4483643998156537,0.8679637007660919,0.8679637007660919,0.8406840617840107,0.7139106531297007,0.7677419354838709,0.961272361095135,0.683076923076923
11,0.001,2.0,1.0987847637344192,0.9725560255103058,0.5049149563024332,0.6402472527472527,0.4483643982436631,0.8679636997180981,0.8679636997180981,0.8406840586400294,0.7299111858490974,0.7483870967741936,0.9708359525753901,0.6815384615384615
12,0.001,2.0,1.0447942990523118,0.926519935471671,0.47309745386406615,0.6553571428571429,0.44836439719566934,0.8679637018140856,0.8679637018140856,0.8406840596880232,0.7015736929831966,0.7774193548387097,0.9033696013230544,0.703076923076923
13,0.001,2.0,1.0103206196984091,0.8975552511739207,0.4510614954508268,0.6671703296703296,0.44836439719566934,0.8679637018140856,0.8679637018140856,0.8406840586400294,0.6809213665223891,0.7548387096774194,0.9265768399605384,0.6923076923076923
14,0.001,2.0,0.9640699956443284,0.8530564804653545,0.4440540611088931,0.6884615384615385,0.4483643998156537,0.8679637007660919,0.8679637007660919,0.8406840638799982,0.7404174943124094,0.7709677419354839,0.9393495988845825,0.6988461538461539
15,0.001,2.0,0.8950611563829275,0.7962031300251301,0.39543210215620944,0.699587912087912,0.44836439876765993,0.8679636976221106,0.8679636976221106,0.8406840628320045,0.7451256048294805,0.7677419354838709,0.9724156761169434,0.6823076923076923
16,0.001,2.0,0.862342404795217,0.7649002688271659,0.38976855402464394,0.7108516483516484,0.4483644008636475,0.8679637028620794,0.8679637028620794,0.8406840607360169,0.688847827911377,0.7806451612903226,0.9280147103162912,0.705
