epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.7932176126228584,0.7932176126228584,0.8474117792569674,0.5206043956043956,0.423475400694124,0.8699521871713491,0.6467137934087397,0.6659120182414632,0.9307394604529103,0.635483870967742,1.1760947157786443,0.5761538461538461
2,0.001,2.0,0.6471233340410086,0.6471233340410086,0.7657529864992414,0.5991758241758242,0.42347539545415525,0.8699521829793742,0.6467137934087397,0.6659120161454756,0.8671801670905083,0.6903225806451613,1.0751028943061829,0.6234615384615385
3,0.001,2.0,0.5878790341890775,0.5878790341890775,0.7485277646190518,0.6351648351648351,0.4234753917861771,0.8699521840273678,0.6467137892167647,0.6659120150974819,0.9005816144327964,0.7096774193548387,1.143582444190979,0.5984615384615385
4,0.001,2.0,0.5346244348274483,0.5346244348274483,0.7112040460764707,0.6614010989010989,0.4234753917861771,0.8699521819313804,0.646713792360746,0.6659120130014944,0.8648280112974105,0.7129032258064516,1.1392957437955415,0.6073076923076923
5,0.001,2.0,0.514029529592493,0.514029529592493,0.7299745270184108,0.6733516483516484,0.42347539493015834,0.8699521871713491,0.6467137892167647,0.6659120140494881,0.8276342288140328,0.7161290322580646,1.1717716664534348,0.5930769230769231
6,0.001,2.0,0.481101124889248,0.481101124889248,0.7290511126046653,0.6916208791208791,0.42347539283417085,0.8699521798353929,0.6467137871207772,0.6659120119535006,0.8743085503578186,0.6774193548387096,1.160135999092689,0.5973076923076923
7,0.001,2.0,0.45726759839843917,0.45726759839843917,0.7179042421854459,0.7048076923076924,0.42347539493015834,0.8699521903153304,0.6467137839767959,0.6659120161454756,0.7742371666815973,0.7548387096774194,1.0452403849821825,0.6357692307692308
8,0.001,2.0,0.4256236480487572,0.4256236480487572,0.7176959456978264,0.7267857142857143,0.4234753980741396,0.8699521861233555,0.6467137860727834,0.6659120098575131,0.773297466001203,0.7451612903225806,1.0970019923723662,0.63
9,0.001,2.0,0.386860011436127,0.386860011436127,0.7098000832966396,0.7516483516483516,0.42347539545415525,0.8699521850753617,0.6467137871207772,0.6659120213854444,0.7870882584202674,0.7322580645161291,1.0961701228068426,0.6438461538461538
10,0.001,2.0,0.3737065111542796,0.3737065111542796,0.7169365654934894,0.754532967032967,0.423475396502149,0.8699521777394054,0.6467137871207772,0.6659120130014944,0.8846306581651011,0.6935483870967742,1.1589940995436447,0.6169230769230769
11,0.001,2.0,0.3365128696619809,0.3365128696619809,0.7194389658969838,0.7798076923076923,0.42347539755014274,0.8699521840273678,0.6467137955047272,0.6659120161454756,0.8622241404748732,0.6903225806451613,1.1869249021089994,0.6053846153846154
