index,split,image_filename,relative_path,label,class_name,source_split,source_index,noise_type,noise_value
2,train,train_00002.png,images/train_00002.png,0,airplane,train,4299,brightness,0.75
3,train,train_00003.png,images/train_00003.png,9,truck,train,1555,brightness,0.75
4,train,train_00004.png,images/train_00004.png,4,deer,train,2204,brightness,0.75
5,train,train_00005.png,images/train_00005.png,7,monkey,test,3529,brightness,0.75
6,train,train_00006.png,images/train_00006.png,9,truck,train,3207,brightness,0.75
7,train,train_00007.png,images/train_00007.png,6,horse,test,4734,brightness,0.75
9,train,train_00009.png,images/train_00009.png,3,cat,test,256,brightness,0.75
10,train,train_00010.png,images/train_00010.png,5,dog,test,1525,brightness,0.75
12,train,train_00012.png,images/train_00012.png,4,deer,test,7876,brightness,0.75
14,train,train_00014.png,images/train_00014.png,1,bird,test,4561,brightness,0.75
16,train,train_00016.png,images/train_00016.png,2,car,test,6708,brightness,0.75
18,train,train_00018.png,images/train_00018.png,0,airplane,test,2721,brightness,0.75
19,train,train_00019.png,images/train_00019.png,4,deer,test,6200,brightness,0.75
20,train,train_00020.png,images/train_00020.png,7,monkey,test,1619,brightness,0.75
22,train,train_00022.png,images/train_00022.png,8,ship,test,1597,brightness,0.75
23,train,train_00023.png,images/train_00023.png,4,deer,test,3882,brightness,0.75
25,train,train_00025.png,images/train_00025.png,5,dog,train,2509,brightness,0.75
27,train,train_00027.png,images/train_00027.png,2,car,test,2442,brightness,0.75
28,train,train_00028.png,images/train_00028.png,6,horse,test,4276,brightness,0.75
29,train,train_00029.png,images/train_00029.png,3,cat,test,2428,brightness,0.75
30,train,train_00030.png,images/train_00030.png,9,truck,test,927,brightness,0.75
31,train,train_00031.png,images/train_00031.png,4,deer,test,1935,brightness,0.75
32,train,train_00032.png,images/train_00032.png,7,monkey,test,1122,brightness,0.75
33,train,train_00033.png,images/train_00033.png,3,cat,test,5305,brightness,0.75
39,train,train_00039.png,images/train_00039.png,3,cat,test,4452,brightness,0.75
40,train,train_00040.png,images/train_00040.png,7,monkey,test,5088,brightness,0.75
41,train,train_00041.png,images/train_00041.png,4,deer,train,556,brightness,0.75
42,train,train_00042.png,images/train_00042.png,7,monkey,train,162,brightness,0.75
44,train,train_00044.png,images/train_00044.png,1,bird,train,4709,brightness,0.75
45,train,train_00045.png,images/train_00045.png,4,deer,test,4559,brightness,0.75
46,train,train_00046.png,images/train_00046.png,5,dog,test,1173,brightness,0.75
49,train,train_00049.png,images/train_00049.png,9,truck,test,3473,brightness,0.75
50,train,train_00050.png,images/train_00050.png,9,truck,test,1885,brightness,0.75
51,train,train_00051.png,images/train_00051.png,2,car,test,3454,brightness,0.75
53,train,train_00053.png,images/train_00053.png,6,horse,test,769,brightness,0.75
55,train,train_00055.png,images/train_00055.png,1,bird,test,1383,brightness,0.75
56,train,train_00056.png,images/train_00056.png,3,cat,train,1757,brightness,0.75
58,train,train_00058.png,images/train_00058.png,4,deer,train,4883,brightness,0.75
59,train,train_00059.png,images/train_00059.png,4,deer,train,3613,brightness,0.75
62,train,train_00062.png,images/train_00062.png,7,monkey,test,1876,brightness,0.75
63,train,train_00063.png,images/train_00063.png,2,car,train,443,brightness,0.75
65,train,train_00065.png,images/train_00065.png,5,dog,train,3245,brightness,0.75
67,train,train_00067.png,images/train_00067.png,6,horse,test,2462,brightness,0.75
70,train,train_00070.png,images/train_00070.png,5,dog,train,2464,brightness,0.75
72,train,train_00072.png,images/train_00072.png,7,monkey,test,6772,brightness,0.75
73,train,train_00073.png,images/train_00073.png,4,deer,train,4988,brightness,0.75
74,train,train_00074.png,images/train_00074.png,1,bird,train,4513,brightness,0.75
