label,total,correct,accuracy
0,8,6,0.75
1,12,10,0.8333333333333334
2,8,2,0.25
3,11,1,0.09090909090909091
4,13,3,0.23076923076923078
5,9,4,0.4444444444444444
6,8,6,0.75
7,17,16,0.9411764705882353
8,9,7,0.7777777777777778
9,9,8,0.8888888888888888
10,17,2,0.11764705882352941
11,17,14,0.8235294117647058
12,10,7,0.7
13,10,7,0.7
14,10,9,0.9
15,8,3,0.375
16,17,15,0.8823529411764706
17,16,8,0.5
18,10,2,0.2
19,11,4,0.36363636363636365
20,8,7,0.875
21,12,7,0.5833333333333334
22,18,7,0.3888888888888889
23,9,5,0.5555555555555556
24,8,5,0.625
25,8,1,0.125
26,8,6,0.75
27,13,7,0.5384615384615384
28,16,8,0.5
29,17,10,0.5882352941176471
30,11,1,0.09090909090909091
31,9,1,0.1111111111111111
32,9,5,0.5555555555555556
33,8,0,0.0
34,9,8,0.8888888888888888
35,15,11,0.7333333333333333
36,22,18,0.8181818181818182
37,11,7,0.6363636363636364
38,8,2,0.25
39,13,7,0.5384615384615384
40,25,16,0.64
41,12,8,0.6666666666666666
42,26,7,0.2692307692307692
43,19,15,0.7894736842105263
44,8,4,0.5
45,39,35,0.8974358974358975
46,13,13,1.0
47,14,8,0.5714285714285714
48,10,7,0.7
49,18,13,0.7222222222222222
50,52,30,0.5769230769230769
51,17,16,0.9411764705882353
52,19,10,0.5263157894736842
53,12,10,0.8333333333333334
54,14,10,0.7142857142857143
55,22,20,0.9090909090909091
56,13,10,0.7692307692307693
57,23,19,0.8260869565217391
58,13,9,0.6923076923076923
59,22,21,0.9545454545454546
60,10,10,1.0
61,11,3,0.2727272727272727
62,11,11,1.0
63,11,11,1.0
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,8,0.7272727272727273
68,11,6,0.5454545454545454
69,12,10,0.8333333333333334
70,16,13,0.8125
71,19,7,0.3684210526315789
72,39,33,0.8461538461538461
73,34,22,0.6470588235294118
74,24,20,0.8333333333333334
75,21,10,0.47619047619047616
76,50,50,1.0
77,27,18,0.6666666666666666
78,8,4,0.5
79,21,10,0.47619047619047616
80,33,29,0.8787878787878788
81,22,5,0.22727272727272727
82,26,11,0.4230769230769231
83,17,4,0.23529411764705882
84,13,2,0.15384615384615385
85,12,7,0.5833333333333334
86,13,10,0.7692307692307693
87,31,24,0.7741935483870968
88,37,23,0.6216216216216216
89,16,8,0.5
90,15,10,0.6666666666666666
91,13,8,0.6153846153846154
92,9,3,0.3333333333333333
93,32,23,0.71875
94,26,11,0.4230769230769231
95,18,5,0.2777777777777778
96,13,4,0.3076923076923077
97,16,10,0.625
98,13,7,0.5384615384615384
99,10,8,0.8
100,12,4,0.3333333333333333
101,10,7,0.7
