label,total,correct,accuracy
0,8,6,0.75
1,12,10,0.8333333333333334
2,8,3,0.375
3,11,1,0.09090909090909091
4,13,3,0.23076923076923078
5,9,4,0.4444444444444444
6,8,5,0.625
7,17,16,0.9411764705882353
8,9,8,0.8888888888888888
9,9,8,0.8888888888888888
10,17,1,0.058823529411764705
11,17,14,0.8235294117647058
12,10,6,0.6
13,10,7,0.7
14,10,8,0.8
15,8,3,0.375
16,17,15,0.8823529411764706
17,16,6,0.375
18,10,2,0.2
19,11,4,0.36363636363636365
20,8,7,0.875
21,12,6,0.5
22,18,7,0.3888888888888889
23,9,5,0.5555555555555556
24,8,4,0.5
25,8,1,0.125
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,8,0.5
29,17,6,0.35294117647058826
30,11,2,0.18181818181818182
31,9,0,0.0
32,9,5,0.5555555555555556
33,8,4,0.5
34,9,7,0.7777777777777778
35,15,11,0.7333333333333333
36,22,19,0.8636363636363636
37,11,4,0.36363636363636365
38,8,3,0.375
39,13,7,0.5384615384615384
40,25,14,0.56
41,12,9,0.75
42,26,9,0.34615384615384615
43,19,15,0.7894736842105263
44,8,6,0.75
45,39,34,0.8717948717948718
46,13,13,1.0
47,14,8,0.5714285714285714
48,10,8,0.8
49,18,12,0.6666666666666666
50,52,32,0.6153846153846154
51,17,16,0.9411764705882353
52,19,6,0.3157894736842105
53,12,10,0.8333333333333334
54,14,10,0.7142857142857143
55,22,19,0.8636363636363636
56,13,10,0.7692307692307693
57,23,21,0.9130434782608695
58,13,8,0.6153846153846154
59,22,22,1.0
60,10,10,1.0
61,11,5,0.45454545454545453
62,11,11,1.0
63,11,11,1.0
64,20,17,0.85
65,12,12,1.0
66,9,2,0.2222222222222222
67,11,9,0.8181818181818182
68,11,6,0.5454545454545454
69,12,9,0.75
70,16,12,0.75
71,19,4,0.21052631578947367
72,39,32,0.8205128205128205
73,34,21,0.6176470588235294
74,24,18,0.75
75,21,14,0.6666666666666666
76,50,50,1.0
77,27,22,0.8148148148148148
78,8,3,0.375
79,21,7,0.3333333333333333
80,33,30,0.9090909090909091
81,22,8,0.36363636363636365
82,26,10,0.38461538461538464
83,17,3,0.17647058823529413
84,13,2,0.15384615384615385
85,12,9,0.75
86,13,10,0.7692307692307693
87,31,25,0.8064516129032258
88,37,27,0.7297297297297297
89,16,5,0.3125
90,15,11,0.7333333333333333
91,13,7,0.5384615384615384
92,9,3,0.3333333333333333
93,32,20,0.625
94,26,10,0.38461538461538464
95,18,6,0.3333333333333333
96,13,7,0.5384615384615384
97,16,8,0.5
98,13,9,0.6923076923076923
99,10,8,0.8
100,12,5,0.4166666666666667
101,10,7,0.7
