label,total,correct,accuracy
0,8,3,0.375
1,12,9,0.75
2,8,1,0.125
3,11,1,0.09090909090909091
4,13,6,0.46153846153846156
5,9,6,0.6666666666666666
6,8,3,0.375
7,17,15,0.8823529411764706
8,9,5,0.5555555555555556
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,15,0.8823529411764706
12,10,7,0.7
13,10,5,0.5
14,10,9,0.9
15,8,0,0.0
16,17,14,0.8235294117647058
17,16,3,0.1875
18,10,3,0.3
19,11,6,0.5454545454545454
20,8,7,0.875
21,12,5,0.4166666666666667
22,18,8,0.4444444444444444
23,9,0,0.0
24,8,1,0.125
25,8,2,0.25
26,8,4,0.5
27,13,6,0.46153846153846156
28,16,6,0.375
29,17,8,0.47058823529411764
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,10,0.6666666666666666
36,22,18,0.8181818181818182
37,11,3,0.2727272727272727
38,8,1,0.125
39,13,4,0.3076923076923077
40,25,4,0.16
41,12,7,0.5833333333333334
42,26,7,0.2692307692307692
43,19,13,0.6842105263157895
44,8,0,0.0
45,39,33,0.8461538461538461
46,13,3,0.23076923076923078
47,14,6,0.42857142857142855
48,10,5,0.5
49,18,10,0.5555555555555556
50,52,22,0.4230769230769231
51,17,12,0.7058823529411765
52,19,2,0.10526315789473684
53,12,9,0.75
54,14,7,0.5
55,22,19,0.8636363636363636
56,13,9,0.6923076923076923
57,23,22,0.9565217391304348
58,13,10,0.7692307692307693
59,22,22,1.0
60,10,10,1.0
61,11,0,0.0
62,11,11,1.0
63,11,11,1.0
64,20,15,0.75
65,12,11,0.9166666666666666
66,9,3,0.3333333333333333
67,11,8,0.7272727272727273
68,11,7,0.6363636363636364
69,12,8,0.6666666666666666
70,16,8,0.5
71,19,2,0.10526315789473684
72,39,26,0.6666666666666666
73,34,19,0.5588235294117647
74,24,18,0.75
75,21,10,0.47619047619047616
76,50,47,0.94
77,27,12,0.4444444444444444
78,8,4,0.5
79,21,7,0.3333333333333333
80,33,27,0.8181818181818182
81,22,5,0.22727272727272727
82,26,4,0.15384615384615385
83,17,4,0.23529411764705882
84,13,1,0.07692307692307693
85,12,4,0.3333333333333333
86,13,9,0.6923076923076923
87,31,22,0.7096774193548387
88,37,22,0.5945945945945946
89,16,7,0.4375
90,15,8,0.5333333333333333
91,13,6,0.46153846153846156
92,9,1,0.1111111111111111
93,32,22,0.6875
94,26,5,0.19230769230769232
95,18,0,0.0
96,13,2,0.15384615384615385
97,16,8,0.5
98,13,2,0.15384615384615385
99,10,7,0.7
100,12,3,0.25
101,10,6,0.6
