label,total,correct,accuracy
0,8,4,0.5
1,12,9,0.75
2,8,1,0.125
3,11,0,0.0
4,13,8,0.6153846153846154
5,9,5,0.5555555555555556
6,8,3,0.375
7,17,12,0.7058823529411765
8,9,4,0.4444444444444444
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,13,0.7647058823529411
12,10,7,0.7
13,10,5,0.5
14,10,8,0.8
15,8,1,0.125
16,17,13,0.7647058823529411
17,16,5,0.3125
18,10,2,0.2
19,11,5,0.45454545454545453
20,8,6,0.75
21,12,6,0.5
22,18,10,0.5555555555555556
23,9,1,0.1111111111111111
24,8,3,0.375
25,8,2,0.25
26,8,4,0.5
27,13,6,0.46153846153846156
28,16,11,0.6875
29,17,10,0.5882352941176471
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,0,0.0
34,9,7,0.7777777777777778
35,15,13,0.8666666666666667
36,22,18,0.8181818181818182
37,11,5,0.45454545454545453
38,8,1,0.125
39,13,5,0.38461538461538464
40,25,5,0.2
41,12,4,0.3333333333333333
42,26,6,0.23076923076923078
43,19,11,0.5789473684210527
44,8,3,0.375
45,39,35,0.8974358974358975
46,13,4,0.3076923076923077
47,14,5,0.35714285714285715
48,10,7,0.7
49,18,8,0.4444444444444444
50,52,31,0.5961538461538461
51,17,15,0.8823529411764706
52,19,3,0.15789473684210525
53,12,8,0.6666666666666666
54,14,9,0.6428571428571429
55,22,18,0.8181818181818182
56,13,9,0.6923076923076923
57,23,19,0.8260869565217391
58,13,9,0.6923076923076923
59,22,21,0.9545454545454546
60,10,9,0.9
61,11,1,0.09090909090909091
62,11,11,1.0
63,11,9,0.8181818181818182
64,20,14,0.7
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,6,0.5454545454545454
69,12,7,0.5833333333333334
70,16,11,0.6875
71,19,7,0.3684210526315789
72,39,32,0.8205128205128205
73,34,16,0.47058823529411764
74,24,18,0.75
75,21,6,0.2857142857142857
76,50,40,0.8
77,27,19,0.7037037037037037
78,8,5,0.625
79,21,8,0.38095238095238093
80,33,28,0.8484848484848485
81,22,4,0.18181818181818182
82,26,2,0.07692307692307693
83,17,5,0.29411764705882354
84,13,4,0.3076923076923077
85,12,8,0.6666666666666666
86,13,9,0.6923076923076923
87,31,16,0.5161290322580645
88,37,25,0.6756756756756757
89,16,7,0.4375
90,15,8,0.5333333333333333
91,13,3,0.23076923076923078
92,9,1,0.1111111111111111
93,32,19,0.59375
94,26,8,0.3076923076923077
95,18,1,0.05555555555555555
96,13,2,0.15384615384615385
97,16,10,0.625
98,13,1,0.07692307692307693
99,10,7,0.7
100,12,1,0.08333333333333333
101,10,6,0.6
