label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,2,0.25
3,11,1,0.09090909090909091
4,13,6,0.46153846153846156
5,9,6,0.6666666666666666
6,8,3,0.375
7,17,14,0.8235294117647058
8,9,4,0.4444444444444444
9,9,8,0.8888888888888888
10,17,1,0.058823529411764705
11,17,12,0.7058823529411765
12,10,6,0.6
13,10,7,0.7
14,10,8,0.8
15,8,0,0.0
16,17,14,0.8235294117647058
17,16,3,0.1875
18,10,2,0.2
19,11,5,0.45454545454545453
20,8,7,0.875
21,12,5,0.4166666666666667
22,18,8,0.4444444444444444
23,9,1,0.1111111111111111
24,8,1,0.125
25,8,4,0.5
26,8,3,0.375
27,13,5,0.38461538461538464
28,16,7,0.4375
29,17,6,0.35294117647058826
30,11,0,0.0
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,6,0.4
36,22,18,0.8181818181818182
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,4,0.3076923076923077
40,25,10,0.4
41,12,7,0.5833333333333334
42,26,7,0.2692307692307692
43,19,12,0.631578947368421
44,8,0,0.0
45,39,32,0.8205128205128205
46,13,2,0.15384615384615385
47,14,7,0.5
48,10,3,0.3
49,18,9,0.5
50,52,26,0.5
51,17,13,0.7647058823529411
52,19,0,0.0
53,12,9,0.75
54,14,7,0.5
55,22,19,0.8636363636363636
56,13,10,0.7692307692307693
57,23,21,0.9130434782608695
58,13,10,0.7692307692307693
59,22,22,1.0
60,10,9,0.9
61,11,1,0.09090909090909091
62,11,11,1.0
63,11,11,1.0
64,20,14,0.7
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,7,0.6363636363636364
68,11,6,0.5454545454545454
69,12,7,0.5833333333333334
70,16,7,0.4375
71,19,1,0.05263157894736842
72,39,29,0.7435897435897436
73,34,17,0.5
74,24,13,0.5416666666666666
75,21,12,0.5714285714285714
76,50,47,0.94
77,27,16,0.5925925925925926
78,8,3,0.375
79,21,7,0.3333333333333333
80,33,28,0.8484848484848485
81,22,5,0.22727272727272727
82,26,6,0.23076923076923078
83,17,3,0.17647058823529413
84,13,0,0.0
85,12,4,0.3333333333333333
86,13,8,0.6153846153846154
87,31,24,0.7741935483870968
88,37,22,0.5945945945945946
89,16,7,0.4375
90,15,8,0.5333333333333333
91,13,6,0.46153846153846156
92,9,1,0.1111111111111111
93,32,19,0.59375
94,26,4,0.15384615384615385
95,18,0,0.0
96,13,3,0.23076923076923078
97,16,8,0.5
98,13,2,0.15384615384615385
99,10,5,0.5
100,12,2,0.16666666666666666
101,10,2,0.2
