epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,1.036094657948593,0.8509469464722194,1.234317995134181,0.33021690351533284,0.2070610803191842,0.840000273847901,0.33364892558723397,0.3895362113604549,1.856685188279223,0.5074626865671642,2.340301593630213,0.42272449602932194
2,0.001,2.0,0.7896655096701035,0.6456859594151076,0.9598636324938857,0.4416604338070307,0.20706107782265457,0.8400002752744893,0.3336489220207631,0.3895362113604549,1.722816965473232,0.48507462686567165,2.0890907716955,0.47953573610262673
3,0.001,2.0,0.6857321668045683,0.56351037857331,0.8148119099655522,0.50018698578908,0.20706108103247836,0.8400002767010777,0.3336489241606456,0.3895362149269258,1.703749599741466,0.5447761194029851,2.0856756925145956,0.4660965180207697
4,0.001,2.0,0.6043494196194896,0.5019712668795504,0.682520996391907,0.5321615557217652,0.20706107996253711,0.8400002724213126,0.33364892630052817,0.3895362113604549,1.5830888338943025,0.582089552238806,1.8819226402295532,0.5302382406841784
5,0.001,2.0,0.5238872183153855,0.43855652625469815,0.5688712673572435,0.5839566192969334,0.20706107817930167,0.8400002795542544,0.33364892558723397,0.38953620993386656,1.4640211489663195,0.6044776119402985,1.7920662198914357,0.5546731826511913
6,0.001,2.0,0.46592363494496425,0.3932932021685652,0.48420286486196984,0.6170531039640987,0.2070610828157138,0.8400002724213126,0.3336489270138223,0.3895362120737491,1.574065076771067,0.5895522388059702,1.9608006098682587,0.5369578497251069
7,0.001,2.0,0.42271873927776193,0.35953151733909156,0.42124813476336387,0.6497756170531039,0.2070610803191842,0.8400002709947242,0.3336489277271165,0.3895362142136316,1.5654156546094524,0.6044776119402985,1.766239752548092,0.5552840562003665
8,0.001,2.0,0.3746605722335353,0.3191536362258552,0.37004622422498645,0.6768885564697082,0.20706108138912546,0.8400002838340195,0.33364892558723397,0.3895362142136316,1.3740857546009235,0.5597014925373134,1.7012729794060084,0.5778863775198534
9,0.001,2.0,0.3550269624905169,0.30425716581055723,0.3384652905439207,0.6853029169783097,0.20706107960589,0.840000273847901,0.3336489220207631,0.38953621564022,1.5730750276081598,0.5970149253731343,1.809684581776982,0.5491753207086133
10,0.001,2.0,0.32077411537127615,0.27705556178770585,0.29145704110612064,0.7137247569184741,0.20706108138912546,0.8400002752744893,0.33364892630052817,0.3895362149269258,1.4715238418152083,0.5970149253731343,1.7103888917857726,0.5784972510690287
11,0.001,2.0,0.2847332023112027,0.24612105588192537,0.2574142969938562,0.7473821989528796,0.2070610792492429,0.8400002709947242,0.33364892630052817,0.3895362120737491,1.3663050034152928,0.6268656716417911,1.7193805845903782,0.6084300549786195
12,0.001,2.0,0.2515046474041115,0.21935722514953557,0.21431613779816952,0.7698204936424832,0.20706108103247836,0.8400002752744893,0.33364892630052817,0.38953621350033746,1.4359575438855299,0.6194029850746269,1.649386115021726,0.6059865607819181
13,0.001,2.0,0.23398594732104439,0.20422835104173034,0.1983839597555801,0.7767389678384443,0.20706108210241964,0.840000273847901,0.3336489234473515,0.3895362113604549,1.4212710608297319,0.664179104477612,1.7362430333071681,0.598045204642639
14,0.001,2.0,0.21755226561625501,0.19026558018702577,0.18191122169492846,0.7948765893792071,0.2070610792492429,0.8400002752744893,0.33364892594388107,0.38953621278704326,1.52853856335825,0.582089552238806,1.7246120936563267,0.5894929749541845
