epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.953560529489881,0.8212498329251046,1.3231070071971496,0.343866866118175,0.20504405307698445,0.8349804204171865,0.33103132925554274,0.3874165878067644,1.7987458527977787,0.5597014925373134,2.2364389472569934,0.42944410507025044
2,0.001,2.0,0.7276535644937828,0.6204873181227525,1.0716624454767203,0.45774121166791326,0.20504405272033738,0.8349804161374214,0.33103133282201364,0.38741658923335276,1.6521266218441635,0.5298507462686567,2.033830496619661,0.48564447159437996
3,0.001,2.0,0.6213264709635288,0.5283838193097397,0.9294265268360757,0.5215033657442034,0.20504405236369028,0.8349804218437749,0.33103132996883694,0.38741658709347027,1.6382013096738217,0.5671641791044776,1.9590898806828876,0.4899205864386072
4,0.001,2.0,0.5556772718611456,0.47315122792323133,0.8252604422323189,0.556095736724009,0.20504405058045483,0.8349804204171865,0.3310313313954253,0.3874165878067644,1.4939252529571305,0.5970149253731343,1.8261616866473533,0.5369578497251069
5,0.001,2.0,0.4787209090137981,0.4079641364096882,0.7075677141380025,0.6093866866118175,0.20504405093710193,0.8349804132842447,0.3310313271156602,0.38741658923335276,1.3599412352291507,0.6194029850746269,1.6981359448604783,0.5675015271838729
6,0.001,2.0,0.42348329904548426,0.36213620092856325,0.6134709722976143,0.6413612565445026,0.2050440520070432,0.8349804147108331,0.3310313306821311,0.38741658994664696,1.482494690524998,0.5746268656716418,1.8516329195562047,0.535125229077581
7,0.001,2.0,0.383818643879516,0.32920352999809166,0.5461511537042588,0.6709050112191474,0.2050440516503961,0.8349804118576564,0.3310313271156602,0.38741658352699937,1.3765649670985207,0.6194029850746269,1.6235820768661593,0.5901038485033598
8,0.001,2.0,0.34293171252968957,0.2945947689892377,0.48336942653292225,0.7019446522064323,0.20504405093710193,0.8349804189905982,0.33103132925554274,0.38741658923335276,1.2194758529093728,0.6417910447761194,1.5726930105475005,0.598045204642639
9,0.001,2.0,0.3234412087240412,0.2785682607116143,0.44872946418660203,0.7133507853403142,0.20504404986716065,0.8349804204171865,0.33103133210871943,0.38741658709347027,1.3322068933230728,0.6343283582089553,1.5552390596090326,0.6035430665852168
10,0.001,2.0,0.2890623000324352,0.24877317645430297,0.40289120954547075,0.7430815258040389,0.20504405058045483,0.8349804090044797,0.33103132854224854,0.3874165856668819,1.2103856650751028,0.6716417910447762,1.5205829984615982,0.6218692730604765
11,0.001,2.0,0.25346242641457534,0.21825731044709012,0.3520511493766673,0.7741211667913238,0.2050440516503961,0.8349804189905982,0.33103132640236604,0.38741658638017606,1.0930382707225743,0.6716417910447762,1.471451146470095,0.6328649969456323
12,0.001,2.0,0.22720673704824967,0.1969067526447657,0.30299985152442865,0.7905759162303665,0.2050440516503961,0.8349804061513029,0.33103132533242474,0.38741658638017606,1.261562168598175,0.6194029850746269,1.4797003405372327,0.6334758704948076
13,0.001,2.0,0.21275762707641432,0.1843631048544004,0.28394520046466665,0.8072176514584891,0.20504404986716065,0.8349804204171865,0.3310313310387782,0.38741658994664696,1.3127936800914024,0.6567164179104478,1.640495453801327,0.598045204642639
14,0.001,2.0,0.19155207857010342,0.16551931794222915,0.26032760401626265,0.8212415856394913,0.20504405236369028,0.8349804204171865,0.3310313306821311,0.38741658923335276,1.2289375475983122,0.6492537313432836,1.440189539330284,0.6365302382406842
