label,total,correct,accuracy
0,8,6,0.75
1,12,10,0.8333333333333334
2,8,2,0.25
3,11,2,0.18181818181818182
4,13,6,0.46153846153846156
5,9,5,0.5555555555555556
6,8,6,0.75
7,17,15,0.8823529411764706
8,9,8,0.8888888888888888
9,9,8,0.8888888888888888
10,17,2,0.11764705882352941
11,17,14,0.8235294117647058
12,10,7,0.7
13,10,6,0.6
14,10,8,0.8
15,8,2,0.25
16,17,15,0.8823529411764706
17,16,6,0.375
18,10,3,0.3
19,11,6,0.5454545454545454
20,8,7,0.875
21,12,7,0.5833333333333334
22,18,8,0.4444444444444444
23,9,5,0.5555555555555556
24,8,5,0.625
25,8,1,0.125
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,9,0.5625
29,17,9,0.5294117647058824
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,5,0.5555555555555556
33,8,2,0.25
34,9,7,0.7777777777777778
35,15,11,0.7333333333333333
36,22,18,0.8181818181818182
37,11,5,0.45454545454545453
38,8,2,0.25
39,13,6,0.46153846153846156
40,25,15,0.6
41,12,9,0.75
42,26,5,0.19230769230769232
43,19,14,0.7368421052631579
44,8,5,0.625
45,39,37,0.9487179487179487
46,13,11,0.8461538461538461
47,14,7,0.5
48,10,8,0.8
49,18,10,0.5555555555555556
50,52,30,0.5769230769230769
51,17,16,0.9411764705882353
52,19,8,0.42105263157894735
53,12,10,0.8333333333333334
54,14,11,0.7857142857142857
55,22,20,0.9090909090909091
56,13,9,0.6923076923076923
57,23,19,0.8260869565217391
58,13,10,0.7692307692307693
59,22,21,0.9545454545454546
60,10,9,0.9
61,11,4,0.36363636363636365
62,11,11,1.0
63,11,11,1.0
64,20,15,0.75
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,7,0.6363636363636364
68,11,6,0.5454545454545454
69,12,10,0.8333333333333334
70,16,13,0.8125
71,19,9,0.47368421052631576
72,39,27,0.6923076923076923
73,34,21,0.6176470588235294
74,24,20,0.8333333333333334
75,21,11,0.5238095238095238
76,50,49,0.98
77,27,18,0.6666666666666666
78,8,3,0.375
79,21,11,0.5238095238095238
80,33,29,0.8787878787878788
81,22,3,0.13636363636363635
82,26,9,0.34615384615384615
83,17,1,0.058823529411764705
84,13,1,0.07692307692307693
85,12,6,0.5
86,13,10,0.7692307692307693
87,31,24,0.7741935483870968
88,37,29,0.7837837837837838
89,16,10,0.625
90,15,10,0.6666666666666666
91,13,8,0.6153846153846154
92,9,2,0.2222222222222222
93,32,21,0.65625
94,26,9,0.34615384615384615
95,18,8,0.4444444444444444
96,13,5,0.38461538461538464
97,16,11,0.6875
98,13,6,0.46153846153846156
99,10,7,0.7
100,12,5,0.4166666666666667
101,10,6,0.6
