label,total,correct,accuracy
0,8,5,0.625
1,12,9,0.75
2,8,3,0.375
3,11,1,0.09090909090909091
4,13,4,0.3076923076923077
5,9,4,0.4444444444444444
6,8,6,0.75
7,17,16,0.9411764705882353
8,9,8,0.8888888888888888
9,9,8,0.8888888888888888
10,17,1,0.058823529411764705
11,17,14,0.8235294117647058
12,10,7,0.7
13,10,7,0.7
14,10,9,0.9
15,8,2,0.25
16,17,14,0.8235294117647058
17,16,6,0.375
18,10,2,0.2
19,11,6,0.5454545454545454
20,8,7,0.875
21,12,7,0.5833333333333334
22,18,7,0.3888888888888889
23,9,7,0.7777777777777778
24,8,5,0.625
25,8,3,0.375
26,8,6,0.75
27,13,8,0.6153846153846154
28,16,7,0.4375
29,17,8,0.47058823529411764
30,11,2,0.18181818181818182
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,2,0.25
34,9,7,0.7777777777777778
35,15,11,0.7333333333333333
36,22,18,0.8181818181818182
37,11,5,0.45454545454545453
38,8,2,0.25
39,13,6,0.46153846153846156
40,25,15,0.6
41,12,9,0.75
42,26,6,0.23076923076923078
43,19,11,0.5789473684210527
44,8,5,0.625
45,39,33,0.8461538461538461
46,13,13,1.0
47,14,7,0.5
48,10,7,0.7
49,18,12,0.6666666666666666
50,52,29,0.5576923076923077
51,17,16,0.9411764705882353
52,19,9,0.47368421052631576
53,12,10,0.8333333333333334
54,14,9,0.6428571428571429
55,22,20,0.9090909090909091
56,13,10,0.7692307692307693
57,23,20,0.8695652173913043
58,13,8,0.6153846153846154
59,22,21,0.9545454545454546
60,10,10,1.0
61,11,4,0.36363636363636365
62,11,11,1.0
63,11,11,1.0
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,10,0.9090909090909091
68,11,6,0.5454545454545454
69,12,10,0.8333333333333334
70,16,14,0.875
71,19,6,0.3157894736842105
72,39,28,0.717948717948718
73,34,21,0.6176470588235294
74,24,20,0.8333333333333334
75,21,11,0.5238095238095238
76,50,50,1.0
77,27,17,0.6296296296296297
78,8,2,0.25
79,21,10,0.47619047619047616
80,33,28,0.8484848484848485
81,22,6,0.2727272727272727
82,26,10,0.38461538461538464
83,17,6,0.35294117647058826
84,13,1,0.07692307692307693
85,12,6,0.5
86,13,12,0.9230769230769231
87,31,24,0.7741935483870968
88,37,28,0.7567567567567568
89,16,8,0.5
90,15,11,0.7333333333333333
91,13,6,0.46153846153846156
92,9,2,0.2222222222222222
93,32,21,0.65625
94,26,11,0.4230769230769231
95,18,6,0.3333333333333333
96,13,4,0.3076923076923077
97,16,9,0.5625
98,13,8,0.6153846153846154
99,10,8,0.8
100,12,7,0.5833333333333334
101,10,7,0.7
