label,total,correct,accuracy
0,8,4,0.5
1,12,9,0.75
2,8,2,0.25
3,11,1,0.09090909090909091
4,13,6,0.46153846153846156
5,9,5,0.5555555555555556
6,8,6,0.75
7,17,16,0.9411764705882353
8,9,6,0.6666666666666666
9,9,7,0.7777777777777778
10,17,1,0.058823529411764705
11,17,15,0.8823529411764706
12,10,5,0.5
13,10,6,0.6
14,10,7,0.7
15,8,2,0.25
16,17,14,0.8235294117647058
17,16,5,0.3125
18,10,2,0.2
19,11,4,0.36363636363636365
20,8,7,0.875
21,12,7,0.5833333333333334
22,18,6,0.3333333333333333
23,9,3,0.3333333333333333
24,8,4,0.5
25,8,1,0.125
26,8,4,0.5
27,13,6,0.46153846153846156
28,16,7,0.4375
29,17,8,0.47058823529411764
30,11,2,0.18181818181818182
31,9,0,0.0
32,9,4,0.4444444444444444
33,8,2,0.25
34,9,7,0.7777777777777778
35,15,10,0.6666666666666666
36,22,18,0.8181818181818182
37,11,2,0.18181818181818182
38,8,2,0.25
39,13,3,0.23076923076923078
40,25,8,0.32
41,12,8,0.6666666666666666
42,26,5,0.19230769230769232
43,19,10,0.5263157894736842
44,8,3,0.375
45,39,33,0.8461538461538461
46,13,11,0.8461538461538461
47,14,6,0.42857142857142855
48,10,7,0.7
49,18,13,0.7222222222222222
50,52,28,0.5384615384615384
51,17,14,0.8235294117647058
52,19,5,0.2631578947368421
53,12,8,0.6666666666666666
54,14,10,0.7142857142857143
55,22,19,0.8636363636363636
56,13,11,0.8461538461538461
57,23,20,0.8695652173913043
58,13,10,0.7692307692307693
59,22,21,0.9545454545454546
60,10,8,0.8
61,11,1,0.09090909090909091
62,11,9,0.8181818181818182
63,11,10,0.9090909090909091
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,6,0.5454545454545454
68,11,4,0.36363636363636365
69,12,8,0.6666666666666666
70,16,12,0.75
71,19,2,0.10526315789473684
72,39,26,0.6666666666666666
73,34,17,0.5
74,24,23,0.9583333333333334
75,21,9,0.42857142857142855
76,50,49,0.98
77,27,16,0.5925925925925926
78,8,3,0.375
79,21,8,0.38095238095238093
80,33,28,0.8484848484848485
81,22,5,0.22727272727272727
82,26,7,0.2692307692307692
83,17,2,0.11764705882352941
84,13,3,0.23076923076923078
85,12,2,0.16666666666666666
86,13,8,0.6153846153846154
87,31,20,0.6451612903225806
88,37,27,0.7297297297297297
89,16,6,0.375
90,15,11,0.7333333333333333
91,13,4,0.3076923076923077
92,9,1,0.1111111111111111
93,32,26,0.8125
94,26,9,0.34615384615384615
95,18,5,0.2777777777777778
96,13,2,0.15384615384615385
97,16,8,0.5
98,13,4,0.3076923076923077
99,10,8,0.8
100,12,2,0.16666666666666666
101,10,5,0.5
