label,total,correct,accuracy
0,8,3,0.375
1,12,10,0.8333333333333334
2,8,3,0.375
3,11,1,0.09090909090909091
4,13,4,0.3076923076923077
5,9,6,0.6666666666666666
6,8,4,0.5
7,17,15,0.8823529411764706
8,9,6,0.6666666666666666
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,12,0.7058823529411765
12,10,7,0.7
13,10,6,0.6
14,10,8,0.8
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,3,0.1875
18,10,2,0.2
19,11,6,0.5454545454545454
20,8,7,0.875
21,12,7,0.5833333333333334
22,18,7,0.3888888888888889
23,9,4,0.4444444444444444
24,8,2,0.25
25,8,2,0.25
26,8,2,0.25
27,13,7,0.5384615384615384
28,16,8,0.5
29,17,8,0.47058823529411764
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,0,0.0
34,9,4,0.4444444444444444
35,15,8,0.5333333333333333
36,22,17,0.7727272727272727
37,11,5,0.45454545454545453
38,8,1,0.125
39,13,3,0.23076923076923078
40,25,9,0.36
41,12,6,0.5
42,26,8,0.3076923076923077
43,19,12,0.631578947368421
44,8,1,0.125
45,39,29,0.7435897435897436
46,13,5,0.38461538461538464
47,14,7,0.5
48,10,3,0.3
49,18,7,0.3888888888888889
50,52,20,0.38461538461538464
51,17,12,0.7058823529411765
52,19,2,0.10526315789473684
53,12,9,0.75
54,14,9,0.6428571428571429
55,22,19,0.8636363636363636
56,13,9,0.6923076923076923
57,23,19,0.8260869565217391
58,13,10,0.7692307692307693
59,22,20,0.9090909090909091
60,10,9,0.9
61,11,1,0.09090909090909091
62,11,11,1.0
63,11,11,1.0
64,20,9,0.45
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,9,0.8181818181818182
68,11,7,0.6363636363636364
69,12,7,0.5833333333333334
70,16,10,0.625
71,19,3,0.15789473684210525
72,39,30,0.7692307692307693
73,34,18,0.5294117647058824
74,24,12,0.5
75,21,10,0.47619047619047616
76,50,45,0.9
77,27,16,0.5925925925925926
78,8,3,0.375
79,21,8,0.38095238095238093
80,33,28,0.8484848484848485
81,22,5,0.22727272727272727
82,26,4,0.15384615384615385
83,17,4,0.23529411764705882
84,13,0,0.0
85,12,4,0.3333333333333333
86,13,10,0.7692307692307693
87,31,23,0.7419354838709677
88,37,24,0.6486486486486487
89,16,9,0.5625
90,15,9,0.6
91,13,4,0.3076923076923077
92,9,1,0.1111111111111111
93,32,16,0.5
94,26,5,0.19230769230769232
95,18,2,0.1111111111111111
96,13,2,0.15384615384615385
97,16,8,0.5
98,13,0,0.0
99,10,9,0.9
100,12,5,0.4166666666666667
101,10,3,0.3
