epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,1.1352733336194023,1.0488195877603033,1.729074669668901,0.26028421839940163,0.1662274355663679,0.8165552485943197,0.29629299760132294,0.357447308217222,2.188406698739351,0.43283582089552236,2.508342166608182,0.3836285888821014
2,0.001,2.0,0.9613073087041737,0.8859415712780977,1.5073147253394572,0.3431189229618549,0.16622743306983828,0.8165552414613779,0.2962930025943822,0.3574473046507511,1.9076957204448644,0.4925373134328358,2.1890432113689404,0.4416615760537569
3,0.001,2.0,0.8729439697875492,0.8040501332229523,1.3778767661541902,0.38219895287958117,0.1662274323565441,0.8165552357550245,0.29629300330767633,0.3574473075039278,1.9020556887583946,0.43283582089552236,2.198563811250336,0.4251679902260232
4,0.001,2.0,0.816282346031072,0.7519275178727411,1.2870965032499053,0.4218399401645475,0.16622743503139728,0.8165552386082012,0.296293001881088,0.3574473089305161,1.7299040395822098,0.5522388059701493,2.0191933479553765,0.4923640806353085
5,0.001,2.0,0.7520231394154329,0.6921216063117839,1.1980305952016506,0.4594240837696335,0.16622743413977956,0.8165552343284361,0.29629300116779383,0.35744730679063363,1.6488562591040312,0.5895522388059702,1.900073359270393,0.49786194257788635
6,0.001,2.0,0.7066151547003969,0.6511653709429454,1.1089956946754598,0.4863500373971578,0.16622743324816183,0.8165552329018478,0.29629299974120543,0.35744730679063363,1.7932755769188724,0.47761194029850745,2.000638191337329,0.483811850946854
7,0.001,2.0,0.6697595001782779,0.6166899404422329,1.0613911500508515,0.5078534031413613,0.16622743271319118,0.8165552343284361,0.2962929961747346,0.35744730964381033,1.62038629624381,0.5373134328358209,1.8167303076734176,0.5302382406841784
8,0.001,2.0,0.6336643897336904,0.5834137463890624,1.0050128469203243,0.5237471952131638,0.1662274352097208,0.816555230048671,0.29629300045449963,0.3574473075039278,1.7108112226671248,0.5298507462686567,1.8843317066814815,0.5302382406841784
9,0.001,2.0,0.603673487567331,0.5558891142136853,0.9556875601578044,0.5536649214659686,0.16622743413977956,0.8165552386082012,0.29629300045449963,0.35744730679063363,1.6495720237048703,0.5597014925373134,1.8148779537740392,0.5387904703726328
10,0.001,2.0,0.5636613394399143,0.5185006525682351,0.9032138240988252,0.5641361256544503,0.16622743182157346,0.8165552371816128,0.29629300045449963,0.3574473089305161,1.7062365830834232,0.5522388059701493,1.8669066137122758,0.5265729993891265
