label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,3,0.375
3,11,2,0.18181818181818182
4,13,4,0.3076923076923077
5,9,6,0.6666666666666666
6,8,4,0.5
7,17,14,0.8235294117647058
8,9,4,0.4444444444444444
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,10,0.5882352941176471
12,10,6,0.6
13,10,6,0.6
14,10,8,0.8
15,8,1,0.125
16,17,14,0.8235294117647058
17,16,4,0.25
18,10,2,0.2
19,11,4,0.36363636363636365
20,8,7,0.875
21,12,7,0.5833333333333334
22,18,7,0.3888888888888889
23,9,3,0.3333333333333333
24,8,2,0.25
25,8,3,0.375
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,8,0.5
29,17,7,0.4117647058823529
30,11,3,0.2727272727272727
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,4,0.3076923076923077
40,25,7,0.28
41,12,8,0.6666666666666666
42,26,8,0.3076923076923077
43,19,11,0.5789473684210527
44,8,1,0.125
45,39,28,0.717948717948718
46,13,5,0.38461538461538464
47,14,6,0.42857142857142855
48,10,5,0.5
49,18,9,0.5
50,52,22,0.4230769230769231
51,17,14,0.8235294117647058
52,19,1,0.05263157894736842
53,12,9,0.75
54,14,12,0.8571428571428571
55,22,19,0.8636363636363636
56,13,9,0.6923076923076923
57,23,21,0.9130434782608695
58,13,9,0.6923076923076923
59,22,22,1.0
60,10,9,0.9
61,11,1,0.09090909090909091
62,11,11,1.0
63,11,11,1.0
64,20,14,0.7
65,12,12,1.0
66,9,3,0.3333333333333333
67,11,9,0.8181818181818182
68,11,7,0.6363636363636364
69,12,9,0.75
70,16,8,0.5
71,19,4,0.21052631578947367
72,39,27,0.6923076923076923
73,34,18,0.5294117647058824
74,24,8,0.3333333333333333
75,21,7,0.3333333333333333
76,50,45,0.9
77,27,16,0.5925925925925926
78,8,2,0.25
79,21,8,0.38095238095238093
80,33,29,0.8787878787878788
81,22,9,0.4090909090909091
82,26,6,0.23076923076923078
83,17,3,0.17647058823529413
84,13,0,0.0
85,12,7,0.5833333333333334
86,13,10,0.7692307692307693
87,31,24,0.7741935483870968
88,37,25,0.6756756756756757
89,16,6,0.375
90,15,11,0.7333333333333333
91,13,5,0.38461538461538464
92,9,0,0.0
93,32,17,0.53125
94,26,11,0.4230769230769231
95,18,2,0.1111111111111111
96,13,3,0.23076923076923078
97,16,8,0.5
98,13,2,0.15384615384615385
99,10,6,0.6
100,12,3,0.25
101,10,2,0.2
