label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,2,0.25
3,11,0,0.0
4,13,4,0.3076923076923077
5,9,6,0.6666666666666666
6,8,5,0.625
7,17,14,0.8235294117647058
8,9,5,0.5555555555555556
9,9,7,0.7777777777777778
10,17,1,0.058823529411764705
11,17,10,0.5882352941176471
12,10,6,0.6
13,10,5,0.5
14,10,7,0.7
15,8,0,0.0
16,17,14,0.8235294117647058
17,16,4,0.25
18,10,2,0.2
19,11,4,0.36363636363636365
20,8,7,0.875
21,12,6,0.5
22,18,9,0.5
23,9,3,0.3333333333333333
24,8,1,0.125
25,8,3,0.375
26,8,3,0.375
27,13,5,0.38461538461538464
28,16,9,0.5625
29,17,7,0.4117647058823529
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,9,0.6
36,22,16,0.7272727272727273
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,4,0.3076923076923077
40,25,8,0.32
41,12,7,0.5833333333333334
42,26,8,0.3076923076923077
43,19,12,0.631578947368421
44,8,2,0.25
45,39,32,0.8205128205128205
46,13,4,0.3076923076923077
47,14,6,0.42857142857142855
48,10,3,0.3
49,18,7,0.3888888888888889
50,52,25,0.4807692307692308
51,17,14,0.8235294117647058
52,19,0,0.0
53,12,9,0.75
54,14,8,0.5714285714285714
55,22,18,0.8181818181818182
56,13,10,0.7692307692307693
57,23,21,0.9130434782608695
58,13,11,0.8461538461538461
59,22,22,1.0
60,10,9,0.9
61,11,0,0.0
62,11,11,1.0
63,11,11,1.0
64,20,15,0.75
65,12,12,1.0
66,9,1,0.1111111111111111
67,11,8,0.7272727272727273
68,11,7,0.6363636363636364
69,12,8,0.6666666666666666
70,16,7,0.4375
71,19,1,0.05263157894736842
72,39,27,0.6923076923076923
73,34,17,0.5
74,24,15,0.625
75,21,8,0.38095238095238093
76,50,45,0.9
77,27,18,0.6666666666666666
78,8,1,0.125
79,21,7,0.3333333333333333
80,33,29,0.8787878787878788
81,22,6,0.2727272727272727
82,26,6,0.23076923076923078
83,17,4,0.23529411764705882
84,13,0,0.0
85,12,6,0.5
86,13,9,0.6923076923076923
87,31,26,0.8387096774193549
88,37,25,0.6756756756756757
89,16,7,0.4375
90,15,10,0.6666666666666666
91,13,4,0.3076923076923077
92,9,0,0.0
93,32,14,0.4375
94,26,8,0.3076923076923077
95,18,0,0.0
96,13,5,0.38461538461538464
97,16,8,0.5
98,13,0,0.0
99,10,9,0.9
100,12,5,0.4166666666666667
101,10,2,0.2
