label,total,correct,accuracy
0,8,3,0.375
1,12,10,0.8333333333333334
2,8,1,0.125
3,11,0,0.0
4,13,6,0.46153846153846156
5,9,6,0.6666666666666666
6,8,2,0.25
7,17,14,0.8235294117647058
8,9,4,0.4444444444444444
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,12,0.7058823529411765
12,10,6,0.6
13,10,6,0.6
14,10,9,0.9
15,8,0,0.0
16,17,15,0.8823529411764706
17,16,3,0.1875
18,10,2,0.2
19,11,5,0.45454545454545453
20,8,7,0.875
21,12,7,0.5833333333333334
22,18,7,0.3888888888888889
23,9,2,0.2222222222222222
24,8,2,0.25
25,8,4,0.5
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,9,0.5625
29,17,8,0.47058823529411764
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,4,0.3076923076923077
40,25,5,0.2
41,12,8,0.6666666666666666
42,26,8,0.3076923076923077
43,19,12,0.631578947368421
44,8,0,0.0
45,39,32,0.8205128205128205
46,13,4,0.3076923076923077
47,14,6,0.42857142857142855
48,10,3,0.3
49,18,9,0.5
50,52,23,0.4423076923076923
51,17,15,0.8823529411764706
52,19,0,0.0
53,12,10,0.8333333333333334
54,14,7,0.5
55,22,18,0.8181818181818182
56,13,10,0.7692307692307693
57,23,22,0.9565217391304348
58,13,11,0.8461538461538461
59,22,21,0.9545454545454546
60,10,10,1.0
61,11,0,0.0
62,11,11,1.0
63,11,11,1.0
64,20,16,0.8
65,12,12,1.0
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,7,0.6363636363636364
69,12,7,0.5833333333333334
70,16,11,0.6875
71,19,2,0.10526315789473684
72,39,25,0.6410256410256411
73,34,17,0.5
74,24,18,0.75
75,21,10,0.47619047619047616
76,50,48,0.96
77,27,18,0.6666666666666666
78,8,1,0.125
79,21,5,0.23809523809523808
80,33,27,0.8181818181818182
81,22,4,0.18181818181818182
82,26,5,0.19230769230769232
83,17,3,0.17647058823529413
84,13,0,0.0
85,12,10,0.8333333333333334
86,13,9,0.6923076923076923
87,31,23,0.7419354838709677
88,37,24,0.6486486486486487
89,16,7,0.4375
90,15,9,0.6
91,13,6,0.46153846153846156
92,9,1,0.1111111111111111
93,32,17,0.53125
94,26,10,0.38461538461538464
95,18,0,0.0
96,13,2,0.15384615384615385
97,16,9,0.5625
98,13,2,0.15384615384615385
99,10,6,0.6
100,12,1,0.08333333333333333
101,10,5,0.5
