label,total,correct,accuracy
0,8,1,0.125
1,12,7,0.5833333333333334
2,8,0,0.0
3,11,2,0.18181818181818182
4,13,5,0.38461538461538464
5,9,4,0.4444444444444444
6,8,4,0.5
7,17,12,0.7058823529411765
8,9,4,0.4444444444444444
9,9,3,0.3333333333333333
10,17,0,0.0
11,17,16,0.9411764705882353
12,10,3,0.3
13,10,0,0.0
14,10,4,0.4
15,8,0,0.0
16,17,11,0.6470588235294118
17,16,3,0.1875
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,1,0.125
21,12,3,0.25
22,18,9,0.5
23,9,2,0.2222222222222222
24,8,1,0.125
25,8,4,0.5
26,8,3,0.375
27,13,12,0.9230769230769231
28,16,5,0.3125
29,17,1,0.058823529411764705
30,11,0,0.0
31,9,1,0.1111111111111111
32,9,1,0.1111111111111111
33,8,0,0.0
34,9,2,0.2222222222222222
35,15,6,0.4
36,22,18,0.8181818181818182
37,11,0,0.0
38,8,0,0.0
39,13,3,0.23076923076923078
40,25,2,0.08
41,12,1,0.08333333333333333
42,26,5,0.19230769230769232
43,19,9,0.47368421052631576
44,8,1,0.125
45,39,22,0.5641025641025641
46,13,1,0.07692307692307693
47,14,4,0.2857142857142857
48,10,7,0.7
49,18,2,0.1111111111111111
50,52,30,0.5769230769230769
51,17,13,0.7647058823529411
52,19,2,0.10526315789473684
53,12,10,0.8333333333333334
54,14,8,0.5714285714285714
55,22,17,0.7727272727272727
56,13,4,0.3076923076923077
57,23,20,0.8695652173913043
58,13,10,0.7692307692307693
59,22,21,0.9545454545454546
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,11,1.0
63,11,8,0.7272727272727273
64,20,13,0.65
65,12,10,0.8333333333333334
66,9,0,0.0
67,11,2,0.18181818181818182
68,11,2,0.18181818181818182
69,12,1,0.08333333333333333
70,16,11,0.6875
71,19,0,0.0
72,39,33,0.8461538461538461
73,34,6,0.17647058823529413
74,24,14,0.5833333333333334
75,21,10,0.47619047619047616
76,50,44,0.88
77,27,10,0.37037037037037035
78,8,2,0.25
79,21,6,0.2857142857142857
80,33,29,0.8787878787878788
81,22,1,0.045454545454545456
82,26,5,0.19230769230769232
83,17,1,0.058823529411764705
84,13,0,0.0
85,12,4,0.3333333333333333
86,13,8,0.6153846153846154
87,31,13,0.41935483870967744
88,37,22,0.5945945945945946
89,16,7,0.4375
90,15,8,0.5333333333333333
91,13,3,0.23076923076923078
92,9,1,0.1111111111111111
93,32,9,0.28125
94,26,10,0.38461538461538464
95,18,3,0.16666666666666666
96,13,2,0.15384615384615385
97,16,4,0.25
98,13,2,0.15384615384615385
99,10,7,0.7
100,12,2,0.16666666666666666
101,10,0,0.0
