label,total,correct,accuracy
0,8,5,0.625
1,12,7,0.5833333333333334
2,8,2,0.25
3,11,1,0.09090909090909091
4,13,6,0.46153846153846156
5,9,7,0.7777777777777778
6,8,5,0.625
7,17,12,0.7058823529411765
8,9,6,0.6666666666666666
9,9,5,0.5555555555555556
10,17,0,0.0
11,17,14,0.8235294117647058
12,10,6,0.6
13,10,4,0.4
14,10,6,0.6
15,8,0,0.0
16,17,14,0.8235294117647058
17,16,5,0.3125
18,10,0,0.0
19,11,0,0.0
20,8,4,0.5
21,12,5,0.4166666666666667
22,18,5,0.2777777777777778
23,9,1,0.1111111111111111
24,8,1,0.125
25,8,2,0.25
26,8,3,0.375
27,13,6,0.46153846153846156
28,16,11,0.6875
29,17,5,0.29411764705882354
30,11,0,0.0
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,0,0.0
34,9,8,0.8888888888888888
35,15,5,0.3333333333333333
36,22,18,0.8181818181818182
37,11,4,0.36363636363636365
38,8,0,0.0
39,13,4,0.3076923076923077
40,25,5,0.2
41,12,3,0.25
42,26,8,0.3076923076923077
43,19,9,0.47368421052631576
44,8,3,0.375
45,39,31,0.7948717948717948
46,13,1,0.07692307692307693
47,14,4,0.2857142857142857
48,10,2,0.2
49,18,10,0.5555555555555556
50,52,29,0.5576923076923077
51,17,16,0.9411764705882353
52,19,1,0.05263157894736842
53,12,9,0.75
54,14,10,0.7142857142857143
55,22,20,0.9090909090909091
56,13,7,0.5384615384615384
57,23,22,0.9565217391304348
58,13,12,0.9230769230769231
59,22,22,1.0
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,9,0.8181818181818182
63,11,11,1.0
64,20,14,0.7
65,12,11,0.9166666666666666
66,9,3,0.3333333333333333
67,11,4,0.36363636363636365
68,11,3,0.2727272727272727
69,12,9,0.75
70,16,11,0.6875
71,19,6,0.3157894736842105
72,39,22,0.5641025641025641
73,34,14,0.4117647058823529
74,24,19,0.7916666666666666
75,21,8,0.38095238095238093
76,50,37,0.74
77,27,16,0.5925925925925926
78,8,0,0.0
79,21,3,0.14285714285714285
80,33,21,0.6363636363636364
81,22,7,0.3181818181818182
82,26,5,0.19230769230769232
83,17,1,0.058823529411764705
84,13,3,0.23076923076923078
85,12,2,0.16666666666666666
86,13,11,0.8461538461538461
87,31,16,0.5161290322580645
88,37,31,0.8378378378378378
89,16,6,0.375
90,15,9,0.6
91,13,1,0.07692307692307693
92,9,3,0.3333333333333333
93,32,6,0.1875
94,26,8,0.3076923076923077
95,18,5,0.2777777777777778
96,13,2,0.15384615384615385
97,16,7,0.4375
98,13,1,0.07692307692307693
99,10,7,0.7
100,12,2,0.16666666666666666
101,10,1,0.1
