label,total,correct,accuracy
0,8,6,0.75
1,12,9,0.75
2,8,3,0.375
3,11,2,0.18181818181818182
4,13,4,0.3076923076923077
5,9,4,0.4444444444444444
6,8,5,0.625
7,17,14,0.8235294117647058
8,9,8,0.8888888888888888
9,9,8,0.8888888888888888
10,17,1,0.058823529411764705
11,17,14,0.8235294117647058
12,10,7,0.7
13,10,7,0.7
14,10,7,0.7
15,8,3,0.375
16,17,16,0.9411764705882353
17,16,8,0.5
18,10,2,0.2
19,11,3,0.2727272727272727
20,8,7,0.875
21,12,6,0.5
22,18,9,0.5
23,9,5,0.5555555555555556
24,8,6,0.75
25,8,1,0.125
26,8,4,0.5
27,13,5,0.38461538461538464
28,16,11,0.6875
29,17,7,0.4117647058823529
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,4,0.4444444444444444
33,8,6,0.75
34,9,7,0.7777777777777778
35,15,11,0.7333333333333333
36,22,19,0.8636363636363636
37,11,3,0.2727272727272727
38,8,3,0.375
39,13,7,0.5384615384615384
40,25,15,0.6
41,12,8,0.6666666666666666
42,26,6,0.23076923076923078
43,19,10,0.5263157894736842
44,8,6,0.75
45,39,35,0.8974358974358975
46,13,13,1.0
47,14,8,0.5714285714285714
48,10,7,0.7
49,18,15,0.8333333333333334
50,52,32,0.6153846153846154
51,17,15,0.8823529411764706
52,19,5,0.2631578947368421
53,12,10,0.8333333333333334
54,14,11,0.7857142857142857
55,22,20,0.9090909090909091
56,13,10,0.7692307692307693
57,23,22,0.9565217391304348
58,13,10,0.7692307692307693
59,22,22,1.0
60,10,9,0.9
61,11,6,0.5454545454545454
62,11,11,1.0
63,11,11,1.0
64,20,17,0.85
65,12,12,1.0
66,9,1,0.1111111111111111
67,11,9,0.8181818181818182
68,11,4,0.36363636363636365
69,12,9,0.75
70,16,13,0.8125
71,19,9,0.47368421052631576
72,39,29,0.7435897435897436
73,34,21,0.6176470588235294
74,24,14,0.5833333333333334
75,21,13,0.6190476190476191
76,50,50,1.0
77,27,20,0.7407407407407407
78,8,5,0.625
79,21,8,0.38095238095238093
80,33,29,0.8787878787878788
81,22,6,0.2727272727272727
82,26,11,0.4230769230769231
83,17,2,0.11764705882352941
84,13,3,0.23076923076923078
85,12,9,0.75
86,13,11,0.8461538461538461
87,31,27,0.8709677419354839
88,37,28,0.7567567567567568
89,16,6,0.375
90,15,10,0.6666666666666666
91,13,7,0.5384615384615384
92,9,3,0.3333333333333333
93,32,26,0.8125
94,26,10,0.38461538461538464
95,18,7,0.3888888888888889
96,13,5,0.38461538461538464
97,16,10,0.625
98,13,6,0.46153846153846156
99,10,7,0.7
100,12,5,0.4166666666666667
101,10,6,0.6
