label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,1,0.125
3,11,1,0.09090909090909091
4,13,4,0.3076923076923077
5,9,6,0.6666666666666666
6,8,3,0.375
7,17,15,0.8823529411764706
8,9,3,0.3333333333333333
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,14,0.8235294117647058
12,10,6,0.6
13,10,5,0.5
14,10,8,0.8
15,8,1,0.125
16,17,12,0.7058823529411765
17,16,1,0.0625
18,10,2,0.2
19,11,7,0.6363636363636364
20,8,7,0.875
21,12,6,0.5
22,18,4,0.2222222222222222
23,9,5,0.5555555555555556
24,8,1,0.125
25,8,1,0.125
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,7,0.4375
29,17,7,0.4117647058823529
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,0,0.0
34,9,2,0.2222222222222222
35,15,8,0.5333333333333333
36,22,18,0.8181818181818182
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,6,0.46153846153846156
40,25,4,0.16
41,12,6,0.5
42,26,9,0.34615384615384615
43,19,11,0.5789473684210527
44,8,1,0.125
45,39,30,0.7692307692307693
46,13,5,0.38461538461538464
47,14,5,0.35714285714285715
48,10,3,0.3
49,18,9,0.5
50,52,21,0.40384615384615385
51,17,14,0.8235294117647058
52,19,0,0.0
53,12,9,0.75
54,14,9,0.6428571428571429
55,22,19,0.8636363636363636
56,13,9,0.6923076923076923
57,23,21,0.9130434782608695
58,13,10,0.7692307692307693
59,22,22,1.0
60,10,9,0.9
61,11,1,0.09090909090909091
62,11,11,1.0
63,11,11,1.0
64,20,10,0.5
65,12,12,1.0
66,9,0,0.0
67,11,7,0.6363636363636364
68,11,5,0.45454545454545453
69,12,4,0.3333333333333333
70,16,8,0.5
71,19,2,0.10526315789473684
72,39,28,0.717948717948718
73,34,17,0.5
74,24,9,0.375
75,21,9,0.42857142857142855
76,50,49,0.98
77,27,14,0.5185185185185185
78,8,2,0.25
79,21,9,0.42857142857142855
80,33,28,0.8484848484848485
81,22,6,0.2727272727272727
82,26,5,0.19230769230769232
83,17,3,0.17647058823529413
84,13,0,0.0
85,12,7,0.5833333333333334
86,13,10,0.7692307692307693
87,31,24,0.7741935483870968
88,37,30,0.8108108108108109
89,16,5,0.3125
90,15,9,0.6
91,13,6,0.46153846153846156
92,9,1,0.1111111111111111
93,32,13,0.40625
94,26,10,0.38461538461538464
95,18,1,0.05555555555555555
96,13,3,0.23076923076923078
97,16,8,0.5
98,13,1,0.07692307692307693
99,10,7,0.7
100,12,1,0.08333333333333333
101,10,1,0.1
