label,total,correct,accuracy
0,8,4,0.5
1,12,9,0.75
2,8,2,0.25
3,11,1,0.09090909090909091
4,13,5,0.38461538461538464
5,9,6,0.6666666666666666
6,8,4,0.5
7,17,13,0.7647058823529411
8,9,2,0.2222222222222222
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,15,0.8823529411764706
12,10,7,0.7
13,10,7,0.7
14,10,8,0.8
15,8,1,0.125
16,17,13,0.7647058823529411
17,16,1,0.0625
18,10,2,0.2
19,11,7,0.6363636363636364
20,8,7,0.875
21,12,6,0.5
22,18,9,0.5
23,9,3,0.3333333333333333
24,8,2,0.25
25,8,2,0.25
26,8,3,0.375
27,13,5,0.38461538461538464
28,16,8,0.5
29,17,8,0.47058823529411764
30,11,2,0.18181818181818182
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,0,0.0
34,9,3,0.3333333333333333
35,15,9,0.6
36,22,17,0.7727272727272727
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,5,0.38461538461538464
40,25,5,0.2
41,12,7,0.5833333333333334
42,26,11,0.4230769230769231
43,19,11,0.5789473684210527
44,8,1,0.125
45,39,30,0.7692307692307693
46,13,3,0.23076923076923078
47,14,8,0.5714285714285714
48,10,4,0.4
49,18,9,0.5
50,52,18,0.34615384615384615
51,17,15,0.8823529411764706
52,19,0,0.0
53,12,8,0.6666666666666666
54,14,10,0.7142857142857143
55,22,18,0.8181818181818182
56,13,8,0.6153846153846154
57,23,21,0.9130434782608695
58,13,11,0.8461538461538461
59,22,22,1.0
60,10,9,0.9
61,11,1,0.09090909090909091
62,11,11,1.0
63,11,11,1.0
64,20,11,0.55
65,12,12,1.0
66,9,2,0.2222222222222222
67,11,9,0.8181818181818182
68,11,3,0.2727272727272727
69,12,8,0.6666666666666666
70,16,6,0.375
71,19,1,0.05263157894736842
72,39,28,0.717948717948718
73,34,17,0.5
74,24,9,0.375
75,21,8,0.38095238095238093
76,50,47,0.94
77,27,17,0.6296296296296297
78,8,2,0.25
79,21,8,0.38095238095238093
80,33,27,0.8181818181818182
81,22,6,0.2727272727272727
82,26,4,0.15384615384615385
83,17,3,0.17647058823529413
84,13,1,0.07692307692307693
85,12,8,0.6666666666666666
86,13,10,0.7692307692307693
87,31,23,0.7419354838709677
88,37,24,0.6486486486486487
89,16,6,0.375
90,15,9,0.6
91,13,7,0.5384615384615384
92,9,1,0.1111111111111111
93,32,18,0.5625
94,26,9,0.34615384615384615
95,18,1,0.05555555555555555
96,13,3,0.23076923076923078
97,16,7,0.4375
98,13,2,0.15384615384615385
99,10,4,0.4
100,12,2,0.16666666666666666
101,10,1,0.1
