epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.6762004746994869,0.5521542790137571,1.2404619982283598,0.3433059087509349,0.20504405307698445,0.8349804204171865,0.20504405307698445,0.29739938855795334,1.779719480827673,0.5522388059701493,2.2856213548377147,0.4276114844227245
2,0.001,2.0,0.5092530386298114,0.4135621727270784,0.9569086333487403,0.45287958115183247,0.20504405272033738,0.8349804147108331,0.20504405272033738,0.2973993974741306,1.6632494606188875,0.5671641791044776,2.1281885674033285,0.47098350641417225
3,0.001,2.0,0.43177241604098116,0.3514099064698929,0.8036250866609629,0.5072924457741211,0.20504405236369028,0.8349804204171865,0.20504405236369028,0.2973993914111301,1.6488407974812522,0.5671641791044776,2.0383678495556246,0.483811850946854
4,0.001,2.0,0.3828238069164102,0.3151335425803085,0.6769026341773542,0.5403889304412864,0.20504405058045483,0.8349804204171865,0.20504405058045483,0.29739939248107133,1.4686569224542647,0.5895522388059702,1.8892308554419237,0.5284056200366524
5,0.001,2.0,0.33291974280338815,0.27579381234982875,0.571259292008365,0.5863874345549738,0.20504405093710193,0.8349804147108331,0.20504405093710193,0.29739938855795334,1.3480211300636404,0.6119402985074627,1.7423740385797741,0.5534514355528406
6,0.001,2.0,0.2963051144632726,0.24796390057546305,0.4834121136676044,0.6172400897531788,0.2050440520070432,0.8349804132842447,0.2050440520070432,0.2973993914111301,1.460609612180226,0.5746268656716418,1.8694749102041937,0.5326817348808797
7,0.001,2.0,0.2640819889935613,0.22220357126857954,0.4187841858093473,0.6540762902019447,0.2050440516503961,0.8349804118576564,0.2050440516503961,0.29739938962789464,1.3662063541697032,0.6343283582089553,1.6835068934708015,0.5827733659132559
8,0.001,2.0,0.23789607573554153,0.20110051598046016,0.3679555958790305,0.6819371727748691,0.20504405093710193,0.8349804232703631,0.20504405093710193,0.29739939283771843,1.247470032812944,0.6119402985074627,1.618578499165991,0.5803298717165547
9,0.001,2.0,0.22526414887443263,0.19160092678325072,0.3366322079833622,0.6952131637995512,0.20504404986716065,0.8349804218437749,0.20504404986716065,0.2973993903411888,1.3956794427401984,0.6194029850746269,1.6112650787968714,0.5907147220525352
10,0.001,2.0,0.20097742513345976,0.17141437818064295,0.29563046738828574,0.712789827973074,0.20504405058045483,0.8349804090044797,0.20504405058045483,0.2973993935510126,1.2454378266832722,0.6492537313432836,1.6107657786615752,0.611484422724496
11,0.001,2.0,0.17884442841016987,0.1531286107998957,0.2571581750328004,0.7455123410620793,0.2050440516503961,0.8349804189905982,0.2050440516503961,0.29739938891460044,1.1461010041521555,0.6716417910447762,1.5206194435159244,0.6273671350030544
12,0.001,2.0,0.16027524750805114,0.13786429871171824,0.22410948859860672,0.7679506357516829,0.2050440516503961,0.8349804075778913,0.2050440516503961,0.2973993906978359,1.3629122136244134,0.6417910447761194,1.524204742711859,0.6212583995113011
13,0.001,2.0,0.1549367266710605,0.1334413192837472,0.2149540706187286,0.774869109947644,0.20504404986716065,0.8349804204171865,0.20504404986716065,0.29739938927124754,1.3257709812762133,0.6417910447761194,1.6581315538398216,0.5919364691508857
14,0.001,2.0,0.13502636365731796,0.11680356407553381,0.18222799308726212,0.7952505609573672,0.20504405236369028,0.8349804204171865,0.20504405236369028,0.2973993903411888,1.2423128939386625,0.6567164179104478,1.4867754519240624,0.6316432498472816
