label,total,correct,accuracy
0,8,4,0.5
1,12,9,0.75
2,8,1,0.125
3,11,1,0.09090909090909091
4,13,9,0.6923076923076923
5,9,4,0.4444444444444444
6,8,4,0.5
7,17,14,0.8235294117647058
8,9,4,0.4444444444444444
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,10,0.5882352941176471
12,10,5,0.5
13,10,4,0.4
14,10,8,0.8
15,8,2,0.25
16,17,15,0.8823529411764706
17,16,7,0.4375
18,10,4,0.4
19,11,5,0.45454545454545453
20,8,6,0.75
21,12,7,0.5833333333333334
22,18,6,0.3333333333333333
23,9,0,0.0
24,8,5,0.625
25,8,2,0.25
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,9,0.5625
29,17,9,0.5294117647058824
30,11,2,0.18181818181818182
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,0,0.0
34,9,7,0.7777777777777778
35,15,13,0.8666666666666667
36,22,17,0.7727272727272727
37,11,3,0.2727272727272727
38,8,1,0.125
39,13,3,0.23076923076923078
40,25,10,0.4
41,12,7,0.5833333333333334
42,26,4,0.15384615384615385
43,19,13,0.6842105263157895
44,8,2,0.25
45,39,35,0.8974358974358975
46,13,1,0.07692307692307693
47,14,8,0.5714285714285714
48,10,8,0.8
49,18,11,0.6111111111111112
50,52,27,0.5192307692307693
51,17,13,0.7647058823529411
52,19,5,0.2631578947368421
53,12,9,0.75
54,14,8,0.5714285714285714
55,22,18,0.8181818181818182
56,13,10,0.7692307692307693
57,23,22,0.9565217391304348
58,13,11,0.8461538461538461
59,22,21,0.9545454545454546
60,10,10,1.0
61,11,1,0.09090909090909091
62,11,10,0.9090909090909091
63,11,10,0.9090909090909091
64,20,15,0.75
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,8,0.7272727272727273
68,11,6,0.5454545454545454
69,12,6,0.5
70,16,11,0.6875
71,19,3,0.15789473684210525
72,39,27,0.6923076923076923
73,34,18,0.5294117647058824
74,24,22,0.9166666666666666
75,21,5,0.23809523809523808
76,50,42,0.84
77,27,15,0.5555555555555556
78,8,3,0.375
79,21,9,0.42857142857142855
80,33,24,0.7272727272727273
81,22,6,0.2727272727272727
82,26,5,0.19230769230769232
83,17,5,0.29411764705882354
84,13,3,0.23076923076923078
85,12,5,0.4166666666666667
86,13,8,0.6153846153846154
87,31,14,0.45161290322580644
88,37,23,0.6216216216216216
89,16,5,0.3125
90,15,9,0.6
91,13,6,0.46153846153846156
92,9,1,0.1111111111111111
93,32,19,0.59375
94,26,7,0.2692307692307692
95,18,3,0.16666666666666666
96,13,3,0.23076923076923078
97,16,8,0.5
98,13,1,0.07692307692307693
99,10,5,0.5
100,12,2,0.16666666666666666
101,10,5,0.5
