label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,3,0.375
3,11,1,0.09090909090909091
4,13,4,0.3076923076923077
5,9,6,0.6666666666666666
6,8,2,0.25
7,17,14,0.8235294117647058
8,9,6,0.6666666666666666
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,13,0.7647058823529411
12,10,6,0.6
13,10,6,0.6
14,10,8,0.8
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,1,0.0625
18,10,3,0.3
19,11,6,0.5454545454545454
20,8,7,0.875
21,12,7,0.5833333333333334
22,18,7,0.3888888888888889
23,9,2,0.2222222222222222
24,8,2,0.25
25,8,2,0.25
26,8,3,0.375
27,13,7,0.5384615384615384
28,16,9,0.5625
29,17,9,0.5294117647058824
30,11,0,0.0
31,9,1,0.1111111111111111
32,9,2,0.2222222222222222
33,8,0,0.0
34,9,4,0.4444444444444444
35,15,8,0.5333333333333333
36,22,18,0.8181818181818182
37,11,5,0.45454545454545453
38,8,2,0.25
39,13,4,0.3076923076923077
40,25,9,0.36
41,12,7,0.5833333333333334
42,26,8,0.3076923076923077
43,19,12,0.631578947368421
44,8,1,0.125
45,39,29,0.7435897435897436
46,13,4,0.3076923076923077
47,14,8,0.5714285714285714
48,10,4,0.4
49,18,9,0.5
50,52,22,0.4230769230769231
51,17,12,0.7058823529411765
52,19,3,0.15789473684210525
53,12,9,0.75
54,14,7,0.5
55,22,18,0.8181818181818182
56,13,9,0.6923076923076923
57,23,19,0.8260869565217391
58,13,10,0.7692307692307693
59,22,19,0.8636363636363636
60,10,9,0.9
61,11,1,0.09090909090909091
62,11,11,1.0
63,11,10,0.9090909090909091
64,20,10,0.5
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,8,0.7272727272727273
68,11,8,0.7272727272727273
69,12,7,0.5833333333333334
70,16,10,0.625
71,19,3,0.15789473684210525
72,39,26,0.6666666666666666
73,34,14,0.4117647058823529
74,24,14,0.5833333333333334
75,21,12,0.5714285714285714
76,50,47,0.94
77,27,16,0.5925925925925926
78,8,3,0.375
79,21,8,0.38095238095238093
80,33,27,0.8181818181818182
81,22,5,0.22727272727272727
82,26,4,0.15384615384615385
83,17,4,0.23529411764705882
84,13,2,0.15384615384615385
85,12,4,0.3333333333333333
86,13,11,0.8461538461538461
87,31,23,0.7419354838709677
88,37,24,0.6486486486486487
89,16,7,0.4375
90,15,11,0.7333333333333333
91,13,7,0.5384615384615384
92,9,1,0.1111111111111111
93,32,18,0.5625
94,26,5,0.19230769230769232
95,18,2,0.1111111111111111
96,13,3,0.23076923076923078
97,16,8,0.5
98,13,2,0.15384615384615385
99,10,9,0.9
100,12,5,0.4166666666666667
101,10,2,0.2
