label,total,correct,accuracy
0,8,4,0.5
1,12,9,0.75
2,8,1,0.125
3,11,1,0.09090909090909091
4,13,5,0.38461538461538464
5,9,8,0.8888888888888888
6,8,5,0.625
7,17,15,0.8823529411764706
8,9,3,0.3333333333333333
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,10,0.5882352941176471
12,10,7,0.7
13,10,4,0.4
14,10,6,0.6
15,8,0,0.0
16,17,14,0.8235294117647058
17,16,4,0.25
18,10,3,0.3
19,11,3,0.2727272727272727
20,8,7,0.875
21,12,9,0.75
22,18,6,0.3333333333333333
23,9,4,0.4444444444444444
24,8,3,0.375
25,8,1,0.125
26,8,4,0.5
27,13,8,0.6153846153846154
28,16,7,0.4375
29,17,9,0.5294117647058824
30,11,0,0.0
31,9,2,0.2222222222222222
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,6,0.6666666666666666
35,15,12,0.8
36,22,18,0.8181818181818182
37,11,3,0.2727272727272727
38,8,1,0.125
39,13,6,0.46153846153846156
40,25,11,0.44
41,12,6,0.5
42,26,6,0.23076923076923078
43,19,14,0.7368421052631579
44,8,1,0.125
45,39,33,0.8461538461538461
46,13,3,0.23076923076923078
47,14,9,0.6428571428571429
48,10,7,0.7
49,18,6,0.3333333333333333
50,52,29,0.5576923076923077
51,17,14,0.8235294117647058
52,19,4,0.21052631578947367
53,12,9,0.75
54,14,9,0.6428571428571429
55,22,17,0.7727272727272727
56,13,9,0.6923076923076923
57,23,20,0.8695652173913043
58,13,12,0.9230769230769231
59,22,22,1.0
60,10,10,1.0
61,11,4,0.36363636363636365
62,11,10,0.9090909090909091
63,11,11,1.0
64,20,16,0.8
65,12,10,0.8333333333333334
66,9,3,0.3333333333333333
67,11,4,0.36363636363636365
68,11,5,0.45454545454545453
69,12,10,0.8333333333333334
70,16,13,0.8125
71,19,2,0.10526315789473684
72,39,26,0.6666666666666666
73,34,22,0.6470588235294118
74,24,22,0.9166666666666666
75,21,8,0.38095238095238093
76,50,24,0.48
77,27,15,0.5555555555555556
78,8,4,0.5
79,21,3,0.14285714285714285
80,33,22,0.6666666666666666
81,22,3,0.13636363636363635
82,26,6,0.23076923076923078
83,17,0,0.0
84,13,2,0.15384615384615385
85,12,2,0.16666666666666666
86,13,8,0.6153846153846154
87,31,19,0.6129032258064516
88,37,20,0.5405405405405406
89,16,8,0.5
90,15,9,0.6
91,13,5,0.38461538461538464
92,9,2,0.2222222222222222
93,32,22,0.6875
94,26,7,0.2692307692307692
95,18,2,0.1111111111111111
96,13,2,0.15384615384615385
97,16,6,0.375
98,13,5,0.38461538461538464
99,10,6,0.6
100,12,2,0.16666666666666666
101,10,5,0.5
