label,total,correct,accuracy
0,8,3,0.375
1,12,9,0.75
2,8,1,0.125
3,11,1,0.09090909090909091
4,13,3,0.23076923076923078
5,9,7,0.7777777777777778
6,8,2,0.25
7,17,14,0.8235294117647058
8,9,3,0.3333333333333333
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,11,0.6470588235294118
12,10,8,0.8
13,10,6,0.6
14,10,8,0.8
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,3,0.1875
18,10,2,0.2
19,11,4,0.36363636363636365
20,8,7,0.875
21,12,6,0.5
22,18,7,0.3888888888888889
23,9,2,0.2222222222222222
24,8,2,0.25
25,8,1,0.125
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,6,0.375
29,17,7,0.4117647058823529
30,11,0,0.0
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,0,0.0
34,9,5,0.5555555555555556
35,15,9,0.6
36,22,19,0.8636363636363636
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,3,0.23076923076923078
40,25,3,0.12
41,12,6,0.5
42,26,8,0.3076923076923077
43,19,10,0.5263157894736842
44,8,0,0.0
45,39,35,0.8974358974358975
46,13,2,0.15384615384615385
47,14,6,0.42857142857142855
48,10,3,0.3
49,18,8,0.4444444444444444
50,52,27,0.5192307692307693
51,17,16,0.9411764705882353
52,19,0,0.0
53,12,10,0.8333333333333334
54,14,9,0.6428571428571429
55,22,19,0.8636363636363636
56,13,9,0.6923076923076923
57,23,20,0.8695652173913043
58,13,12,0.9230769230769231
59,22,21,0.9545454545454546
60,10,9,0.9
61,11,1,0.09090909090909091
62,11,11,1.0
63,11,11,1.0
64,20,11,0.55
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,7,0.6363636363636364
68,11,5,0.45454545454545453
69,12,3,0.25
70,16,11,0.6875
71,19,2,0.10526315789473684
72,39,28,0.717948717948718
73,34,17,0.5
74,24,12,0.5
75,21,8,0.38095238095238093
76,50,47,0.94
77,27,16,0.5925925925925926
78,8,1,0.125
79,21,6,0.2857142857142857
80,33,27,0.8181818181818182
81,22,2,0.09090909090909091
82,26,6,0.23076923076923078
83,17,3,0.17647058823529413
84,13,1,0.07692307692307693
85,12,5,0.4166666666666667
86,13,8,0.6153846153846154
87,31,23,0.7419354838709677
88,37,23,0.6216216216216216
89,16,5,0.3125
90,15,10,0.6666666666666666
91,13,4,0.3076923076923077
92,9,2,0.2222222222222222
93,32,16,0.5
94,26,11,0.4230769230769231
95,18,1,0.05555555555555555
96,13,3,0.23076923076923078
97,16,9,0.5625
98,13,1,0.07692307692307693
99,10,4,0.4
100,12,1,0.08333333333333333
101,10,2,0.2
