label,total,correct,accuracy
0,8,3,0.375
1,12,10,0.8333333333333334
2,8,1,0.125
3,11,0,0.0
4,13,5,0.38461538461538464
5,9,6,0.6666666666666666
6,8,1,0.125
7,17,15,0.8823529411764706
8,9,2,0.2222222222222222
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,12,0.7058823529411765
12,10,7,0.7
13,10,6,0.6
14,10,9,0.9
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,3,0.1875
18,10,2,0.2
19,11,4,0.36363636363636365
20,8,6,0.75
21,12,7,0.5833333333333334
22,18,9,0.5
23,9,2,0.2222222222222222
24,8,2,0.25
25,8,4,0.5
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,9,0.5625
29,17,7,0.4117647058823529
30,11,0,0.0
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,3,0.2727272727272727
38,8,1,0.125
39,13,5,0.38461538461538464
40,25,4,0.16
41,12,8,0.6666666666666666
42,26,8,0.3076923076923077
43,19,10,0.5263157894736842
44,8,0,0.0
45,39,32,0.8205128205128205
46,13,5,0.38461538461538464
47,14,7,0.5
48,10,4,0.4
49,18,10,0.5555555555555556
50,52,22,0.4230769230769231
51,17,16,0.9411764705882353
52,19,0,0.0
53,12,10,0.8333333333333334
54,14,9,0.6428571428571429
55,22,16,0.7272727272727273
56,13,10,0.7692307692307693
57,23,22,0.9565217391304348
58,13,10,0.7692307692307693
59,22,22,1.0
60,10,10,1.0
61,11,0,0.0
62,11,11,1.0
63,11,10,0.9090909090909091
64,20,14,0.7
65,12,12,1.0
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,7,0.6363636363636364
69,12,2,0.16666666666666666
70,16,9,0.5625
71,19,2,0.10526315789473684
72,39,21,0.5384615384615384
73,34,19,0.5588235294117647
74,24,21,0.875
75,21,10,0.47619047619047616
76,50,47,0.94
77,27,14,0.5185185185185185
78,8,2,0.25
79,21,5,0.23809523809523808
80,33,27,0.8181818181818182
81,22,5,0.22727272727272727
82,26,6,0.23076923076923078
83,17,2,0.11764705882352941
84,13,0,0.0
85,12,7,0.5833333333333334
86,13,10,0.7692307692307693
87,31,22,0.7096774193548387
88,37,21,0.5675675675675675
89,16,4,0.25
90,15,8,0.5333333333333333
91,13,5,0.38461538461538464
92,9,1,0.1111111111111111
93,32,16,0.5
94,26,6,0.23076923076923078
95,18,2,0.1111111111111111
96,13,2,0.15384615384615385
97,16,9,0.5625
98,13,0,0.0
99,10,8,0.8
100,12,1,0.08333333333333333
101,10,2,0.2
