epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.9150786335651692,0.9150786335651692,1.2527159696096903,0.35892857142857143,0.2391985657450917,0.8740874646784185,0.4931541359031593,0.5263618668357094,1.1920194356672225,0.632258064516129,1.3723990337665264,0.52
2,0.001,2.0,0.8192594061841022,0.8192594061841022,1.1365556067162819,0.42706043956043954,0.23919856469709794,0.8740874604864435,0.4931541338071718,0.5263618615957407,1.085907898410674,0.6419354838709678,1.2498502247150127,0.5711538461538461
3,0.001,2.0,0.7878262282727839,0.7878262282727839,1.1028147149871994,0.4541208791208791,0.239198566531087,0.8740874604864435,0.4931541353791625,0.5263618678837032,1.1189481089192053,0.603225806451613,1.2656982018397405,0.5461538461538461
4,0.001,2.0,0.7662747067409558,0.7662747067409558,1.0867624031318412,0.4657967032967033,0.23919856705508388,0.8740874646784185,0.493154133283175,0.5263618642157251,1.0359818481629894,0.6548387096774193,1.2068335074644823,0.5742307692307692
5,0.001,2.0,0.7429131899561201,0.7429131899561201,1.0646812517564375,0.49423076923076925,0.2391985691510714,0.8740874604864435,0.49315414009513436,0.5263618594997532,1.0572650248004545,0.667741935483871,1.2688276907113882,0.5526923076923077
6,0.001,2.0,0.7105840145886599,0.7105840145886599,1.000007799431518,0.5167582417582418,0.2391985657450917,0.8740874573424622,0.4931541385231437,0.5263618631677314,0.984785629856971,0.6774193548387096,1.2215410680037277,0.5796153846153846
7,0.001,2.0,0.6897603953277672,0.6897603953277672,1.0146909700645195,0.5251373626373627,0.239198566531087,0.8740874615344373,0.4931541353791625,0.5263618673597064,1.0742636349893386,0.635483870967742,1.3149961123099694,0.5273076923076923
8,0.001,2.0,0.679394149518275,0.679394149518275,1.0040607855870174,0.5337912087912088,0.23919856836507608,0.874087466774406,0.4931541359031593,0.5263618615957407,0.9677240656268212,0.6741935483870968,1.2023743431384746,0.5715384615384616
9,0.001,2.0,0.6574228704630674,0.6574228704630674,0.9800761919755202,0.5462912087912087,0.2391985657450917,0.8740874636304248,0.4931541411431281,0.5263618605477469,1.0062072961561142,0.6645161290322581,1.3253523159027099,0.5465384615384615
10,0.001,2.0,0.6415284400457865,0.6415284400457865,0.9823210969076052,0.5620879120879121,0.23919856626908859,0.8740874594384498,0.4931541359031593,0.5263618678837032,0.925481863175669,0.7096774193548387,1.1744692259568434,0.5876923076923077
11,0.001,2.0,0.6221386728705941,0.6221386728705941,0.9515011808374426,0.5733516483516483,0.23919856757908078,0.874087458390456,0.49315413747514997,0.5263618663117126,1.0640452161911995,0.6290322580645161,1.2566317470257098,0.5765384615384616
12,0.001,2.0,0.6067907056965671,0.6067907056965671,0.979412811929053,0.5788461538461539,0.23919856548309326,0.8740874657264123,0.493154133283175,0.5263618678837032,1.0280577582697714,0.6548387096774193,1.2673208376077505,0.5492307692307692
13,0.001,2.0,0.587973188829946,0.587973188829946,0.980254485973945,0.5934065934065934,0.23919856757908078,0.8740874646784185,0.4931541359031593,0.5263618621197376,0.9471621205729823,0.6838709677419355,1.216155252456665,0.5819230769230769
