index,split,image_filename,relative_path,label,class_name,source_split,source_index,noise_type,feature_noise_type,feature_noise_value,label_noise_type,label_noise_value,original_label,original_class_name,label_noise_applied
2,train,train_00002.png,images/train_00002.png,0,airplane,train,4299,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
3,train,train_00003.png,images/train_00003.png,9,truck,train,1555,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
4,train,train_00004.png,images/train_00004.png,4,deer,train,2204,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
5,train,train_00005.png,images/train_00005.png,7,monkey,test,3529,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
6,train,train_00006.png,images/train_00006.png,9,truck,train,3207,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
7,train,train_00007.png,images/train_00007.png,6,horse,test,4734,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
9,train,train_00009.png,images/train_00009.png,3,cat,test,256,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
10,train,train_00010.png,images/train_00010.png,5,dog,test,1525,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
12,train,train_00012.png,images/train_00012.png,4,deer,test,7876,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
14,train,train_00014.png,images/train_00014.png,1,bird,test,4561,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
16,train,train_00016.png,images/train_00016.png,2,car,test,6708,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
18,train,train_00018.png,images/train_00018.png,1,bird,test,2721,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,1
19,train,train_00019.png,images/train_00019.png,4,deer,test,6200,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
20,train,train_00020.png,images/train_00020.png,7,monkey,test,1619,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
22,train,train_00022.png,images/train_00022.png,8,ship,test,1597,hybrid_noise,blur,3.0,label_shuffle,0.2,8,ship,0
