label,total,correct,accuracy
0,8,6,0.75
1,12,8,0.6666666666666666
2,8,4,0.5
3,11,3,0.2727272727272727
4,13,8,0.6153846153846154
5,9,8,0.8888888888888888
6,8,6,0.75
7,17,17,1.0
8,9,7,0.7777777777777778
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,15,0.8823529411764706
12,10,8,0.8
13,10,5,0.5
14,10,8,0.8
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,6,0.375
18,10,3,0.3
19,11,4,0.36363636363636365
20,8,5,0.625
21,12,7,0.5833333333333334
22,18,8,0.4444444444444444
23,9,6,0.6666666666666666
24,8,5,0.625
25,8,3,0.375
26,8,4,0.5
27,13,10,0.7692307692307693
28,16,12,0.75
29,17,10,0.5882352941176471
30,11,2,0.18181818181818182
31,9,0,0.0
32,9,4,0.4444444444444444
33,8,3,0.375
34,9,8,0.8888888888888888
35,15,12,0.8
36,22,18,0.8181818181818182
37,11,5,0.45454545454545453
38,8,2,0.25
39,13,6,0.46153846153846156
40,25,16,0.64
41,12,7,0.5833333333333334
42,26,8,0.3076923076923077
43,19,15,0.7894736842105263
44,8,4,0.5
45,39,35,0.8974358974358975
46,13,10,0.7692307692307693
47,14,11,0.7857142857142857
48,10,9,0.9
49,18,12,0.6666666666666666
50,52,42,0.8076923076923077
51,17,15,0.8823529411764706
52,19,7,0.3684210526315789
53,12,8,0.6666666666666666
54,14,9,0.6428571428571429
55,22,21,0.9545454545454546
56,13,9,0.6923076923076923
57,23,20,0.8695652173913043
58,13,13,1.0
59,22,22,1.0
60,10,10,1.0
61,11,4,0.36363636363636365
62,11,10,0.9090909090909091
63,11,10,0.9090909090909091
64,20,18,0.9
65,12,10,0.8333333333333334
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,5,0.45454545454545453
69,12,12,1.0
70,16,15,0.9375
71,19,6,0.3157894736842105
72,39,31,0.7948717948717948
73,34,19,0.5588235294117647
74,24,21,0.875
75,21,10,0.47619047619047616
76,50,44,0.88
77,27,14,0.5185185185185185
78,8,4,0.5
79,21,9,0.42857142857142855
80,33,26,0.7878787878787878
81,22,9,0.4090909090909091
82,26,12,0.46153846153846156
83,17,5,0.29411764705882354
84,13,2,0.15384615384615385
85,12,8,0.6666666666666666
86,13,11,0.8461538461538461
87,31,23,0.7419354838709677
88,37,27,0.7297297297297297
89,16,4,0.25
90,15,9,0.6
91,13,8,0.6153846153846154
92,9,3,0.3333333333333333
93,32,24,0.75
94,26,8,0.3076923076923077
95,18,7,0.3888888888888889
96,13,2,0.15384615384615385
97,16,9,0.5625
98,13,7,0.5384615384615384
99,10,8,0.8
100,12,6,0.5
101,10,6,0.6
