epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.8305333364161432,0.7081774845440707,1.223558482431884,0.3343305908750935,0.21703636887007538,0.8450417914493992,0.27983690788251925,0.34908671439719363,2.0771719110545828,0.4253731343283582,2.263206493148151,0.4416615760537569
2,0.001,2.0,0.629019230671043,0.5330286660386987,0.9599056477500327,0.43829468960359014,0.21703636851342828,0.8450417943025759,0.2798369096657547,0.3490867165370761,1.7847466958102896,0.5373134328358209,2.050923600747371,0.4636530238240684
3,0.001,2.0,0.5352566499895539,0.45030092477530975,0.8495572389910804,0.5007479431563201,0.21703637207989918,0.8450417943025759,0.27983691073569594,0.3490867151104878,1.580274140656884,0.5373134328358209,1.8799039052620703,0.5094685400122174
4,0.001,2.0,0.4696522193251034,0.3966485625474241,0.7300365535109098,0.5489902767389678,0.21703636958336955,0.8450417928759876,0.27983690752587215,0.34908671439719363,1.8225807076069847,0.5149253731343284,1.983597447468729,0.5045815516188149
5,0.001,2.0,0.42882262550366845,0.3653439290949722,0.6347869283330914,0.568997756170531,0.2170363678001341,0.8450417928759876,0.2798369093091076,0.3490867179636645,1.5889461850052449,0.5746268656716418,1.7262906997613086,0.5644471594379963
6,0.001,2.0,0.3820935434695938,0.32515250834049175,0.5694103548574911,0.605833956619297,0.21703637172325208,0.8450417843164574,0.2798369089524605,0.3490867115440169,1.5778125942643009,0.6194029850746269,1.7345256047344966,0.5632254123396457
7,0.001,2.0,0.34846885224822394,0.29767723271181623,0.507916199242614,0.6329468960359013,0.21703637172325208,0.8450417971557526,0.27983691109234304,0.34908671439719363,1.5800073017824943,0.6119402985074627,1.753530017617423,0.5736102626756261
8,0.001,2.0,0.3189696473868462,0.2733707161830625,0.45598931464581854,0.6576290201944652,0.21703637029666373,0.8450417957291643,0.27983690823916635,0.3490867165370761,1.5090053432912969,0.6343283582089553,1.7219923353806894,0.5656689065363469
9,0.001,2.0,0.2911282414006224,0.24994645336268104,0.41181789107882627,0.6879207180254301,0.21703636922672245,0.8450417957291643,0.2798369093091076,0.34908671297060523,1.5436488665751558,0.6194029850746269,1.6763314152171718,0.5760537568723274
10,0.001,2.0,0.26950038277398497,0.23307563240793808,0.3642475109494437,0.7105459985041137,0.21703636994001663,0.845041798582341,0.27983691037904884,0.34908671439719363,1.5764894934732523,0.6194029850746269,1.6789368932102975,0.5846059865607819
11,0.001,2.0,0.24192339560837556,0.20870819170705043,0.332152041309167,0.7378459237097981,0.21703636994001663,0.8450417900228108,0.27983690788251925,0.3490867172503703,1.4626971781253815,0.6194029850746269,1.697784416473123,0.5864386072083079
12,0.001,2.0,0.22677050354815992,0.19647173283701078,0.30298769621146465,0.7417726252804787,0.21703637279319335,0.8450418028621061,0.27983691037904884,0.3490867165370761,1.3726243754821037,0.6567164179104478,1.5538152705334132,0.6188149053145999
13,0.001,2.0,0.20820375259411183,0.18084472941656832,0.2735902321320821,0.7675766641735228,0.21703636922672245,0.845041798582341,0.2798369085958134,0.349086715823782,1.4636013872587859,0.6119402985074627,1.543699092666915,0.6163714111178986
14,0.001,2.0,0.19461859365898723,0.17010741553247732,0.24511178055180483,0.7711293941660434,0.21703636922672245,0.845041798582341,0.27983690716922505,0.3490867186769587,1.4227850010145957,0.664179104477612,1.5120585241475044,0.6371411117898595
15,0.001,2.0,0.17689795994945845,0.15330624227079778,0.235917169252437,0.787584143605086,0.21703636958336955,0.8450417971557526,0.27983690716922505,0.3490867122573111,1.5902577082612621,0.6194029850746269,1.709362802595792,0.5901038485033598
