epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.9523526512604644,0.826940948158926,1.2541170517900762,0.35228122662677636,0.21713067563327285,0.8378894024137784,0.34128242298659767,0.39646187841491015,1.9563672435817434,0.417910447761194,2.1313319643168605,0.45510079413561394
2,0.001,2.0,0.7187294184314553,0.6197566538046079,0.989727660043969,0.46465968586387435,0.2171306738500374,0.8378893952808366,0.34128242583977436,0.3964618791282043,1.6946106108266916,0.5223880597014925,1.9087967656338878,0.5106902871105681
3,0.001,2.0,0.6080091326381167,0.5193311824179802,0.8867794941322252,0.5276738967838445,0.21713067491997867,0.8378893895744831,0.34128242869295106,0.39646188126808685,1.5603536180595854,0.5298507462686567,1.8326234185411643,0.5259621258399512
4,0.001,2.0,0.5388723475859962,0.46139478282243707,0.7747756368470174,0.5714285714285714,0.21713067670321412,0.8378893981340133,0.34128242583977436,0.3964618826946752,1.6251962700886513,0.5671641791044776,1.7783515628839166,0.5430665852168601
5,0.001,2.0,0.4817126587913744,0.4134641035822852,0.6824855363984205,0.5987284966342558,0.21713067598991992,0.8378893952808366,0.34128242655306856,0.39646187841491015,1.560661292787808,0.5895522388059702,1.7553336419342638,0.548564447159438
6,0.001,2.0,0.4334724788667555,0.3711011074511258,0.6237137216904668,0.6394913986537023,0.21713067634656702,0.8378893967074249,0.34128242583977436,0.3964618769883218,1.4430554518059118,0.6268656716417911,1.643618116454519,0.5772755039706781
7,0.001,2.0,0.39252576633184455,0.3369461849008644,0.5557958154243235,0.6630516080777861,0.21713067634656702,0.8378893895744831,0.34128242869295106,0.3964618791282043,1.4454201050658724,0.582089552238806,1.6702703950459008,0.5699450213805742
8,0.001,2.0,0.3616431390472375,0.31056423796230764,0.5107889802668107,0.6881077038145101,0.21713067456333157,0.8378893952808366,0.34128242583977436,0.3964618798414985,1.3854733838963864,0.6194029850746269,1.5393648877257462,0.596212583995113
9,0.001,2.0,0.33040224545110763,0.284224375157367,0.4617787073063333,0.7150336574420344,0.21713067527662575,0.8378893867213064,0.34128242869295106,0.39646188126808685,1.3179419218604245,0.6940298507462687,1.5333446147023866,0.6053756872327428
10,0.001,2.0,0.2984355304253663,0.25804104917336507,0.40394478216042873,0.7385938668661182,0.21713067598991992,0.8378893967074249,0.34128242548312726,0.3964618798414985,1.4454562237013633,0.6343283582089553,1.5417065949576907,0.6059865607819181
11,0.001,2.0,0.26463412253287805,0.2279323563481233,0.3670176564532603,0.7561705310396409,0.21713067634656702,0.8378893952808366,0.34128242583977436,0.3964618791282043,1.4433255062174442,0.6567164179104478,1.5807460429978648,0.6017104459376909
12,0.001,2.0,0.24814073753695748,0.21380229371202109,0.3433844354853491,0.7765519820493643,0.2171306738500374,0.8378893938542482,0.3412824236998918,0.3964618798414985,1.3225499725163872,0.6268656716417911,1.5095463555690787,0.6157605375687233
