label,total,correct,accuracy
0,8,5,0.625
1,12,7,0.5833333333333334
2,8,2,0.25
3,11,2,0.18181818181818182
4,13,3,0.23076923076923078
5,9,7,0.7777777777777778
6,8,4,0.5
7,17,12,0.7058823529411765
8,9,6,0.6666666666666666
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,14,0.8235294117647058
12,10,8,0.8
13,10,7,0.7
14,10,8,0.8
15,8,2,0.25
16,17,15,0.8823529411764706
17,16,6,0.375
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,6,0.75
21,12,6,0.5
22,18,8,0.4444444444444444
23,9,4,0.4444444444444444
24,8,3,0.375
25,8,4,0.5
26,8,4,0.5
27,13,6,0.46153846153846156
28,16,12,0.75
29,17,9,0.5294117647058824
30,11,0,0.0
31,9,2,0.2222222222222222
32,9,5,0.5555555555555556
33,8,3,0.375
34,9,7,0.7777777777777778
35,15,10,0.6666666666666666
36,22,19,0.8636363636363636
37,11,5,0.45454545454545453
38,8,2,0.25
39,13,8,0.6153846153846154
40,25,13,0.52
41,12,8,0.6666666666666666
42,26,7,0.2692307692307692
43,19,9,0.47368421052631576
44,8,5,0.625
45,39,33,0.8461538461538461
46,13,7,0.5384615384615384
47,14,11,0.7857142857142857
48,10,9,0.9
49,18,11,0.6111111111111112
50,52,40,0.7692307692307693
51,17,16,0.9411764705882353
52,19,3,0.15789473684210525
53,12,11,0.9166666666666666
54,14,12,0.8571428571428571
55,22,21,0.9545454545454546
56,13,10,0.7692307692307693
57,23,20,0.8695652173913043
58,13,13,1.0
59,22,22,1.0
60,10,10,1.0
61,11,4,0.36363636363636365
62,11,11,1.0
63,11,11,1.0
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,8,0.7272727272727273
68,11,7,0.6363636363636364
69,12,8,0.6666666666666666
70,16,15,0.9375
71,19,4,0.21052631578947367
72,39,31,0.7948717948717948
73,34,16,0.47058823529411764
74,24,14,0.5833333333333334
75,21,13,0.6190476190476191
76,50,46,0.92
77,27,20,0.7407407407407407
78,8,2,0.25
79,21,9,0.42857142857142855
80,33,25,0.7575757575757576
81,22,11,0.5
82,26,7,0.2692307692307692
83,17,2,0.11764705882352941
84,13,1,0.07692307692307693
85,12,4,0.3333333333333333
86,13,12,0.9230769230769231
87,31,26,0.8387096774193549
88,37,26,0.7027027027027027
89,16,5,0.3125
90,15,10,0.6666666666666666
91,13,7,0.5384615384615384
92,9,2,0.2222222222222222
93,32,21,0.65625
94,26,11,0.4230769230769231
95,18,10,0.5555555555555556
96,13,3,0.23076923076923078
97,16,9,0.5625
98,13,3,0.23076923076923078
99,10,8,0.8
100,12,7,0.5833333333333334
101,10,4,0.4
