label,total,correct,accuracy
0,8,6,0.75
1,12,10,0.8333333333333334
2,8,3,0.375
3,11,2,0.18181818181818182
4,13,10,0.7692307692307693
5,9,6,0.6666666666666666
6,8,7,0.875
7,17,14,0.8235294117647058
8,9,4,0.4444444444444444
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,15,0.8823529411764706
12,10,6,0.6
13,10,8,0.8
14,10,9,0.9
15,8,2,0.25
16,17,15,0.8823529411764706
17,16,6,0.375
18,10,3,0.3
19,11,2,0.18181818181818182
20,8,6,0.75
21,12,7,0.5833333333333334
22,18,9,0.5
23,9,6,0.6666666666666666
24,8,4,0.5
25,8,2,0.25
26,8,4,0.5
27,13,8,0.6153846153846154
28,16,10,0.625
29,17,9,0.5294117647058824
30,11,0,0.0
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,3,0.375
34,9,7,0.7777777777777778
35,15,11,0.7333333333333333
36,22,20,0.9090909090909091
37,11,5,0.45454545454545453
38,8,4,0.5
39,13,8,0.6153846153846154
40,25,12,0.48
41,12,8,0.6666666666666666
42,26,8,0.3076923076923077
43,19,12,0.631578947368421
44,8,4,0.5
45,39,36,0.9230769230769231
46,13,9,0.6923076923076923
47,14,9,0.6428571428571429
48,10,7,0.7
49,18,13,0.7222222222222222
50,52,29,0.5576923076923077
51,17,16,0.9411764705882353
52,19,3,0.15789473684210525
53,12,9,0.75
54,14,12,0.8571428571428571
55,22,21,0.9545454545454546
56,13,10,0.7692307692307693
57,23,20,0.8695652173913043
58,13,12,0.9230769230769231
59,22,22,1.0
60,10,10,1.0
61,11,4,0.36363636363636365
62,11,11,1.0
63,11,11,1.0
64,20,17,0.85
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,4,0.36363636363636365
69,12,11,0.9166666666666666
70,16,13,0.8125
71,19,4,0.21052631578947367
72,39,34,0.8717948717948718
73,34,24,0.7058823529411765
74,24,19,0.7916666666666666
75,21,8,0.38095238095238093
76,50,50,1.0
77,27,19,0.7037037037037037
78,8,6,0.75
79,21,4,0.19047619047619047
80,33,27,0.8181818181818182
81,22,9,0.4090909090909091
82,26,6,0.23076923076923078
83,17,3,0.17647058823529413
84,13,3,0.23076923076923078
85,12,6,0.5
86,13,11,0.8461538461538461
87,31,18,0.5806451612903226
88,37,27,0.7297297297297297
89,16,7,0.4375
90,15,11,0.7333333333333333
91,13,7,0.5384615384615384
92,9,1,0.1111111111111111
93,32,25,0.78125
94,26,11,0.4230769230769231
95,18,11,0.6111111111111112
96,13,3,0.23076923076923078
97,16,8,0.5
98,13,8,0.6153846153846154
99,10,8,0.8
100,12,2,0.16666666666666666
101,10,9,0.9
