label,total,correct,accuracy
0,8,3,0.375
1,12,9,0.75
2,8,4,0.5
3,11,1,0.09090909090909091
4,13,6,0.46153846153846156
5,9,6,0.6666666666666666
6,8,5,0.625
7,17,14,0.8235294117647058
8,9,4,0.4444444444444444
9,9,6,0.6666666666666666
10,17,1,0.058823529411764705
11,17,12,0.7058823529411765
12,10,6,0.6
13,10,8,0.8
14,10,10,1.0
15,8,1,0.125
16,17,14,0.8235294117647058
17,16,6,0.375
18,10,2,0.2
19,11,4,0.36363636363636365
20,8,6,0.75
21,12,6,0.5
22,18,5,0.2777777777777778
23,9,3,0.3333333333333333
24,8,4,0.5
25,8,2,0.25
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,12,0.75
29,17,9,0.5294117647058824
30,11,2,0.18181818181818182
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,11,0.7333333333333333
36,22,18,0.8181818181818182
37,11,5,0.45454545454545453
38,8,2,0.25
39,13,8,0.6153846153846154
40,25,11,0.44
41,12,6,0.5
42,26,3,0.11538461538461539
43,19,14,0.7368421052631579
44,8,3,0.375
45,39,32,0.8205128205128205
46,13,6,0.46153846153846156
47,14,9,0.6428571428571429
48,10,7,0.7
49,18,11,0.6111111111111112
50,52,38,0.7307692307692307
51,17,12,0.7058823529411765
52,19,3,0.15789473684210525
53,12,8,0.6666666666666666
54,14,10,0.7142857142857143
55,22,21,0.9545454545454546
56,13,8,0.6153846153846154
57,23,18,0.782608695652174
58,13,10,0.7692307692307693
59,22,17,0.7727272727272727
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,10,0.9090909090909091
63,11,8,0.7272727272727273
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,3,0.3333333333333333
67,11,7,0.6363636363636364
68,11,5,0.45454545454545453
69,12,9,0.75
70,16,15,0.9375
71,19,2,0.10526315789473684
72,39,29,0.7435897435897436
73,34,20,0.5882352941176471
74,24,21,0.875
75,21,8,0.38095238095238093
76,50,48,0.96
77,27,18,0.6666666666666666
78,8,5,0.625
79,21,8,0.38095238095238093
80,33,28,0.8484848484848485
81,22,4,0.18181818181818182
82,26,7,0.2692307692307692
83,17,4,0.23529411764705882
84,13,2,0.15384615384615385
85,12,6,0.5
86,13,11,0.8461538461538461
87,31,20,0.6451612903225806
88,37,20,0.5405405405405406
89,16,3,0.1875
90,15,10,0.6666666666666666
91,13,7,0.5384615384615384
92,9,2,0.2222222222222222
93,32,18,0.5625
94,26,4,0.15384615384615385
95,18,5,0.2777777777777778
96,13,1,0.07692307692307693
97,16,6,0.375
98,13,3,0.23076923076923078
99,10,8,0.8
100,12,6,0.5
101,10,7,0.7
