label,total,correct,accuracy
0,8,1,0.125
1,12,9,0.75
2,8,1,0.125
3,11,1,0.09090909090909091
4,13,3,0.23076923076923078
5,9,6,0.6666666666666666
6,8,4,0.5
7,17,15,0.8823529411764706
8,9,5,0.5555555555555556
9,9,6,0.6666666666666666
10,17,1,0.058823529411764705
11,17,14,0.8235294117647058
12,10,5,0.5
13,10,8,0.8
14,10,10,1.0
15,8,3,0.375
16,17,15,0.8823529411764706
17,16,7,0.4375
18,10,1,0.1
19,11,4,0.36363636363636365
20,8,7,0.875
21,12,5,0.4166666666666667
22,18,6,0.3333333333333333
23,9,3,0.3333333333333333
24,8,4,0.5
25,8,2,0.25
26,8,4,0.5
27,13,8,0.6153846153846154
28,16,11,0.6875
29,17,7,0.4117647058823529
30,11,2,0.18181818181818182
31,9,2,0.2222222222222222
32,9,2,0.2222222222222222
33,8,0,0.0
34,9,7,0.7777777777777778
35,15,11,0.7333333333333333
36,22,17,0.7727272727272727
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,7,0.5384615384615384
40,25,9,0.36
41,12,6,0.5
42,26,6,0.23076923076923078
43,19,14,0.7368421052631579
44,8,4,0.5
45,39,33,0.8461538461538461
46,13,3,0.23076923076923078
47,14,8,0.5714285714285714
48,10,7,0.7
49,18,11,0.6111111111111112
50,52,35,0.6730769230769231
51,17,12,0.7058823529411765
52,19,4,0.21052631578947367
53,12,8,0.6666666666666666
54,14,9,0.6428571428571429
55,22,20,0.9090909090909091
56,13,8,0.6153846153846154
57,23,18,0.782608695652174
58,13,10,0.7692307692307693
59,22,18,0.8181818181818182
60,10,10,1.0
61,11,3,0.2727272727272727
62,11,9,0.8181818181818182
63,11,7,0.6363636363636364
64,20,18,0.9
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,6,0.5454545454545454
69,12,9,0.75
70,16,14,0.875
71,19,1,0.05263157894736842
72,39,30,0.7692307692307693
73,34,17,0.5
74,24,21,0.875
75,21,8,0.38095238095238093
76,50,47,0.94
77,27,18,0.6666666666666666
78,8,5,0.625
79,21,8,0.38095238095238093
80,33,28,0.8484848484848485
81,22,5,0.22727272727272727
82,26,7,0.2692307692307692
83,17,4,0.23529411764705882
84,13,1,0.07692307692307693
85,12,6,0.5
86,13,11,0.8461538461538461
87,31,19,0.6129032258064516
88,37,19,0.5135135135135135
89,16,2,0.125
90,15,10,0.6666666666666666
91,13,8,0.6153846153846154
92,9,2,0.2222222222222222
93,32,20,0.625
94,26,7,0.2692307692307692
95,18,5,0.2777777777777778
96,13,1,0.07692307692307693
97,16,6,0.375
98,13,3,0.23076923076923078
99,10,6,0.6
100,12,7,0.5833333333333334
101,10,7,0.7
