label,total,correct,accuracy
0,8,1,0.125
1,12,10,0.8333333333333334
2,8,1,0.125
3,11,4,0.36363636363636365
4,13,12,0.9230769230769231
5,9,8,0.8888888888888888
6,8,6,0.75
7,17,15,0.8823529411764706
8,9,7,0.7777777777777778
9,9,8,0.8888888888888888
10,17,1,0.058823529411764705
11,17,16,0.9411764705882353
12,10,7,0.7
13,10,8,0.8
14,10,10,1.0
15,8,4,0.5
16,17,15,0.8823529411764706
17,16,6,0.375
18,10,2,0.2
19,11,7,0.6363636363636364
20,8,6,0.75
21,12,5,0.4166666666666667
22,18,7,0.3888888888888889
23,9,3,0.3333333333333333
24,8,5,0.625
25,8,3,0.375
26,8,3,0.375
27,13,9,0.6923076923076923
28,16,10,0.625
29,17,8,0.47058823529411764
30,11,1,0.09090909090909091
31,9,2,0.2222222222222222
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,6,0.6666666666666666
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,6,0.5454545454545454
38,8,2,0.25
39,13,5,0.38461538461538464
40,25,14,0.56
41,12,6,0.5
42,26,4,0.15384615384615385
43,19,14,0.7368421052631579
44,8,2,0.25
45,39,31,0.7948717948717948
46,13,6,0.46153846153846156
47,14,8,0.5714285714285714
48,10,7,0.7
49,18,11,0.6111111111111112
50,52,29,0.5576923076923077
51,17,13,0.7647058823529411
52,19,4,0.21052631578947367
53,12,6,0.5
54,14,7,0.5
55,22,18,0.8181818181818182
56,13,9,0.6923076923076923
57,23,19,0.8260869565217391
58,13,12,0.9230769230769231
59,22,22,1.0
60,10,10,1.0
61,11,4,0.36363636363636365
62,11,8,0.7272727272727273
63,11,7,0.6363636363636364
64,20,17,0.85
65,12,12,1.0
66,9,1,0.1111111111111111
67,11,9,0.8181818181818182
68,11,7,0.6363636363636364
69,12,11,0.9166666666666666
70,16,14,0.875
71,19,2,0.10526315789473684
72,39,33,0.8461538461538461
73,34,21,0.6176470588235294
74,24,20,0.8333333333333334
75,21,8,0.38095238095238093
76,50,44,0.88
77,27,20,0.7407407407407407
78,8,4,0.5
79,21,6,0.2857142857142857
80,33,30,0.9090909090909091
81,22,7,0.3181818181818182
82,26,9,0.34615384615384615
83,17,2,0.11764705882352941
84,13,3,0.23076923076923078
85,12,3,0.25
86,13,7,0.5384615384615384
87,31,22,0.7096774193548387
88,37,16,0.43243243243243246
89,16,7,0.4375
90,15,10,0.6666666666666666
91,13,7,0.5384615384615384
92,9,2,0.2222222222222222
93,32,20,0.625
94,26,8,0.3076923076923077
95,18,3,0.16666666666666666
96,13,2,0.15384615384615385
97,16,8,0.5
98,13,7,0.5384615384615384
99,10,8,0.8
100,12,6,0.5
101,10,6,0.6
