label,total,correct,accuracy
0,8,3,0.375
1,12,9,0.75
2,8,1,0.125
3,11,4,0.36363636363636365
4,13,6,0.46153846153846156
5,9,6,0.6666666666666666
6,8,4,0.5
7,17,13,0.7647058823529411
8,9,7,0.7777777777777778
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,13,0.7647058823529411
12,10,4,0.4
13,10,8,0.8
14,10,8,0.8
15,8,3,0.375
16,17,14,0.8235294117647058
17,16,7,0.4375
18,10,2,0.2
19,11,3,0.2727272727272727
20,8,7,0.875
21,12,6,0.5
22,18,8,0.4444444444444444
23,9,8,0.8888888888888888
24,8,2,0.25
25,8,6,0.75
26,8,3,0.375
27,13,7,0.5384615384615384
28,16,11,0.6875
29,17,8,0.47058823529411764
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,8,0.8888888888888888
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,3,0.2727272727272727
38,8,2,0.25
39,13,5,0.38461538461538464
40,25,15,0.6
41,12,3,0.25
42,26,7,0.2692307692307692
43,19,8,0.42105263157894735
44,8,4,0.5
45,39,32,0.8205128205128205
46,13,12,0.9230769230769231
47,14,9,0.6428571428571429
48,10,8,0.8
49,18,11,0.6111111111111112
50,52,37,0.7115384615384616
51,17,14,0.8235294117647058
52,19,5,0.2631578947368421
53,12,8,0.6666666666666666
54,14,10,0.7142857142857143
55,22,19,0.8636363636363636
56,13,10,0.7692307692307693
57,23,21,0.9130434782608695
58,13,13,1.0
59,22,21,0.9545454545454546
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,11,1.0
63,11,10,0.9090909090909091
64,20,15,0.75
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,8,0.7272727272727273
68,11,7,0.6363636363636364
69,12,9,0.75
70,16,15,0.9375
71,19,1,0.05263157894736842
72,39,31,0.7948717948717948
73,34,19,0.5588235294117647
74,24,15,0.625
75,21,6,0.2857142857142857
76,50,41,0.82
77,27,22,0.8148148148148148
78,8,4,0.5
79,21,7,0.3333333333333333
80,33,29,0.8787878787878788
81,22,3,0.13636363636363635
82,26,6,0.23076923076923078
83,17,1,0.058823529411764705
84,13,3,0.23076923076923078
85,12,6,0.5
86,13,10,0.7692307692307693
87,31,21,0.6774193548387096
88,37,25,0.6756756756756757
89,16,6,0.375
90,15,9,0.6
91,13,8,0.6153846153846154
92,9,1,0.1111111111111111
93,32,21,0.65625
94,26,9,0.34615384615384615
95,18,7,0.3888888888888889
96,13,2,0.15384615384615385
97,16,7,0.4375
98,13,4,0.3076923076923077
99,10,5,0.5
100,12,5,0.4166666666666667
101,10,4,0.4
