label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,3,0.375
3,11,3,0.2727272727272727
4,13,6,0.46153846153846156
5,9,5,0.5555555555555556
6,8,4,0.5
7,17,13,0.7647058823529411
8,9,6,0.6666666666666666
9,9,8,0.8888888888888888
10,17,2,0.11764705882352941
11,17,13,0.7647058823529411
12,10,8,0.8
13,10,7,0.7
14,10,6,0.6
15,8,3,0.375
16,17,15,0.8823529411764706
17,16,8,0.5
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,7,0.875
21,12,7,0.5833333333333334
22,18,5,0.2777777777777778
23,9,6,0.6666666666666666
24,8,2,0.25
25,8,2,0.25
26,8,3,0.375
27,13,10,0.7692307692307693
28,16,9,0.5625
29,17,10,0.5882352941176471
30,11,1,0.09090909090909091
31,9,1,0.1111111111111111
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,8,0.8888888888888888
35,15,9,0.6
36,22,15,0.6818181818181818
37,11,5,0.45454545454545453
38,8,1,0.125
39,13,6,0.46153846153846156
40,25,12,0.48
41,12,4,0.3333333333333333
42,26,9,0.34615384615384615
43,19,13,0.6842105263157895
44,8,1,0.125
45,39,34,0.8717948717948718
46,13,8,0.6153846153846154
47,14,10,0.7142857142857143
48,10,8,0.8
49,18,10,0.5555555555555556
50,52,33,0.6346153846153846
51,17,12,0.7058823529411765
52,19,4,0.21052631578947367
53,12,7,0.5833333333333334
54,14,12,0.8571428571428571
55,22,17,0.7727272727272727
56,13,9,0.6923076923076923
57,23,22,0.9565217391304348
58,13,13,1.0
59,22,19,0.8636363636363636
60,10,10,1.0
61,11,5,0.45454545454545453
62,11,9,0.8181818181818182
63,11,10,0.9090909090909091
64,20,15,0.75
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,6,0.5454545454545454
68,11,5,0.45454545454545453
69,12,9,0.75
70,16,11,0.6875
71,19,1,0.05263157894736842
72,39,33,0.8461538461538461
73,34,14,0.4117647058823529
74,24,17,0.7083333333333334
75,21,9,0.42857142857142855
76,50,43,0.86
77,27,19,0.7037037037037037
78,8,3,0.375
79,21,8,0.38095238095238093
80,33,31,0.9393939393939394
81,22,6,0.2727272727272727
82,26,6,0.23076923076923078
83,17,1,0.058823529411764705
84,13,2,0.15384615384615385
85,12,8,0.6666666666666666
86,13,9,0.6923076923076923
87,31,20,0.6451612903225806
88,37,22,0.5945945945945946
89,16,5,0.3125
90,15,10,0.6666666666666666
91,13,7,0.5384615384615384
92,9,0,0.0
93,32,22,0.6875
94,26,9,0.34615384615384615
95,18,5,0.2777777777777778
96,13,4,0.3076923076923077
97,16,7,0.4375
98,13,5,0.38461538461538464
99,10,9,0.9
100,12,6,0.5
101,10,5,0.5
