epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.9568724125378508,0.8233825461848422,1.3348986761910575,0.25972326103216153,0.20140929354066356,0.8416470789427889,0.2334211798149343,0.3165073016729476,2.0400219461811124,0.44776119402985076,2.3054705057918987,0.4337202199144777
2,0.001,2.0,0.7874931493800527,0.6798431965158158,1.0764995544992817,0.3451757666417352,0.2014092924707223,0.8416470875023191,0.23342118159816974,0.3165073052394185,1.933602325951875,0.5447761194029851,2.139562388783049,0.46731826511912034
3,0.001,2.0,0.708122110803714,0.6146146433961507,0.9350746364939454,0.3951009723261032,0.20140929461060483,0.8416470846491424,0.23342118124152264,0.31650730381283015,1.7755207170301408,0.5149253731343284,2.0115377346626055,0.4972510690287111
4,0.001,2.0,0.6556068982931778,0.5726695210075949,0.8293737871217122,0.4263275991024682,0.2014092917574281,0.841647083222554,0.23342118052822847,0.31650730345618305,1.7063435084784209,0.5746268656716418,1.9279942018780392,0.5113011606597434
5,0.001,2.0,0.6142971972163792,0.5397189512302738,0.7457824264253888,0.4442782348541511,0.20140929461060483,0.8416470803693773,0.23342118195481681,0.31650730666600685,1.660331382680295,0.5671641791044776,1.9050997926028095,0.5100794135613927
6,0.001,2.0,0.5684507545822132,0.5021491295692184,0.6630162467863815,0.4693343305908751,0.20140929425395773,0.8416470889289074,0.23342118052822847,0.3165073048827714,1.5904033726720668,0.5522388059701493,1.8204575632866666,0.5271838729383018
7,0.001,2.0,0.5362337303411274,0.47620815551361223,0.6002557416326,0.49289454001495886,0.20140929264904583,0.8416470860757307,0.2334211798149343,0.3165073016729476,1.5628518248671917,0.5895522388059702,1.8234485181716424,0.531459987782529
8,0.001,2.0,0.5154974563583654,0.4595789129197285,0.5591854327368754,0.5108451757666418,0.20140929461060483,0.8416470846491424,0.23342118017158137,0.31650730095965346,1.537629134619414,0.582089552238806,1.7257695748591904,0.5528405620036653
9,0.001,2.0,0.47760467811939694,0.4280144997336745,0.49590178702246723,0.5325355272999253,0.20140929354066356,0.8416470846491424,0.2334211794582872,0.3165072981064767,1.4598898611851592,0.6119402985074627,1.6645622677240854,0.5644471594379963
10,0.001,2.0,0.45491014524636736,0.40912363258599344,0.4578651143217051,0.5491772625280479,0.20140929282736938,0.841647083222554,0.23342117838834592,0.31650730416947725,1.4480427281180424,0.5671641791044776,1.667362050596504,0.5668906536346976
11,0.001,2.0,0.4333934718847453,0.39229880448322113,0.4109466722765875,0.5641361256544503,0.20140929425395773,0.8416470817959656,0.23342118088487554,0.316507299176418,1.422137865379675,0.582089552238806,1.647094645002082,0.5827733659132559
12,0.001,2.0,0.41255641139614646,0.3748260179873091,0.37730393473479673,0.5766641735228123,0.20140929425395773,0.8416470860757307,0.2334211798149343,0.3165073052394185,1.4516021084429613,0.5970149253731343,1.6100992957629587,0.5919364691508857
13,0.001,2.0,0.3878912978994374,0.3531325272909277,0.3475876914179851,0.5919970082273747,0.20140929318401649,0.841647083222554,0.23342118124152264,0.31650730095965346,1.4519893816157954,0.6268656716417911,1.7112558655572796,0.5754428833231521
14,0.001,2.0,0.375633039176687,0.34376328327625477,0.31869755777834774,0.5944278234854151,0.20140929496725193,0.8416470775162006,0.2334211798149343,0.31650730381283015,1.4474086370041122,0.6119402985074627,1.6630099851617597,0.5907147220525352
