label,total,correct,accuracy
0,8,2,0.25
1,12,9,0.75
2,8,1,0.125
3,11,4,0.36363636363636365
4,13,5,0.38461538461538464
5,9,7,0.7777777777777778
6,8,4,0.5
7,17,13,0.7647058823529411
8,9,5,0.5555555555555556
9,9,8,0.8888888888888888
10,17,1,0.058823529411764705
11,17,12,0.7058823529411765
12,10,5,0.5
13,10,8,0.8
14,10,7,0.7
15,8,4,0.5
16,17,15,0.8823529411764706
17,16,7,0.4375
18,10,2,0.2
19,11,2,0.18181818181818182
20,8,7,0.875
21,12,6,0.5
22,18,7,0.3888888888888889
23,9,6,0.6666666666666666
24,8,3,0.375
25,8,5,0.625
26,8,3,0.375
27,13,7,0.5384615384615384
28,16,10,0.625
29,17,7,0.4117647058823529
30,11,3,0.2727272727272727
31,9,1,0.1111111111111111
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,7,0.7777777777777778
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,6,0.5454545454545454
38,8,2,0.25
39,13,5,0.38461538461538464
40,25,15,0.6
41,12,6,0.5
42,26,8,0.3076923076923077
43,19,11,0.5789473684210527
44,8,4,0.5
45,39,30,0.7692307692307693
46,13,10,0.7692307692307693
47,14,10,0.7142857142857143
48,10,8,0.8
49,18,11,0.6111111111111112
50,52,41,0.7884615384615384
51,17,13,0.7647058823529411
52,19,3,0.15789473684210525
53,12,8,0.6666666666666666
54,14,9,0.6428571428571429
55,22,17,0.7727272727272727
56,13,10,0.7692307692307693
57,23,22,0.9565217391304348
58,13,13,1.0
59,22,22,1.0
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,10,0.9090909090909091
63,11,10,0.9090909090909091
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,7,0.6363636363636364
69,12,10,0.8333333333333334
70,16,15,0.9375
71,19,1,0.05263157894736842
72,39,33,0.8461538461538461
73,34,21,0.6176470588235294
74,24,18,0.75
75,21,9,0.42857142857142855
76,50,42,0.84
77,27,18,0.6666666666666666
78,8,3,0.375
79,21,7,0.3333333333333333
80,33,29,0.8787878787878788
81,22,7,0.3181818181818182
82,26,7,0.2692307692307692
83,17,2,0.11764705882352941
84,13,3,0.23076923076923078
85,12,5,0.4166666666666667
86,13,10,0.7692307692307693
87,31,19,0.6129032258064516
88,37,27,0.7297297297297297
89,16,5,0.3125
90,15,10,0.6666666666666666
91,13,7,0.5384615384615384
92,9,0,0.0
93,32,17,0.53125
94,26,9,0.34615384615384615
95,18,9,0.5
96,13,3,0.23076923076923078
97,16,6,0.375
98,13,5,0.38461538461538464
99,10,6,0.6
100,12,6,0.5
101,10,4,0.4
