label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,1,0.125
3,11,4,0.36363636363636365
4,13,9,0.6923076923076923
5,9,6,0.6666666666666666
6,8,5,0.625
7,17,14,0.8235294117647058
8,9,8,0.8888888888888888
9,9,5,0.5555555555555556
10,17,1,0.058823529411764705
11,17,14,0.8235294117647058
12,10,6,0.6
13,10,8,0.8
14,10,10,1.0
15,8,5,0.625
16,17,14,0.8235294117647058
17,16,6,0.375
18,10,1,0.1
19,11,7,0.6363636363636364
20,8,5,0.625
21,12,7,0.5833333333333334
22,18,7,0.3888888888888889
23,9,5,0.5555555555555556
24,8,3,0.375
25,8,2,0.25
26,8,4,0.5
27,13,10,0.7692307692307693
28,16,11,0.6875
29,17,7,0.4117647058823529
30,11,0,0.0
31,9,1,0.1111111111111111
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,8,0.8888888888888888
35,15,10,0.6666666666666666
36,22,18,0.8181818181818182
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,8,0.6153846153846154
40,25,13,0.52
41,12,6,0.5
42,26,9,0.34615384615384615
43,19,12,0.631578947368421
44,8,3,0.375
45,39,32,0.8205128205128205
46,13,10,0.7692307692307693
47,14,10,0.7142857142857143
48,10,6,0.6
49,18,10,0.5555555555555556
50,52,34,0.6538461538461539
51,17,14,0.8235294117647058
52,19,4,0.21052631578947367
53,12,9,0.75
54,14,8,0.5714285714285714
55,22,20,0.9090909090909091
56,13,9,0.6923076923076923
57,23,22,0.9565217391304348
58,13,13,1.0
59,22,20,0.9090909090909091
60,10,9,0.9
61,11,7,0.6363636363636364
62,11,11,1.0
63,11,7,0.6363636363636364
64,20,17,0.85
65,12,10,0.8333333333333334
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,7,0.6363636363636364
69,12,9,0.75
70,16,13,0.8125
71,19,5,0.2631578947368421
72,39,31,0.7948717948717948
73,34,22,0.6470588235294118
74,24,19,0.7916666666666666
75,21,8,0.38095238095238093
76,50,48,0.96
77,27,20,0.7407407407407407
78,8,4,0.5
79,21,3,0.14285714285714285
80,33,30,0.9090909090909091
81,22,4,0.18181818181818182
82,26,7,0.2692307692307692
83,17,2,0.11764705882352941
84,13,1,0.07692307692307693
85,12,7,0.5833333333333334
86,13,6,0.46153846153846156
87,31,17,0.5483870967741935
88,37,17,0.4594594594594595
89,16,6,0.375
90,15,9,0.6
91,13,3,0.23076923076923078
92,9,3,0.3333333333333333
93,32,12,0.375
94,26,11,0.4230769230769231
95,18,3,0.16666666666666666
96,13,2,0.15384615384615385
97,16,8,0.5
98,13,6,0.46153846153846156
99,10,9,0.9
100,12,6,0.5
101,10,6,0.6
